Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2020-01-03 Kl. 14-15;0.37180;0.37180;0.35666;0.28533;0.37180
2020-01-03 Kl. 15-16;0.37439;0.37439;0.36774;0.29419;0.37439
2020-01-03 Kl. 16-17;0.37538;0.37538;0.37131;0.29705;0.37538
2020-01-03 Kl. 17-18;0.37489;0.37489;0.37033;0.29626;0.37489
2020-01-03 Kl. 18-19;0.37144;0.37144;0.36380;0.29104;0.37144
2020-01-03 Kl. 19-20;0.36639;0.36639;0.35850;0.28680;0.36639
2020-01-03 Kl. 20-21;0.35690;0.35690;0.34373;0.27498;0.35690
2020-01-03 Kl. 21-22;0.34804;0.34804;0.33289;0.26631;0.34804
2020-01-03 Kl. 22-23;0.34693;0.34693;0.31651;0.25321;0.34693
2020-01-03 Kl. 23-00;0.34926;0.34926;0.27144;0.21715;0.34926
2020-01-04 Kl. 00-01;0.35274;0.35274;0.26735;0.21388;0.35274
2020-01-04 Kl. 01-02;0.35261;0.35261;0.25148;0.20118;0.35261
2020-01-04 Kl. 02-03;0.35200;0.35200;0.24804;0.19843;0.35200
2020-01-04 Kl. 03-04;0.34376;0.34376;0.24139;0.19311;0.34376
2020-01-04 Kl. 04-05;0.33920;0.33920;0.23414;0.18731;0.33920
2020-01-04 Kl. 05-06;0.33798;0.33798;0.23254;0.18603;0.33798
2020-01-04 Kl. 06-07;0.34154;0.34154;0.24286;0.19429;0.34154
2020-01-04 Kl. 07-08;0.34560;0.34560;0.26514;0.21211;0.34560
2020-01-04 Kl. 08-09;0.35151;0.35151;0.27486;0.21989;0.35151
2020-01-04 Kl. 09-10;0.35323;0.35323;0.29750;0.23800;0.35323
2020-01-04 Kl. 10-11;0.35459;0.35459;0.30685;0.24548;0.35459
2020-01-04 Kl. 11-12;0.35483;0.35483;0.30894;0.24715;0.35483
2020-01-04 Kl. 12-13;0.35421;0.35421;0.30685;0.24548;0.35421
2020-01-04 Kl. 13-14;0.35385;0.35385;0.30698;0.24558;0.35385
2020-01-04 Kl. 14-15;0.35421;0.35421;0.31066;0.24853;0.35421
2020-01-04 Kl. 15-16;0.35556;0.35556;0.32395;0.25916;0.35556
2020-01-04 Kl. 16-17;0.35693;0.35693;0.33663;0.26930;0.35693
2020-01-04 Kl. 17-18;0.35754;0.35754;0.35533;0.28426;0.35754
2020-01-04 Kl. 18-19;0.36394;0.36394;0.36394;0.28632;0.36394
2020-01-04 Kl. 19-20;0.36394;0.36394;0.36196;0.28554;0.36394
2020-01-04 Kl. 20-21;0.36861;0.36861;0.34093;0.27274;0.36861
2020-01-04 Kl. 21-22;0.36971;0.36971;0.33711;0.26969;0.36971
2020-01-04 Kl. 22-23;0.37021;0.37021;0.33674;0.26939;0.37021
2020-01-04 Kl. 23-00;0.37931;0.37931;0.31706;0.25365;0.37931
2020-01-05 Kl. 00-01;0.39505;0.39505;0.32860;0.26288;0.39505
2020-01-05 Kl. 01-02;0.38531;0.38531;0.33451;0.26761;0.38531
2020-01-05 Kl. 02-03;0.38174;0.38174;0.33426;0.26741;0.38174
2020-01-05 Kl. 03-04;0.37286;0.37286;0.33809;0.27047;0.37286
2020-01-05 Kl. 04-05;0.36941;0.36941;0.34598;0.27461;0.36941
2020-01-05 Kl. 05-06;0.36854;0.36854;0.35573;0.27501;0.36854
2020-01-05 Kl. 06-07;0.37459;0.37459;0.36078;0.27560;0.37459
2020-01-05 Kl. 07-08;0.37409;0.37409;0.36965;0.27560;0.37409
2020-01-05 Kl. 08-09;0.38298;0.38298;0.38298;0.27599;0.38298
2020-01-05 Kl. 09-10;0.38445;0.38445;0.38445;0.28537;0.38445
2020-01-05 Kl. 10-11;0.38963;0.38963;0.38963;0.29109;0.38963
2020-01-05 Kl. 11-12;0.38901;0.38901;0.38901;0.29188;0.38901
2020-01-05 Kl. 12-13;0.38494;0.38494;0.38494;0.29345;0.38494
2020-01-05 Kl. 13-14;0.38136;0.38136;0.38136;0.29454;0.38136
2020-01-05 Kl. 14-15;0.37816;0.37816;0.37816;0.29513;0.37816
2020-01-05 Kl. 15-16;0.37964;0.37964;0.37964;0.29582;0.37964
2020-01-05 Kl. 16-17;0.38420;0.38420;0.38420;0.29543;0.38420
2020-01-05 Kl. 17-18;0.38876;0.38876;0.38876;0.29513;0.38876
2020-01-05 Kl. 18-19;0.38346;0.38346;0.38346;0.29355;0.38346
2020-01-05 Kl. 19-20;0.37508;0.37508;0.37508;0.29326;0.37508
2020-01-05 Kl. 20-21;0.36830;0.36830;0.36830;0.29395;0.36830
2020-01-05 Kl. 21-22;0.36509;0.36509;0.36053;0.28842;0.36509
2020-01-05 Kl. 22-23;0.36324;0.36324;0.34721;0.27777;0.36324
2020-01-05 Kl. 23-00;0.36399;0.36399;0.32896;0.26317;0.36399
2020-01-06 Kl. 00-01;0.35954;0.35954;0.32576;0.26061;0.35954
2020-01-06 Kl. 01-02;0.35844;0.35844;0.32675;0.26140;0.35844
2020-01-06 Kl. 02-03;0.35856;0.35856;0.33304;0.26643;0.35856
2020-01-06 Kl. 03-04;0.35338;0.35338;0.33365;0.26692;0.35338
2020-01-06 Kl. 04-05;0.35856;0.35856;0.33328;0.26662;0.35856
2020-01-06 Kl. 05-06;0.36559;0.36559;0.34055;0.27244;0.36559
2020-01-06 Kl. 06-07;0.37865;0.37865;0.34721;0.27777;0.37865
2020-01-06 Kl. 07-08;0.38124;0.38124;0.35856;0.28685;0.38124
2020-01-06 Kl. 08-09;0.38100;0.38100;0.36658;0.29326;0.38100
2020-01-06 Kl. 09-10;0.38075;0.38075;0.37631;0.30105;0.38075
2020-01-06 Kl. 10-11;0.38371;0.38371;0.38371;0.30697;0.38371
2020-01-06 Kl. 11-12;0.38506;0.38506;0.38506;0.30805;0.38506
2020-01-06 Kl. 12-13;0.38458;0.38458;0.38458;0.30766;0.38458
2020-01-06 Kl. 13-14;0.38321;0.38321;0.38321;0.30657;0.38321
2020-01-06 Kl. 14-15;0.38483;0.38483;0.38483;0.30786;0.38483
2020-01-06 Kl. 15-16;0.38593;0.38593;0.38593;0.30874;0.38593
2020-01-06 Kl. 16-17;0.39160;0.39160;0.39160;0.31328;0.39160
2020-01-06 Kl. 17-18;0.39135;0.39135;0.39135;0.31308;0.39135
2020-01-06 Kl. 18-19;0.38605;0.38605;0.38605;0.30884;0.38605
2020-01-06 Kl. 19-20;0.38161;0.38161;0.38161;0.30529;0.38161
2020-01-06 Kl. 20-21;0.37705;0.37705;0.37705;0.30164;0.37705
2020-01-06 Kl. 21-22;0.37335;0.37335;0.37335;0.29868;0.37335
2020-01-06 Kl. 22-23;0.36324;0.36324;0.36324;0.29059;0.36324
2020-01-06 Kl. 23-00;0.35844;0.35844;0.34759;0.27807;0.35844
2020-01-07 Kl. 00-01;0.34826;0.34826;0.33448;0.26758;0.34826
2020-01-07 Kl. 01-02;0.34900;0.34900;0.33349;0.26679;0.34900
2020-01-07 Kl. 02-03;0.35060;0.35060;0.33275;0.26620;0.35060
2020-01-07 Kl. 03-04;0.34618;0.34618;0.33225;0.26580;0.34618
2020-01-07 Kl. 04-05;0.35344;0.35344;0.33471;0.26777;0.35344
2020-01-07 Kl. 05-06;0.36280;0.36280;0.34641;0.27713;0.36280
2020-01-07 Kl. 06-07;0.36895;0.36895;0.34740;0.27792;0.36895
2020-01-07 Kl. 07-08;0.38126;0.38126;0.36390;0.29112;0.38126
2020-01-07 Kl. 08-09;0.38361;0.38361;0.36674;0.29339;0.38361
2020-01-07 Kl. 09-10;0.38115;0.38115;0.36735;0.29388;0.38115
2020-01-07 Kl. 10-11;0.37806;0.37806;0.36846;0.29477;0.37806
2020-01-07 Kl. 11-12;0.37646;0.37646;0.36895;0.29516;0.37646
2020-01-07 Kl. 12-13;0.37536;0.37536;0.37129;0.29703;0.37536
2020-01-07 Kl. 13-14;0.37548;0.37548;0.37388;0.29910;0.37548
2020-01-07 Kl. 14-15;0.37560;0.37560;0.37351;0.29881;0.37560
2020-01-07 Kl. 15-16;0.37979;0.37979;0.36908;0.29526;0.37979
2020-01-07 Kl. 16-17;0.37819;0.37819;0.36821;0.29457;0.37819
2020-01-07 Kl. 17-18;0.37610;0.37610;0.36636;0.29309;0.37610
2020-01-07 Kl. 18-19;0.37166;0.37166;0.36699;0.29359;0.37166
2020-01-07 Kl. 19-20;0.36280;0.36280;0.36280;0.29024;0.36280
2020-01-07 Kl. 20-21;0.35258;0.35258;0.35258;0.28206;0.35258
2020-01-07 Kl. 21-22;0.34458;0.34458;0.34458;0.27566;0.34458
2020-01-07 Kl. 22-23;0.33755;0.33755;0.33164;0.26531;0.33755
2020-01-07 Kl. 23-00;0.34001;0.34001;0.29814;0.23851;0.34001
2020-01-08 Kl. 00-01;0.30096;0.30096;0.23735;0.18988;0.30096
2020-01-08 Kl. 01-02;0.30539;0.30539;0.22923;0.18338;0.30539
2020-01-08 Kl. 02-03;0.27685;0.27685;0.20819;0.16655;0.27685
2020-01-08 Kl. 03-04;0.25125;0.25125;0.19096;0.15277;0.25125
2020-01-08 Kl. 04-05;0.24621;0.24621;0.19096;0.15277;0.24621
2020-01-08 Kl. 05-06;0.28300;0.28300;0.25519;0.20415;0.28300
2020-01-08 Kl. 06-07;0.32238;0.32238;0.31463;0.25170;0.32238
2020-01-08 Kl. 07-08;0.33209;0.33209;0.33209;0.26567;0.33209
2020-01-08 Kl. 08-09;0.33640;0.33640;0.33640;0.26912;0.33640
2020-01-08 Kl. 09-10;0.34354;0.34354;0.33516;0.26813;0.34354
2020-01-08 Kl. 10-11;0.34489;0.34489;0.33529;0.26823;0.34489
2020-01-08 Kl. 11-12;0.34476;0.34476;0.33554;0.26843;0.34476
2020-01-08 Kl. 12-13;0.34453;0.34453;0.33579;0.26863;0.34453
2020-01-08 Kl. 13-14;0.34428;0.34428;0.33689;0.26951;0.34428
2020-01-08 Kl. 14-15;0.34526;0.34526;0.34021;0.27217;0.34526
2020-01-08 Kl. 15-16;0.34994;0.34994;0.34268;0.27414;0.34994
2020-01-08 Kl. 16-17;0.35535;0.35535;0.34230;0.27384;0.35535
2020-01-08 Kl. 17-18;0.35708;0.35708;0.33984;0.27187;0.35708
2020-01-08 Kl. 18-19;0.35621;0.35621;0.33996;0.27197;0.35621
2020-01-08 Kl. 19-20;0.35338;0.35338;0.34009;0.27207;0.35338
2020-01-08 Kl. 20-21;0.35190;0.35190;0.33628;0.26902;0.35190
2020-01-08 Kl. 21-22;0.35080;0.35080;0.33295;0.26636;0.35080
2020-01-08 Kl. 22-23;0.34661;0.34661;0.32324;0.25859;0.34661
2020-01-08 Kl. 23-00;0.34366;0.34366;0.29888;0.23910;0.34366
2020-01-09 Kl. 00-01;0.31066;0.31066;0.26396;0.21117;0.31066
2020-01-09 Kl. 01-02;0.31226;0.31226;0.25336;0.20269;0.31226
2020-01-09 Kl. 02-03;0.31609;0.31609;0.24621;0.19697;0.31609
2020-01-09 Kl. 03-04;0.31695;0.31695;0.25978;0.20782;0.31695
2020-01-09 Kl. 04-05;0.31954;0.31954;0.28750;0.23000;0.31954
2020-01-09 Kl. 05-06;0.32336;0.32336;0.30673;0.24538;0.32336
2020-01-09 Kl. 06-07;0.32780;0.32780;0.31880;0.25504;0.32780
2020-01-09 Kl. 07-08;0.34135;0.34135;0.32213;0.25770;0.34135
2020-01-09 Kl. 08-09;0.34813;0.34813;0.32484;0.25987;0.34813
2020-01-09 Kl. 09-10;0.34886;0.34886;0.32705;0.26164;0.34886
2020-01-09 Kl. 10-11;0.34998;0.34998;0.32829;0.26263;0.34998
2020-01-09 Kl. 11-12;0.34961;0.34961;0.32915;0.26332;0.34961
2020-01-09 Kl. 12-13;0.34863;0.34863;0.33149;0.26519;0.34863
2020-01-09 Kl. 13-14;0.34961;0.34961;0.33224;0.26579;0.34961
2020-01-09 Kl. 14-15;0.35121;0.35121;0.33433;0.26746;0.35121
2020-01-09 Kl. 15-16;0.35441;0.35441;0.33605;0.26884;0.35441
2020-01-09 Kl. 16-17;0.35713;0.35713;0.33704;0.26697;0.35713
2020-01-09 Kl. 17-18;0.35626;0.35626;0.33679;0.26569;0.35626
2020-01-09 Kl. 18-19;0.35380;0.35380;0.33704;0.26529;0.35380
2020-01-09 Kl. 19-20;0.34911;0.34911;0.33741;0.26510;0.34911
2020-01-09 Kl. 20-21;0.34061;0.34061;0.33729;0.26450;0.34061
2020-01-09 Kl. 21-22;0.33950;0.33950;0.33950;0.26332;0.33950
2020-01-09 Kl. 22-23;0.33149;0.33149;0.33149;0.26194;0.33149
2020-01-09 Kl. 23-00;0.32545;0.32545;0.32545;0.26017;0.32545
2020-01-10 Kl. 00-01;0.32175;0.32175;0.32175;0.25740;0.32175
2020-01-10 Kl. 01-02;0.32101;0.32101;0.32026;0.25621;0.32101
2020-01-10 Kl. 02-03;0.31854;0.31854;0.31854;0.25483;0.31854
2020-01-10 Kl. 03-04;0.31953;0.31953;0.31953;0.25562;0.31953
2020-01-10 Kl. 04-05;0.32335;0.32335;0.32335;0.25868;0.32335
2020-01-10 Kl. 05-06;0.33261;0.33261;0.33261;0.26609;0.33261
2020-01-10 Kl. 06-07;0.34865;0.34865;0.32656;0.26125;0.34865
2020-01-10 Kl. 07-08;0.36396;0.36396;0.32421;0.25937;0.36396
2020-01-10 Kl. 08-09;0.36865;0.36865;0.32608;0.26086;0.36865
2020-01-10 Kl. 09-10;0.36766;0.36766;0.32644;0.26115;0.36766
2020-01-10 Kl. 10-11;0.36630;0.36630;0.32631;0.26105;0.36630
2020-01-10 Kl. 11-12;0.36371;0.36371;0.32644;0.26115;0.36371
2020-01-10 Kl. 12-13;0.35346;0.35346;0.32656;0.26125;0.35346
2020-01-10 Kl. 13-14;0.35113;0.35113;0.32644;0.26115;0.35113
2020-01-10 Kl. 14-15;0.34841;0.34841;0.32619;0.26095;0.34841
2020-01-10 Kl. 15-16;0.35606;0.35606;0.32608;0.26086;0.35606
2020-01-10 Kl. 16-17;0.37136;0.37136;0.32446;0.25957;0.36569
2020-01-10 Kl. 17-18;0.36890;0.36890;0.32261;0.25809;0.36569
2020-01-10 Kl. 18-19;0.36396;0.36396;0.32793;0.26234;0.36396
2020-01-10 Kl. 19-20;0.35915;0.35915;0.32706;0.26165;0.35915
2020-01-10 Kl. 20-21;0.34064;0.34064;0.32656;0.26125;0.34064
2020-01-10 Kl. 21-22;0.33385;0.33385;0.32891;0.26313;0.33385
2020-01-10 Kl. 22-23;0.32608;0.32608;0.32608;0.26086;0.32608
2020-01-10 Kl. 23-00;0.32175;0.32175;0.31940;0.25552;0.32175
2020-01-11 Kl. 00-01;0.32706;0.32706;0.32706;0.26165;0.32706
2020-01-11 Kl. 01-02;0.32423;0.32423;0.32078;0.25662;0.32423
2020-01-11 Kl. 02-03;0.32238;0.32238;0.31831;0.25465;0.32238
2020-01-11 Kl. 03-04;0.31745;0.31745;0.31573;0.25258;0.31745
2020-01-11 Kl. 04-05;0.31326;0.31326;0.31326;0.25061;0.31326
2020-01-11 Kl. 05-06;0.31215;0.31215;0.31215;0.24972;0.31215
2020-01-11 Kl. 06-07;0.31388;0.31388;0.31129;0.24903;0.31388
2020-01-11 Kl. 07-08;0.31326;0.31326;0.31326;0.25061;0.31326
2020-01-11 Kl. 08-09;0.31646;0.31646;0.31646;0.25317;0.31646
2020-01-11 Kl. 09-10;0.31966;0.31966;0.31880;0.25504;0.31966
2020-01-11 Kl. 10-11;0.31869;0.31869;0.31869;0.25495;0.31869
2020-01-11 Kl. 11-12;0.31486;0.31486;0.31486;0.25189;0.31486
2020-01-11 Kl. 12-13;0.31055;0.31055;0.31055;0.24844;0.31055
2020-01-11 Kl. 13-14;0.30833;0.30833;0.30833;0.24666;0.30833
2020-01-11 Kl. 14-15;0.30660;0.30660;0.30660;0.24528;0.30660
2020-01-11 Kl. 15-16;0.31030;0.31030;0.31030;0.24824;0.31030
2020-01-11 Kl. 16-17;0.31499;0.31499;0.31499;0.25199;0.31499
2020-01-11 Kl. 17-18;0.31621;0.31621;0.31621;0.25297;0.31621
2020-01-11 Kl. 18-19;0.31338;0.31338;0.31338;0.25070;0.31338
2020-01-11 Kl. 19-20;0.30549;0.30549;0.30549;0.24439;0.30549
2020-01-11 Kl. 20-21;0.29723;0.29723;0.29723;0.23778;0.29723
2020-01-11 Kl. 21-22;0.29341;0.29341;0.28553;0.22842;0.29341
2020-01-11 Kl. 22-23;0.28934;0.28934;0.26296;0.21037;0.28934
2020-01-11 Kl. 23-00;0.28824;0.28824;0.23805;0.19044;0.28824
2020-01-12 Kl. 00-01;0.28950;0.28950;0.24859;0.19887;0.28950
2020-01-12 Kl. 01-02;0.28468;0.28468;0.23944;0.19155;0.28468
2020-01-12 Kl. 02-03;0.28889;0.28889;0.22695;0.18156;0.28889
2020-01-12 Kl. 03-04;0.28419;0.28419;0.22670;0.18136;0.28419
2020-01-12 Kl. 04-05;0.27888;0.27888;0.22460;0.17968;0.27888
2020-01-12 Kl. 05-06;0.28209;0.28209;0.23066;0.18453;0.28209
2020-01-12 Kl. 06-07;0.29321;0.29321;0.22238;0.17790;0.29321
2020-01-12 Kl. 07-08;0.29643;0.29643;0.22523;0.18018;0.29643
2020-01-12 Kl. 08-09;0.30001;0.30001;0.27319;0.21855;0.30001
2020-01-12 Kl. 09-10;0.30594;0.30594;0.29580;0.23664;0.30594
2020-01-12 Kl. 10-11;0.30866;0.30866;0.29951;0.23961;0.30866
2020-01-12 Kl. 11-12;0.30928;0.30928;0.30705;0.24564;0.30928
2020-01-12 Kl. 12-13;0.30940;0.30940;0.30224;0.24179;0.30940
2020-01-12 Kl. 13-14;0.30854;0.30854;0.30174;0.24139;0.30854
2020-01-12 Kl. 14-15;0.30866;0.30866;0.30829;0.24663;0.30866
2020-01-12 Kl. 15-16;0.31238;0.31238;0.31238;0.24990;0.31238
2020-01-12 Kl. 16-17;0.31756;0.31756;0.31756;0.25405;0.31756
2020-01-12 Kl. 17-18;0.32758;0.32758;0.32758;0.26206;0.32758
2020-01-12 Kl. 18-19;0.32968;0.32968;0.32968;0.26374;0.32968
2020-01-12 Kl. 19-20;0.32338;0.32338;0.32338;0.25870;0.32338
2020-01-12 Kl. 20-21;0.31670;0.31670;0.31670;0.25336;0.31670
2020-01-12 Kl. 21-22;0.31559;0.31559;0.31559;0.25247;0.31559
2020-01-12 Kl. 22-23;0.31496;0.31496;0.31496;0.25197;0.31496
2020-01-12 Kl. 23-00;0.30829;0.30829;0.30001;0.24001;0.30829
2020-01-13 Kl. 00-01;0.30804;0.30804;0.27838;0.22270;0.30804
2020-01-13 Kl. 01-02;0.30335;0.30335;0.29556;0.23645;0.30335
2020-01-13 Kl. 02-03;0.30483;0.30483;0.29618;0.23694;0.30483
2020-01-13 Kl. 03-04;0.30718;0.30718;0.29989;0.23991;0.30718
2020-01-13 Kl. 04-05;0.31311;0.31311;0.30915;0.24732;0.31311
2020-01-13 Kl. 05-06;0.32338;0.32338;0.32128;0.25702;0.32338
2020-01-13 Kl. 06-07;0.34364;0.34364;0.31756;0.25405;0.34364
2020-01-13 Kl. 07-08;0.35106;0.35106;0.31559;0.25247;0.35106
2020-01-13 Kl. 08-09;0.36206;0.36206;0.31658;0.25326;0.36206
2020-01-13 Kl. 09-10;0.35711;0.35711;0.31731;0.25385;0.35711
2020-01-13 Kl. 10-11;0.35341;0.35341;0.31769;0.25415;0.35341
2020-01-13 Kl. 11-12;0.35044;0.35044;0.31608;0.25286;0.35044
2020-01-13 Kl. 12-13;0.34871;0.34871;0.31559;0.25247;0.34871
2020-01-13 Kl. 13-14;0.34698;0.34698;0.31546;0.25237;0.34698
2020-01-13 Kl. 14-15;0.34698;0.34698;0.31608;0.25286;0.34698
2020-01-13 Kl. 15-16;0.34909;0.34909;0.31608;0.25286;0.34909
2020-01-13 Kl. 16-17;0.35119;0.35119;0.31633;0.25306;0.35119
2020-01-13 Kl. 17-18;0.34995;0.34995;0.31769;0.25415;0.34995
2020-01-13 Kl. 18-19;0.34586;0.34586;0.31805;0.25444;0.34586
2020-01-13 Kl. 19-20;0.33858;0.33858;0.31830;0.25464;0.33858
2020-01-13 Kl. 20-21;0.32733;0.32733;0.31830;0.25464;0.32733
2020-01-13 Kl. 21-22;0.32189;0.32189;0.32115;0.25692;0.32189
2020-01-13 Kl. 22-23;0.31324;0.31324;0.31324;0.25059;0.31324
2020-01-13 Kl. 23-00;0.28925;0.28925;0.28925;0.23140;0.28925
2020-01-14 Kl. 00-01;0.28661;0.28661;0.27498;0.21998;0.28661
2020-01-14 Kl. 01-02;0.26395;0.26395;0.22979;0.18383;0.26395
2020-01-14 Kl. 02-03;0.25318;0.25318;0.22780;0.18224;0.25318
2020-01-14 Kl. 03-04;0.25541;0.25541;0.22719;0.18175;0.25541
2020-01-14 Kl. 04-05;0.26594;0.26594;0.22904;0.18323;0.26594
2020-01-14 Kl. 05-06;0.27336;0.27336;0.25145;0.20116;0.27336
2020-01-14 Kl. 06-07;0.30494;0.30494;0.30494;0.24395;0.30494
2020-01-14 Kl. 07-08;0.31633;0.31633;0.31633;0.25306;0.31633
2020-01-14 Kl. 08-09;0.31991;0.31991;0.31991;0.25593;0.31991
2020-01-14 Kl. 09-10;0.31929;0.31929;0.31929;0.25543;0.31929
2020-01-14 Kl. 10-11;0.31868;0.31868;0.31830;0.25464;0.31868
2020-01-14 Kl. 11-12;0.31731;0.31731;0.31694;0.25355;0.31731
2020-01-14 Kl. 12-13;0.31583;0.31583;0.31583;0.25266;0.31583
2020-01-14 Kl. 13-14;0.31694;0.31694;0.31694;0.25355;0.31694
2020-01-14 Kl. 14-15;0.31893;0.31893;0.31893;0.25514;0.31893
2020-01-14 Kl. 15-16;0.32438;0.32438;0.31941;0.25553;0.32438
2020-01-14 Kl. 16-17;0.32870;0.32870;0.32103;0.25682;0.32870
2020-01-14 Kl. 17-18;0.33279;0.33279;0.32153;0.25722;0.33279
2020-01-14 Kl. 18-19;0.32746;0.32746;0.32251;0.25801;0.32746
2020-01-14 Kl. 19-20;0.32065;0.32065;0.32065;0.25652;0.32065
2020-01-14 Kl. 20-21;0.31100;0.31100;0.31100;0.24880;0.31100
2020-01-14 Kl. 21-22;0.30121;0.30121;0.29490;0.23592;0.30121
2020-01-14 Kl. 22-23;0.29639;0.29639;0.27609;0.22087;0.29639
2020-01-14 Kl. 23-00;0.29131;0.29131;0.23671;0.18937;0.29131
2020-01-15 Kl. 00-01;0.29184;0.29184;0.23780;0.19024;0.29184
2020-01-15 Kl. 01-02;0.28578;0.28578;0.23285;0.18628;0.28578
2020-01-15 Kl. 02-03;0.27663;0.27663;0.23026;0.18421;0.27663
