Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2022-01-06 Kl. 11-12;2.80705;2.80705;0.66270;0.53016;2.10975
2022-01-06 Kl. 12-13;2.73560;2.73560;0.67131;0.53705;2.10850
2022-01-06 Kl. 13-14;2.53223;2.53223;0.66020;0.52816;2.10151
2022-01-06 Kl. 14-15;2.61530;2.61530;0.68019;0.54415;2.10264
2022-01-06 Kl. 15-16;2.79918;2.79918;0.68580;0.54864;2.08601
2022-01-06 Kl. 16-17;2.98331;2.98331;0.68119;0.54495;2.09651
2022-01-06 Kl. 17-18;3.32484;3.32484;0.67156;0.53725;2.08976
2022-01-06 Kl. 18-19;3.30985;3.30985;0.66220;0.52976;2.07540
2022-01-06 Kl. 19-20;2.67251;2.67251;0.65658;0.52526;2.08140
2022-01-06 Kl. 20-21;2.64315;2.64315;0.64795;0.51836;2.10488
2022-01-06 Kl. 21-22;2.45840;2.45840;0.64620;0.51696;2.15548
2022-01-06 Kl. 22-23;1.94786;1.94786;0.65058;0.52046;1.94786
2022-01-06 Kl. 23-00;1.74611;1.74611;0.64046;0.51237;1.74611
2022-01-07 Kl. 00-01;1.68270;1.68270;0.60030;0.48024;1.68270
2022-01-07 Kl. 01-02;1.62593;1.62593;0.60030;0.48024;1.62593
2022-01-07 Kl. 02-03;1.53925;1.53925;0.55245;0.44196;1.53925
2022-01-07 Kl. 03-04;1.53323;1.53323;0.52631;0.42105;1.53323
2022-01-07 Kl. 04-05;1.53348;1.53348;0.50283;0.40226;1.53348
2022-01-07 Kl. 05-06;1.59741;1.59741;0.50521;0.40417;1.59741
2022-01-07 Kl. 06-07;1.76096;1.76096;0.50220;0.40176;1.76096
2022-01-07 Kl. 07-08;1.91735;1.91735;0.63548;0.50838;1.91735
2022-01-07 Kl. 08-09;1.96333;1.96333;0.65394;0.52315;1.96333
2022-01-07 Kl. 09-10;1.97400;1.97400;0.66725;0.53380;1.97400
2022-01-07 Kl. 10-11;1.97236;1.97236;0.66638;0.53310;1.97236
2022-01-07 Kl. 11-12;2.02123;2.02123;0.67153;0.53722;2.02123
2022-01-07 Kl. 12-13;2.03128;2.03128;0.67743;0.54194;2.03128
2022-01-07 Kl. 13-14;2.02425;2.02425;0.68346;0.54677;2.02425
2022-01-07 Kl. 14-15;2.04246;2.04246;0.68936;0.55149;2.04246
2022-01-07 Kl. 15-16;2.23113;2.23113;0.70845;0.56676;2.09434
2022-01-07 Kl. 16-17;2.45836;2.45836;0.71348;0.57078;2.10100
2022-01-07 Kl. 17-18;2.95905;2.95905;0.71499;0.57199;2.07976
2022-01-07 Kl. 18-19;3.02136;3.02136;0.70016;0.56013;2.05779
2022-01-07 Kl. 19-20;2.17084;2.17084;0.69049;0.55239;2.08316
2022-01-07 Kl. 20-21;2.01608;2.01608;0.62919;0.50335;2.01608
2022-01-07 Kl. 21-22;1.98405;1.98405;0.59868;0.47894;1.98405
2022-01-07 Kl. 22-23;1.93318;1.93318;0.61726;0.49381;1.93318
2022-01-07 Kl. 23-00;1.81836;1.81836;0.56915;0.45532;1.81836
2022-01-08 Kl. 00-01;1.86220;1.86220;0.47988;0.38390;1.86220
2022-01-08 Kl. 01-02;1.83075;1.83075;0.46821;0.37457;1.83075
2022-01-08 Kl. 02-03;1.81270;1.81270;0.45180;0.36144;1.81270
2022-01-08 Kl. 03-04;1.82649;1.82649;0.45093;0.36074;1.82649
2022-01-08 Kl. 04-05;1.84190;1.84190;0.46659;0.37327;1.84190
2022-01-08 Kl. 05-06;1.84078;1.84078;0.48438;0.38750;1.84078
2022-01-08 Kl. 06-07;1.83676;1.83676;0.48714;0.38971;1.83676
2022-01-08 Kl. 07-08;1.84454;1.84454;0.49566;0.39653;1.84454
2022-01-08 Kl. 08-09;1.86985;1.86985;0.51471;0.41177;1.86985
2022-01-08 Kl. 09-10;1.89918;1.89918;0.56145;0.44916;1.89918
2022-01-08 Kl. 10-11;1.93590;1.93590;0.61334;0.49067;1.93590
2022-01-08 Kl. 11-12;1.92888;1.92888;0.61885;0.49508;1.92888
2022-01-08 Kl. 12-13;1.93226;1.93226;0.61885;0.49508;1.93226
2022-01-08 Kl. 13-14;1.89918;1.89918;0.62161;0.49729;1.89918
2022-01-08 Kl. 14-15;1.90068;1.90068;0.62386;0.49909;1.90068
2022-01-08 Kl. 15-16;1.93351;1.93351;0.62650;0.50120;1.93351
2022-01-08 Kl. 16-17;1.95933;1.95933;0.63239;0.50591;1.95933
2022-01-08 Kl. 17-18;1.89930;1.89930;0.63790;0.51032;1.89930
2022-01-08 Kl. 18-19;1.85945;1.85945;0.63640;0.50912;1.85945
2022-01-08 Kl. 19-20;1.75555;1.75555;0.63415;0.50732;1.75555
2022-01-08 Kl. 20-21;1.60479;1.60479;0.62750;0.50200;1.60479
2022-01-08 Kl. 21-22;1.58686;1.58686;0.62575;0.50060;1.58686
2022-01-08 Kl. 22-23;1.54388;1.54388;0.64041;0.49799;1.54388
2022-01-08 Kl. 23-00;1.52821;1.52821;0.62550;0.47513;1.52821
2022-01-09 Kl. 00-01;1.56898;1.56898;0.51965;0.41572;1.56898
2022-01-09 Kl. 01-02;1.44154;1.44154;0.49825;0.39860;1.44154
2022-01-09 Kl. 02-03;1.39810;1.39810;0.48585;0.38868;1.39810
2022-01-09 Kl. 03-04;1.36354;1.36354;0.47083;0.37666;1.36354
2022-01-09 Kl. 04-05;1.28480;1.28480;0.46608;0.37286;1.28480
2022-01-09 Kl. 05-06;1.24699;1.24699;0.46358;0.37086;1.24699
2022-01-09 Kl. 06-07;1.27265;1.27265;0.43803;0.35042;1.27265
2022-01-09 Kl. 07-08;1.27291;1.27291;0.46156;0.36925;1.27291
2022-01-09 Kl. 08-09;1.40048;1.40048;0.47909;0.38327;1.40048
2022-01-09 Kl. 09-10;1.60941;1.60941;0.49838;0.39870;1.60941
2022-01-09 Kl. 10-11;1.68953;1.68953;0.51226;0.40981;1.68953
2022-01-09 Kl. 11-12;1.80959;1.80959;0.53430;0.42744;1.80959
2022-01-09 Kl. 12-13;1.86116;1.86116;0.54406;0.43525;1.86116
2022-01-09 Kl. 13-14;1.88006;1.88006;0.55033;0.44026;1.88006
2022-01-09 Kl. 14-15;1.88270;1.88270;0.56360;0.45088;1.88270
2022-01-09 Kl. 15-16;1.92501;1.92501;0.59376;0.47501;1.92501
2022-01-09 Kl. 16-17;2.26551;2.26551;0.59828;0.47862;2.26551
2022-01-09 Kl. 17-18;2.70593;2.70593;0.59978;0.47982;2.70593
2022-01-09 Kl. 18-19;2.95605;2.95605;0.59840;0.47872;2.95605
2022-01-09 Kl. 19-20;2.50288;2.50288;0.59978;0.47982;2.50288
2022-01-09 Kl. 20-21;1.93051;1.93051;0.59426;0.47541;1.93051
2022-01-09 Kl. 21-22;1.88358;1.88358;0.57799;0.46239;1.88358
2022-01-09 Kl. 22-23;1.85565;1.85565;0.59690;0.47752;1.85565
2022-01-09 Kl. 23-00;1.81259;1.81259;0.56385;0.45108;1.81259
2022-01-10 Kl. 00-01;1.80620;1.80620;0.51828;0.41462;1.80620
2022-01-10 Kl. 01-02;1.72871;1.72871;0.49988;0.39990;1.72871
2022-01-10 Kl. 02-03;1.71406;1.71406;0.49988;0.39990;1.71406
2022-01-10 Kl. 03-04;1.74086;1.74086;0.51540;0.41232;1.74086
2022-01-10 Kl. 04-05;1.79005;1.79005;0.55208;0.44166;1.79005
2022-01-10 Kl. 05-06;1.90398;1.90398;0.59940;0.47952;1.90398
2022-01-10 Kl. 06-07;2.08263;2.08263;0.67976;0.54381;2.08263
2022-01-10 Kl. 07-08;3.11718;3.11718;0.71583;0.57266;2.25063
2022-01-10 Kl. 08-09;3.57686;3.57686;0.76478;0.61182;2.46131
2022-01-10 Kl. 09-10;3.81721;3.81721;0.70143;0.56114;2.40398
2022-01-10 Kl. 10-11;3.76151;3.76151;0.67601;0.54081;2.41286
2022-01-10 Kl. 11-12;3.75763;3.75763;0.66713;0.53370;2.35904
2022-01-10 Kl. 12-13;3.63545;3.63545;0.65586;0.52469;2.25238
2022-01-10 Kl. 13-14;3.50563;3.50563;0.63971;0.51177;2.20480
2022-01-10 Kl. 14-15;2.00225;2.00225;0.63345;0.50676;2.00225
2022-01-10 Kl. 15-16;2.12068;2.12068;0.62719;0.50175;2.12068
2022-01-10 Kl. 16-17;2.02516;2.02516;0.61066;0.48853;2.02516
2022-01-10 Kl. 17-18;2.04269;2.04269;0.59301;0.47441;2.04269
2022-01-10 Kl. 18-19;2.25914;2.25914;0.57649;0.46119;2.05959
2022-01-10 Kl. 19-20;1.94091;1.94091;0.56259;0.45007;1.94091
2022-01-10 Kl. 20-21;2.00025;2.00025;0.54683;0.43746;2.00025
2022-01-10 Kl. 21-22;2.03630;2.03630;0.52716;0.42173;2.03630
2022-01-10 Kl. 22-23;1.94641;1.94641;0.51640;0.41312;1.94641
2022-01-10 Kl. 23-00;1.87894;1.87894;0.49838;0.39870;1.87894
2022-01-11 Kl. 00-01;1.84469;1.84469;0.43810;0.35048;1.84469
2022-01-11 Kl. 01-02;1.79791;1.79791;0.39733;0.31786;1.79791
2022-01-11 Kl. 02-03;1.75353;1.75353;0.33880;0.27104;1.75353
2022-01-11 Kl. 03-04;1.75051;1.75051;0.30716;0.24573;1.75051
2022-01-11 Kl. 04-05;1.77040;1.77040;0.30691;0.24553;1.77040
2022-01-11 Kl. 05-06;1.83969;1.83969;0.31579;0.25263;1.83969
2022-01-11 Kl. 06-07;1.84581;1.84581;0.34943;0.27954;1.84581
2022-01-11 Kl. 07-08;1.90448;1.90448;0.45461;0.36369;1.90448
2022-01-11 Kl. 08-09;1.92298;1.92298;0.45148;0.28795;1.92298
2022-01-11 Kl. 09-10;1.92023;1.92023;0.44723;0.29025;1.92023
2022-01-11 Kl. 10-11;1.91935;1.91935;0.43885;0.28945;1.91935
2022-01-11 Kl. 11-12;1.95313;1.95313;0.43648;0.27614;1.95313
2022-01-11 Kl. 12-13;1.92310;1.92310;0.44798;0.27574;1.92310
2022-01-11 Kl. 13-14;1.91373;1.91373;0.44860;0.27544;1.91373
2022-01-11 Kl. 14-15;1.91473;1.91473;0.43910;0.27544;1.91473
2022-01-11 Kl. 15-16;1.92549;1.92549;0.39845;0.27584;1.92549
2022-01-11 Kl. 16-17;1.95638;1.95638;0.39295;0.27544;1.95638
2022-01-11 Kl. 17-18;2.10858;2.10858;0.37044;0.26163;2.06480
2022-01-11 Kl. 18-19;2.04041;2.04041;0.34430;0.27544;2.03716
2022-01-11 Kl. 19-20;1.91848;1.91848;0.34430;0.27544;1.91848
2022-01-11 Kl. 20-21;1.91510;1.91510;0.33780;0.27024;1.91510
2022-01-11 Kl. 21-22;1.92135;1.92135;0.31366;0.25093;1.92135
2022-01-11 Kl. 22-23;1.88296;1.88296;0.31304;0.25043;1.88296
2022-01-11 Kl. 23-00;1.81793;1.81793;0.29590;0.23672;1.81793
2022-01-12 Kl. 00-01;1.79189;1.79189;0.25053;0.20042;1.79189
2022-01-12 Kl. 01-02;1.76114;1.76114;0.24628;0.19702;1.76114
2022-01-12 Kl. 02-03;1.74389;1.74389;0.24403;0.19522;1.74389
2022-01-12 Kl. 03-04;1.74076;1.74076;0.24353;0.19482;1.74076
2022-01-12 Kl. 04-05;1.75164;1.75164;0.24378;0.19502;1.75164
2022-01-12 Kl. 05-06;1.77251;1.77251;0.24553;0.19642;1.77251
2022-01-12 Kl. 06-07;1.77289;1.77289;0.25540;0.20432;1.77289
2022-01-12 Kl. 07-08;1.83215;1.83215;0.26140;0.20912;1.83215
2022-01-12 Kl. 08-09;1.86253;1.86253;0.26115;0.20892;1.86253
2022-01-12 Kl. 09-10;1.82565;1.82565;0.26065;0.20852;1.82565
2022-01-12 Kl. 10-11;1.79526;1.79526;0.26015;0.20812;1.79526
2022-01-12 Kl. 11-12;1.75251;1.75251;0.25978;0.20782;1.75251
2022-01-12 Kl. 12-13;1.75014;1.75014;0.26140;0.20912;1.75014
2022-01-12 Kl. 13-14;1.73814;1.73814;0.26553;0.21242;1.73814
2022-01-12 Kl. 14-15;1.71689;1.71689;0.26253;0.21002;1.71689
2022-01-12 Kl. 15-16;1.70701;1.70701;0.26578;0.21262;1.70701
2022-01-12 Kl. 16-17;1.70814;1.70814;0.26703;0.21362;1.70814
2022-01-12 Kl. 17-18;1.70689;1.70689;0.26015;0.20812;1.70689
2022-01-12 Kl. 18-19;1.69151;1.69151;0.25890;0.20712;1.69151
2022-01-12 Kl. 19-20;1.66076;1.66076;0.26165;0.20932;1.66076
2022-01-12 Kl. 20-21;1.63988;1.63988;0.26265;0.21012;1.63988
2022-01-12 Kl. 21-22;1.63400;1.63400;0.25178;0.20142;1.63400
2022-01-12 Kl. 22-23;1.61400;1.61400;0.22651;0.18121;1.61400
2022-01-12 Kl. 23-00;1.59775;1.59775;0.17026;0.13621;1.59775
2022-01-13 Kl. 00-01;1.56941;1.56941;0.16243;0.12994;1.56941
2022-01-13 Kl. 01-02;1.54795;1.54795;0.14145;0.11316;1.54795
2022-01-13 Kl. 02-03;1.51779;1.51779;0.13116;0.10493;1.51779
2022-01-13 Kl. 03-04;1.50688;1.50688;0.12991;0.10393;1.50688
2022-01-13 Kl. 04-05;1.50104;1.50104;0.13475;0.10780;1.50104
2022-01-13 Kl. 05-06;1.50786;1.50786;0.16416;0.13133;1.50786
2022-01-13 Kl. 06-07;1.54360;1.54360;0.19023;0.15218;1.54360
2022-01-13 Kl. 07-08;1.61185;1.61185;0.26070;0.20856;1.61185
2022-01-13 Kl. 08-09;1.64598;1.64598;0.31306;0.25045;1.64598
2022-01-13 Kl. 09-10;1.65416;1.65416;0.31790;0.25432;1.65416
2022-01-13 Kl. 10-11;1.65565;1.65565;0.31778;0.25422;1.65565
2022-01-13 Kl. 11-12;1.64808;1.64808;0.30053;0.24042;1.64808
2022-01-13 Kl. 12-13;1.61706;1.61706;0.26566;0.21253;1.61706
2022-01-13 Kl. 13-14;1.61271;1.61271;0.22608;0.18086;1.61271
2022-01-13 Kl. 14-15;1.61198;1.61198;0.21938;0.17550;1.61198
2022-01-13 Kl. 15-16;1.61073;1.61073;0.23353;0.18682;1.61073
2022-01-13 Kl. 16-17;1.61755;1.61755;0.24395;0.19516;1.61755
2022-01-13 Kl. 17-18;1.61594;1.61594;0.24941;0.19953;1.61594
2022-01-13 Kl. 18-19;1.61731;1.61731;0.25475;0.20380;1.61731
2022-01-13 Kl. 19-20;1.60056;1.60056;0.24594;0.19675;1.60056
2022-01-13 Kl. 20-21;1.56793;1.56793;0.22410;0.17928;1.56793
2022-01-13 Kl. 21-22;1.56544;1.56544;0.22111;0.17689;1.56544
2022-01-13 Kl. 22-23;1.50576;1.50576;0.18514;0.14811;1.50576
2022-01-13 Kl. 23-00;1.46804;1.46804;0.14258;0.11406;1.46804
2022-01-14 Kl. 00-01;1.44994;1.44994;0.18541;0.14833;1.44994
2022-01-14 Kl. 01-02;1.41019;1.41019;0.15599;0.12479;1.41019
2022-01-14 Kl. 02-03;1.38721;1.38721;0.14158;0.11326;1.38721
2022-01-14 Kl. 03-04;1.37728;1.37728;0.14183;0.11346;1.37728
2022-01-14 Kl. 04-05;1.40759;1.40759;0.16369;0.13095;1.40759
2022-01-14 Kl. 05-06;1.49464;1.49464;0.20045;0.16036;1.49464
2022-01-14 Kl. 06-07;1.55115;1.55115;0.23895;0.19116;1.55115
2022-01-14 Kl. 07-08;1.59660;1.59660;0.25745;0.20596;1.59660
2022-01-14 Kl. 08-09;1.61411;1.61411;0.24789;0.19831;1.61411
2022-01-14 Kl. 09-10;1.61411;1.61411;0.24925;0.19940;1.61411
2022-01-14 Kl. 10-11;1.63138;1.63138;0.25211;0.20169;1.63138
2022-01-14 Kl. 11-12;1.61386;1.61386;0.24875;0.19900;1.61386
2022-01-14 Kl. 12-13;1.60828;1.60828;0.25856;0.20685;1.60828
2022-01-14 Kl. 13-14;1.60518;1.60518;0.26030;0.20824;1.60518
2022-01-14 Kl. 14-15;1.64851;1.64851;0.25398;0.20318;1.64851
2022-01-14 Kl. 15-16;1.68888;1.68888;0.25061;0.20049;1.68888
2022-01-14 Kl. 16-17;1.70986;1.70986;0.24801;0.19841;1.70986
2022-01-14 Kl. 17-18;1.75954;1.75954;0.24603;0.19682;1.75954
2022-01-14 Kl. 18-19;1.74861;1.74861;0.24553;0.19642;1.74861
2022-01-14 Kl. 19-20;1.75445;1.75445;0.24404;0.19523;1.75445
2022-01-14 Kl. 20-21;1.75259;1.75259;0.24193;0.19354;1.75259
2022-01-14 Kl. 21-22;1.75619;1.75619;0.24168;0.19334;1.75619
2022-01-14 Kl. 22-23;1.75060;1.75060;0.23088;0.18470;1.75060
2022-01-14 Kl. 23-00;1.74501;1.74501;0.22876;0.18301;1.74501
2022-01-15 Kl. 00-01;1.76976;1.76976;0.21483;0.17186;1.76976
2022-01-15 Kl. 01-02;1.74838;1.74838;0.20886;0.16709;1.74838
2022-01-15 Kl. 02-03;1.74414;1.74414;0.20824;0.16659;1.74414
