Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2022-01-01 Kl. 00-01;1.65955;1.65955;0.58195;0.46556;1.65955
2022-01-01 Kl. 01-02;1.61471;1.61471;0.51614;0.41291;1.61471
2022-01-01 Kl. 02-03;1.64944;1.64944;0.52675;0.42140;1.64944
2022-01-01 Kl. 03-04;1.39168;1.39168;0.55410;0.44328;1.39168
2022-01-01 Kl. 04-05;1.40304;1.40304;0.47043;0.37634;1.40304
2022-01-01 Kl. 05-06;1.42240;1.42240;0.49578;0.39662;1.42240
2022-01-01 Kl. 06-07;1.52668;1.52668;0.50689;0.40551;1.52668
2022-01-01 Kl. 07-08;1.48084;1.48084;0.54024;0.43219;1.48084
2022-01-01 Kl. 08-09;1.47946;1.47946;0.61741;0.49393;1.47946
2022-01-01 Kl. 09-10;1.47185;1.47185;0.61766;0.49413;1.47185
2022-01-01 Kl. 10-11;1.49895;1.49895;0.61529;0.49223;1.49895
2022-01-01 Kl. 11-12;1.46199;1.46199;0.61055;0.48844;1.46199
2022-01-01 Kl. 12-13;1.46324;1.46324;0.60505;0.48404;1.46324
2022-01-01 Kl. 13-14;1.49958;1.49958;0.55210;0.44168;1.49958
2022-01-01 Kl. 14-15;1.55528;1.55528;0.52925;0.42340;1.55528
2022-01-01 Kl. 15-16;1.55964;1.55964;0.52563;0.42050;1.55964
2022-01-01 Kl. 16-17;1.69326;1.69326;0.52825;0.42260;1.69326
2022-01-01 Kl. 17-18;1.87285;1.87285;0.50689;0.40551;1.87285
2022-01-01 Kl. 18-19;1.88209;1.88209;0.50090;0.40072;1.88209
2022-01-01 Kl. 19-20;1.79591;1.79591;0.48104;0.38483;1.79591
2022-01-01 Kl. 20-21;1.75284;1.75284;0.43346;0.34677;1.75284
2022-01-01 Kl. 21-22;1.74646;1.74646;0.40561;0.32449;1.74646
2022-01-01 Kl. 22-23;1.68690;1.68690;0.41061;0.32849;1.68690
2022-01-01 Kl. 23-00;1.54129;1.54129;0.40511;0.32409;1.54129
2022-01-02 Kl. 00-01;1.41894;1.41894;0.40021;0.32017;1.41894
2022-01-02 Kl. 01-02;1.39519;1.39519;0.39709;0.31767;1.39519
2022-01-02 Kl. 02-03;1.33109;1.33109;0.39734;0.31787;1.33109
2022-01-02 Kl. 03-04;1.30573;1.30573;0.39846;0.31877;1.30573
2022-01-02 Kl. 04-05;1.30023;1.30023;0.36935;0.29548;1.30023
2022-01-02 Kl. 05-06;1.32273;1.32273;0.39946;0.31957;1.32273
2022-01-02 Kl. 06-07;1.39906;1.39906;0.39559;0.31647;1.39906
2022-01-02 Kl. 07-08;1.31473;1.31473;0.40334;0.32267;1.31473
2022-01-02 Kl. 08-09;1.39356;1.39356;0.41146;0.32917;1.39356
2022-01-02 Kl. 09-10;1.44705;1.44705;0.45369;0.36295;1.44705
2022-01-02 Kl. 10-11;1.52364;1.52364;0.46594;0.37275;1.52364
2022-01-02 Kl. 11-12;1.51564;1.51564;0.46856;0.37485;1.51564
2022-01-02 Kl. 12-13;1.40481;1.40481;0.46844;0.37475;1.40481
2022-01-02 Kl. 13-14;1.39181;1.39181;0.46844;0.37475;1.39181
2022-01-02 Kl. 14-15;1.39294;1.39294;0.46194;0.36955;1.39294
2022-01-02 Kl. 15-16;1.47679;1.47679;0.44920;0.35936;1.47679
2022-01-02 Kl. 16-17;1.52814;1.52814;0.43770;0.35016;1.52814
2022-01-02 Kl. 17-18;1.62173;1.62173;0.41496;0.33197;1.62173
2022-01-02 Kl. 18-19;1.69895;1.69895;0.41171;0.32937;1.69895
2022-01-02 Kl. 19-20;1.60349;1.60349;0.41121;0.32897;1.60349
2022-01-02 Kl. 20-21;1.45341;1.45341;0.41546;0.33237;1.45341
2022-01-02 Kl. 21-22;1.37695;1.37695;0.44070;0.35256;1.37695
2022-01-02 Kl. 22-23;1.30960;1.30960;0.48693;0.38954;1.30960
2022-01-02 Kl. 23-00;1.37645;1.37645;0.41146;0.32917;1.37645
2022-01-03 Kl. 00-01;1.56175;1.56175;0.26103;0.20882;1.56175
2022-01-03 Kl. 01-02;1.54201;1.54201;0.24890;0.19912;1.54201
2022-01-03 Kl. 02-03;1.53351;1.53351;0.24828;0.19862;1.53351
2022-01-03 Kl. 03-04;1.51876;1.51876;0.24765;0.19812;1.51876
2022-01-03 Kl. 04-05;1.52701;1.52701;0.25315;0.20252;1.52701
2022-01-03 Kl. 05-06;1.54401;1.54401;0.36673;0.29338;1.54401
2022-01-03 Kl. 06-07;1.50790;1.50790;0.43645;0.34916;1.50790
2022-01-03 Kl. 07-08;1.51190;1.51190;0.43520;0.34816;1.51190
2022-01-03 Kl. 08-09;1.58186;1.58186;0.46256;0.37005;1.58186
2022-01-03 Kl. 09-10;1.65634;1.65634;0.48430;0.38744;1.65634
2022-01-03 Kl. 10-11;1.53651;1.53651;0.48493;0.38794;1.53651
2022-01-03 Kl. 11-12;1.53851;1.53851;0.48593;0.38874;1.53851
2022-01-03 Kl. 12-13;1.54900;1.54900;0.48655;0.38924;1.54900
2022-01-03 Kl. 13-14;1.58274;1.58274;0.49880;0.39904;1.58274
2022-01-03 Kl. 14-15;1.67121;1.67121;0.49905;0.39924;1.67121
2022-01-03 Kl. 15-16;1.72081;1.72081;0.49918;0.39934;1.72081
2022-01-03 Kl. 16-17;1.71781;1.71781;0.52991;0.42393;1.71781
2022-01-03 Kl. 17-18;1.79591;1.79591;0.57951;0.46361;1.79591
2022-01-03 Kl. 18-19;1.81340;1.81340;0.57103;0.45682;1.81340
2022-01-03 Kl. 19-20;1.78441;1.78441;0.56478;0.45182;1.78441
2022-01-03 Kl. 20-21;1.77704;1.77704;0.54778;0.43822;1.77704
2022-01-03 Kl. 21-22;1.74430;1.74430;0.53191;0.42553;1.74430
2022-01-03 Kl. 22-23;1.63423;1.63423;0.49293;0.39434;1.63423
2022-01-03 Kl. 23-00;1.41994;1.41994;0.42983;0.34386;1.41994
2022-01-04 Kl. 00-01;1.64761;1.64761;0.49925;0.39940;1.64761
2022-01-04 Kl. 01-02;1.64961;1.64961;0.46335;0.37068;1.64961
2022-01-04 Kl. 02-03;1.60820;1.60820;0.43833;0.35066;1.60820
2022-01-04 Kl. 03-04;1.44471;1.44471;0.43745;0.34996;1.44471
2022-01-04 Kl. 04-05;1.41831;1.41831;0.44008;0.35206;1.41831
2022-01-04 Kl. 05-06;1.66450;1.66450;0.46398;0.37118;1.66450
2022-01-04 Kl. 06-07;1.79435;1.79435;0.46385;0.37108;1.79435
2022-01-04 Kl. 07-08;1.93808;1.93808;0.53690;0.42952;1.93808
2022-01-04 Kl. 08-09;2.10008;2.10008;0.54916;0.43933;2.10008
2022-01-04 Kl. 09-10;2.08469;2.08469;0.55854;0.44683;2.08469
2022-01-04 Kl. 10-11;2.09269;2.09269;0.56368;0.45094;2.09269
2022-01-04 Kl. 11-12;2.05929;2.05929;0.57480;0.45984;2.05929
2022-01-04 Kl. 12-13;2.00125;2.00125;0.58594;0.46875;2.00125
2022-01-04 Kl. 13-14;1.94759;1.94759;0.58794;0.47035;1.94759
2022-01-04 Kl. 14-15;1.94095;1.94095;0.59333;0.47466;1.94095
2022-01-04 Kl. 15-16;1.98211;1.98211;0.59920;0.47936;1.98211
2022-01-04 Kl. 16-17;2.01839;2.01839;0.60483;0.48386;2.01839
2022-01-04 Kl. 17-18;2.09858;2.09858;0.60745;0.48596;2.09858
2022-01-04 Kl. 18-19;2.05729;2.05729;0.61234;0.48987;2.05729
2022-01-04 Kl. 19-20;1.92494;1.92494;0.61271;0.49017;1.92494
2022-01-04 Kl. 20-21;1.83650;1.83650;0.61384;0.49107;1.83650
2022-01-04 Kl. 21-22;1.77095;1.77095;0.61384;0.49107;1.77095
2022-01-04 Kl. 22-23;1.71654;1.71654;0.60870;0.48696;1.71654
2022-01-04 Kl. 23-00;1.42920;1.42920;0.61134;0.48907;1.42920
2022-01-05 Kl. 00-01;1.66636;1.66636;0.67961;0.49933;1.66636
2022-01-05 Kl. 01-02;1.54421;1.54421;0.64695;0.49433;1.54421
2022-01-05 Kl. 02-03;1.39740;1.39740;0.62630;0.49002;1.39740
2022-01-05 Kl. 03-04;1.29376;1.29376;0.61991;0.48211;1.29376
2022-01-05 Kl. 04-05;1.32493;1.32493;0.62566;0.49242;1.32493
2022-01-05 Kl. 05-06;1.52294;1.52294;0.62630;0.49883;1.52294
2022-01-05 Kl. 06-07;1.73133;1.73133;0.79150;0.63320;1.73133
2022-01-05 Kl. 07-08;1.73658;1.73658;0.87686;0.70149;1.73658
2022-01-05 Kl. 08-09;1.73708;1.73708;0.82605;0.66084;1.73708
2022-01-05 Kl. 09-10;1.74159;1.74159;0.71415;0.57132;1.74159
2022-01-05 Kl. 10-11;1.74071;1.74071;0.66021;0.52817;1.74071
2022-01-05 Kl. 11-12;1.72806;1.72806;0.66221;0.52977;1.72806
2022-01-05 Kl. 12-13;1.71380;1.71380;0.62479;0.49983;1.71380
2022-01-05 Kl. 13-14;1.71305;1.71305;0.62404;0.49923;1.71305
2022-01-05 Kl. 14-15;1.70979;1.70979;0.62216;0.49773;1.70979
2022-01-05 Kl. 15-16;1.71530;1.71530;0.62054;0.49643;1.71530
2022-01-05 Kl. 16-17;1.77313;1.77313;0.61240;0.48992;1.77313
2022-01-05 Kl. 17-18;1.85348;1.85348;0.60401;0.48321;1.85348
2022-01-05 Kl. 18-19;1.79929;1.79929;0.60014;0.48011;1.79929
2022-01-05 Kl. 19-20;1.75335;1.75335;0.58963;0.47170;1.75335
2022-01-05 Kl. 20-21;1.72281;1.72281;0.57936;0.46349;1.72281
2022-01-05 Kl. 21-22;1.73971;1.73971;0.56998;0.45598;1.73971
2022-01-05 Kl. 22-23;1.71368;1.71368;0.54081;0.43265;1.71368
2022-01-05 Kl. 23-00;1.69615;1.69615;0.53744;0.42995;1.69615
2022-01-06 Kl. 00-01;1.57160;1.57160;0.65058;0.47909;1.57160
2022-01-06 Kl. 01-02;1.56074;1.56074;0.64670;0.46580;1.56074
2022-01-06 Kl. 02-03;1.56161;1.56161;0.65345;0.45790;1.56161
2022-01-06 Kl. 03-04;1.62308;1.62308;0.64683;0.44091;1.62308
2022-01-06 Kl. 04-05;1.74911;1.74911;0.65258;0.43562;1.74911
2022-01-06 Kl. 05-06;1.83494;1.83494;0.66981;0.44061;1.83494
2022-01-06 Kl. 06-07;1.89739;1.89739;0.62373;0.49898;1.89739
2022-01-06 Kl. 07-08;1.91900;1.91900;0.65308;0.52246;1.91900
2022-01-06 Kl. 08-09;2.28151;2.28151;0.67569;0.54055;2.07315
2022-01-06 Kl. 09-10;2.57170;2.57170;0.66270;0.53016;2.08340
2022-01-06 Kl. 10-11;2.61393;2.61393;0.66544;0.53235;2.09714
