Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2024-01-01 Kl. 00-01;0.75419;0.75419;0.41446;0.33157;0.77690
2024-01-01 Kl. 01-02;0.68675;0.68675;0.39904;0.31923;0.74886
2024-01-01 Kl. 02-03;0.38488;0.38488;0.37380;0.29904;0.72951
2024-01-01 Kl. 03-04;0.34324;0.34324;0.34324;0.27459;0.71143
2024-01-01 Kl. 04-05;0.33665;0.33665;0.33665;0.26932;0.69881
2024-01-01 Kl. 05-06;0.29766;0.29766;0.29766;0.23813;0.75391
2024-01-01 Kl. 06-07;0.31715;0.31715;0.31715;0.25372;0.80018
2024-01-01 Kl. 07-08;0.35109;0.35109;0.35109;0.28087;0.80229
2024-01-01 Kl. 08-09;0.36791;0.36791;0.36791;0.29433;0.65562
2024-01-01 Kl. 09-10;0.45161;0.45161;0.45161;0.34694;0.65745
2024-01-01 Kl. 10-11;0.66894;0.66894;0.57963;0.37004;0.66894
2024-01-01 Kl. 11-12;0.73625;0.73625;0.61005;0.39887;0.73625
2024-01-01 Kl. 12-13;0.79318;0.79318;0.60319;0.39887;0.79318
2024-01-01 Kl. 13-14;0.83874;0.83874;0.62099;0.42781;0.83874
2024-01-01 Kl. 14-15;0.87015;0.87015;0.64834;0.42781;0.87015
2024-01-01 Kl. 15-16;0.87660;0.87660;0.70960;0.42781;0.87660
2024-01-01 Kl. 16-17;0.88599;0.88599;0.83383;0.44363;0.88599
2024-01-01 Kl. 17-18;0.91123;0.91123;0.91123;0.45148;0.91123
2024-01-01 Kl. 18-19;0.89146;0.89146;0.86566;0.42781;0.89146
2024-01-01 Kl. 19-20;0.88473;0.88473;0.77214;0.42781;0.88473
2024-01-01 Kl. 20-21;0.87141;0.87141;0.67315;0.39887;0.87141
2024-01-01 Kl. 21-22;0.81700;0.81700;0.61706;0.39887;0.81700
2024-01-01 Kl. 22-23;0.73723;0.73723;0.63375;0.39887;0.73723
2024-01-01 Kl. 23-00;0.61735;0.61735;0.53280;0.39270;0.71409
2024-01-02 Kl. 00-01;0.53280;0.53280;0.53280;0.36623;0.84519
2024-01-02 Kl. 01-02;0.47055;0.47055;0.47055;0.36724;0.81953
2024-01-02 Kl. 02-03;0.44909;0.44909;0.44909;0.35927;0.81519
2024-01-02 Kl. 03-04;0.45274;0.45274;0.45274;0.36219;0.80691
2024-01-02 Kl. 04-05;0.51458;0.51458;0.51458;0.37262;0.81462
2024-01-02 Kl. 05-06;0.58496;0.58496;0.58496;0.42826;0.83145
2024-01-02 Kl. 06-07;0.68955;0.68955;0.68955;0.46920;0.82093
2024-01-02 Kl. 07-08;0.86986;0.86986;0.82374;0.49825;0.86986
2024-01-02 Kl. 08-09;0.92076;0.92076;0.92076;0.49848;0.92076
2024-01-02 Kl. 09-10;0.93660;0.93660;0.92693;0.49848;0.93660
