Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2021-01-01 Kl. 00-01;0.32574;0.32574;0.31034;0.19479;0.32574
2021-01-01 Kl. 01-02;0.31790;0.31790;0.29936;0.19437;0.31790
2021-01-01 Kl. 02-03;0.31308;0.31308;0.30916;0.19395;0.31308
2021-01-01 Kl. 03-04;0.30968;0.30968;0.30850;0.19395;0.30968
2021-01-01 Kl. 04-05;0.30981;0.30981;0.30955;0.19416;0.30981
2021-01-01 Kl. 05-06;0.31411;0.31411;0.31190;0.19500;0.31411
2021-01-01 Kl. 06-07;0.31908;0.31908;0.31804;0.19542;0.31908
2021-01-01 Kl. 07-08;0.32548;0.32548;0.32548;0.19343;0.32548
2021-01-01 Kl. 08-09;0.32509;0.32509;0.32509;0.19448;0.32509
2021-01-01 Kl. 09-10;0.32730;0.32730;0.32730;0.19636;0.32730
2021-01-01 Kl. 10-11;0.33461;0.33461;0.33461;0.19782;0.33461
2021-01-01 Kl. 11-12;0.33840;0.33840;0.33840;0.19845;0.33840
2021-01-01 Kl. 12-13;0.34114;0.34114;0.34114;0.23897;0.34114
2021-01-01 Kl. 13-14;0.34689;0.34689;0.34689;0.27751;0.34689
2021-01-01 Kl. 14-15;0.35641;0.35641;0.35641;0.28513;0.35641
2021-01-01 Kl. 15-16;0.37353;0.37353;0.37353;0.29882;0.37353
2021-01-01 Kl. 16-17;0.38319;0.38319;0.39494;0.31595;0.38319
2021-01-01 Kl. 17-18;0.38253;0.38253;0.39415;0.31532;0.38253
2021-01-01 Kl. 18-19;0.37626;0.37626;0.37626;0.30101;0.37626
2021-01-01 Kl. 19-20;0.36883;0.36883;0.36883;0.29506;0.36883
2021-01-01 Kl. 20-21;0.35668;0.35668;0.35668;0.28534;0.35668
2021-01-01 Kl. 21-22;0.35224;0.35224;0.32626;0.26101;0.35224
2021-01-01 Kl. 22-23;0.34519;0.34519;0.29924;0.23939;0.34519
2021-01-01 Kl. 23-00;0.33475;0.33475;0.28474;0.22779;0.33475
2021-01-02 Kl. 00-01;0.33409;0.33409;0.28761;0.20315;0.33409
2021-01-02 Kl. 01-02;0.32521;0.32521;0.28840;0.20262;0.32521
2021-01-02 Kl. 02-03;0.32300;0.32300;0.28723;0.20231;0.32300
2021-01-02 Kl. 03-04;0.32195;0.32195;0.28761;0.20294;0.32195
2021-01-02 Kl. 04-05;0.32274;0.32274;0.28840;0.20335;0.32274
2021-01-02 Kl. 05-06;0.32535;0.32535;0.30759;0.20367;0.32535
2021-01-02 Kl. 06-07;0.33449;0.33449;0.31869;0.20367;0.33449
2021-01-02 Kl. 07-08;0.34193;0.34193;0.33605;0.20941;0.34193
2021-01-02 Kl. 08-09;0.34859;0.34859;0.33775;0.21704;0.34859
2021-01-02 Kl. 09-10;0.35106;0.35106;0.35106;0.23719;0.35106
2021-01-02 Kl. 10-11;0.36164;0.36164;0.36164;0.27250;0.36164
2021-01-02 Kl. 11-12;0.36674;0.36674;0.38854;0.31083;0.36674
2021-01-02 Kl. 12-13;0.36346;0.36346;0.37365;0.29892;0.36346
2021-01-02 Kl. 13-14;0.36346;0.36346;0.37496;0.29997;0.36346
2021-01-02 Kl. 14-15;0.36439;0.36439;0.37718;0.30174;0.36439
2021-01-02 Kl. 15-16;0.36660;0.36660;0.51883;0.37120;0.36660
2021-01-02 Kl. 16-17;0.37665;0.37665;0.76871;0.36566;0.37665
2021-01-02 Kl. 17-18;0.37770;0.37770;0.79000;0.33516;0.37770
2021-01-02 Kl. 18-19;0.37248;0.37248;0.78125;0.33015;0.37248
2021-01-02 Kl. 19-20;0.37221;0.37221;0.39089;0.24618;0.37221
2021-01-02 Kl. 20-21;0.35746;0.35746;0.35746;0.22466;0.35746
2021-01-02 Kl. 21-22;0.35198;0.35198;0.35198;0.21714;0.35198
2021-01-02 Kl. 22-23;0.35054;0.35054;0.35054;0.21620;0.35054
2021-01-02 Kl. 23-00;0.33866;0.33866;0.33866;0.20753;0.33866
2021-01-03 Kl. 00-01;0.32991;0.32991;0.32991;0.23907;0.32991
2021-01-03 Kl. 01-02;0.32104;0.32104;0.32104;0.22644;0.32104
2021-01-03 Kl. 02-03;0.31151;0.31151;0.31151;0.21181;0.31151
2021-01-03 Kl. 03-04;0.30773;0.30773;0.30773;0.20868;0.30773
2021-01-03 Kl. 04-05;0.30668;0.30668;0.30668;0.20858;0.30668
2021-01-03 Kl. 05-06;0.31138;0.31138;0.31138;0.20879;0.31138
2021-01-03 Kl. 06-07;0.31399;0.31399;0.31399;0.20805;0.31399
2021-01-03 Kl. 07-08;0.32378;0.32378;0.32378;0.20795;0.32378
2021-01-03 Kl. 08-09;0.32600;0.32600;0.32600;0.20805;0.32600
2021-01-03 Kl. 09-10;0.33488;0.33488;0.33488;0.21829;0.33488
2021-01-03 Kl. 10-11;0.33945;0.33945;0.33945;0.25129;0.33945
2021-01-03 Kl. 11-12;0.34036;0.34036;0.34036;0.26090;0.34036
2021-01-03 Kl. 12-13;0.33775;0.33775;0.33775;0.26216;0.33775
2021-01-03 Kl. 13-14;0.33723;0.33723;0.33723;0.26289;0.33723
2021-01-03 Kl. 14-15;0.33971;0.33971;0.33971;0.26393;0.33971
2021-01-03 Kl. 15-16;0.34598;0.34598;0.34598;0.26362;0.34598
2021-01-03 Kl. 16-17;0.36621;0.36621;0.36621;0.25850;0.36621
2021-01-03 Kl. 17-18;0.37248;0.37248;0.37248;0.22309;0.37248
2021-01-03 Kl. 18-19;0.36778;0.36778;0.36778;0.24409;0.36778
