,0
Romoppvarming_sum,128167
Tappevann_sum,42722
DirekteElektrisk_sum,170889
Levert_fra_luft_sum,112241
Kompressor_luft_sum,45282
Spisslast_luft_sum,13364
Strøm_luft_sum,58647
Levert_fra_brønn_sum,127384
Kompressor_grunnvarme_sum,41466
Strøm_grunnvarme_sum,43504
Spisslast_grunnvarme_sum,2038
Romoppvarming_maks,40
Tappevann_maks,8
DirekteElektrisk_maks,48
Levert_fra_luft_maks,21
Kompressor_luft_maks,8
Strøm_luft_maks,36
Spisslast_luft_maks,30
Levert_fra_brønn_maks,24
Kompressor_grunnvarme_maks,9
Strøm_grunnvarme_maks,25
Spisslast_grunnvarme_maks,16
