,Til EED
0,-3106.7725628386697
1,-2522.4603685965803
2,-2963.118821176367
3,-2810.9887110948007
4,-2811.5894281303954
5,-2818.3739426374127
6,-3111.432370568442
7,-3118.3775042938632
8,-3264.8021724406167
9,-3993.46275023254
10,-3983.4726494134716
11,-3991.591010090529
12,-3845.77100557045
13,-3554.5242363567163
14,-3546.899120024336
15,-3401.5032966619196
16,-3547.33069447713
17,-3675.956139509888
18,-3684.258135426118
19,-3539.1477144185055
20,-3547.236483494051
21,-3547.333622325302
22,-3256.1075082376087
23,-3256.503378422576
24,-3394.9246333257697
25,-3103.9161396550076
26,-3104.334745410127
27,-3104.6385739384273
28,-3104.907112647914
29,-3396.364832444032
30,-4264.960683361597
31,-4981.4288532657
32,-3972.598148622369
33,-4116.933326796454
34,-4116.608648278925
35,-3971.9944763428803
36,-3971.9518865310833
37,-3827.312894201806
38,-3972.008501752293
39,-3818.536209208807
40,-4106.83080437536
41,-4393.719702923355
42,-4392.9098804718515
43,-4524.9724789631
44,-4381.287963804399
45,-4227.821966676592
46,-4084.817934117092
47,-4075.118067300119
48,-3789.2889007415038
49,-3494.4834219126624
50,-3495.210522020796
51,-3629.8700555720666
52,-3630.0867177086993
53,-4047.317602772636
54,-4752.868643726388
55,-5730.248571487668
56,-4618.897218847565
57,-4759.662486710168
58,-4641.082185874685
59,-4498.898792273862
60,-4377.7412666323735
61,-4367.374931267317
62,-4509.962252798495
63,-4356.640312840493
64,-4758.69920690106
65,-5039.069458354798
66,-5037.901619913038
67,-5163.960331187514
68,-5035.872595804415
69,-4754.33513287656
70,-4483.779437210089
71,-4484.18557965454
72,-4068.9160891790657
73,-3927.1086796817353
74,-3927.9378407361523
75,-3803.7383086081863
76,-3795.3348677004083
77,-4091.887712979759
78,-4959.705017808497
79,-5512.61271779442
80,-4517.144058863838
81,-4670.811706319514
82,-4527.82086016775
83,-4384.858989899955
84,-4385.098762519832
85,-4241.950603149164
86,-4242.347222845712
87,-4099.050313374375
88,-4386.228968872169
89,-4671.942224208787
