,Til EED
90,-4538.9795499667425
91,-4538.727901950715
92,-4538.531904308888
93,-4251.453525542889
94,-3973.029204646026
95,-3973.6238667898174
96,-3539.685823100522
97,-3387.6978948793803
98,-3243.4332023703214
99,-3251.5519871980914
100,-3244.864124772009
101,-3535.6822903281363
102,-4401.802032800965
103,-5116.137852743263
104,-4110.714283691946
105,-4254.806953050111
106,-4110.791227047852
107,-3966.7712802494643
108,-3967.0403067851007
109,-3967.159437260097
110,-3967.3472584552637
111,-3823.049456491395
112,-4111.869590544747
113,-4399.277807561123
114,-4388.527639253388
115,-4388.044411166282
116,-4387.70872307826
117,-4100.585987709995
118,-3957.103650839461
119,-3813.465066933699
120,-3661.1568915877674
121,-3373.3582503282137
122,-3374.1574349064754
123,-3382.5763127124837
124,-3383.0150913942016
125,-3383.3963510670815
126,-3673.000841319642
127,-3817.2166609511705
128,-4114.424688435825
129,-4688.6242948599665
130,-4830.1816675179725
131,-4828.703007356874
132,-4541.272077663472
133,-4397.517347809437
134,-4253.808331015622
135,-4253.926831496374
136,-4253.963333521158
137,-4541.086809778956
138,-4540.58988174799
139,-4396.737155320671
140,-4396.666566839227
141,-4109.096777387228
142,-3821.1568524109143
143,-3685.627920796511
144,-3541.203451747645
145,-3251.0719049654126
146,-3251.9088983633483
147,-3106.75707269369
148,-3107.4225234078945
149,-3253.7947926118572
150,-3399.7264817709097
151,-3690.518770970412
152,-3980.0834748828433
153,-4412.6634026675865
154,-4699.114303877943
155,-4564.16678005854
156,-4274.772286056669
157,-4139.147504246433
158,-3848.740786563586
159,-3849.1595326304864
160,-3857.7669202652924
161,-4003.6450063602692
162,-4012.138367429721
163,-4003.503323650728
164,-3866.0414858714034
165,-3565.971639933366
166,-3280.5954825906224
167,-3274.3238801432167
168,-2993.623065827412
169,-2703.9188171586948
170,-2556.0708333470516
171,-2556.76162457103
172,-2557.336188747134
173,-2855.0650392071157
174,-3742.2842388520767
175,-4035.2765728979152
176,-3297.8634973684057
177,-3452.7763795397846
178,-3156.6186575803017
179,-3008.565830670462
180,-3008.9616877423464
181,-2860.62736365807
182,-3003.6202950999323
183,-2855.42256807906
184,-3152.292681311609
185,-3300.2002648291555
186,-3300.0438806821408
187,-3299.9479761497187
188,-3299.896401818408
189,-3145.4790951338327
190,-2997.7999942048423
191,-2850.005381309277
192,-2409.814513739391
193,-2261.2111484388465
194,-2257.1758589939445
195,-2257.616919949082
196,-2257.9861065621353
197,-2556.18067729502
198,-3445.1703525873
199,-3885.799643690372
200,-3147.612667993436
201,-3295.4109920444453
202,-3147.5012685242923
203,-2999.598143629631
204,-2999.775620011139
205,-2999.889842680138
206,-3000.019251914769
207,-3000.0779982027952
208,-3148.1415047796368
209,-3583.2959140513217
210,-3442.807145267897
211,-3582.3932110884375
212,-3574.429811811278
213,-3427.4688817829838
214,-3140.11891853598
215,-2992.756995168044
216,-2697.254311239231
217,-2401.080721898652
218,-2544.8293351279
219,-2545.160612835402
220,-2545.462120635366
221,-2841.564002822213
222,-3724.3096077354708
223,-4307.367298903845
224,-3428.1750401714585
225,-3574.88979125734
226,-3420.607807514817
227,-3420.5977813040013
228,-3420.555241467643
229,-3420.469852627696
230,-3420.4516436561807
231,-3420.3644977350345
232,-3566.7020973103445
233,-3858.5500740810703
234,-3857.962853763638
235,-3857.4677434398586
236,-3857.103858467615
237,-3564.8373140438425
238,-3426.0670354356225
239,-3286.3932755247215
240,-2844.037505159419
241,-2559.036265503721
242,-2554.527024738518
243,-2555.0433688693956
244,-2698.4644406007055
245,-2846.7955131505055
246,-3869.8755581699465
247,-4315.475991974094
248,-3434.750762121297
249,-3581.86855632771
250,-3434.7220448621138
251,-3294.43630857676
252,-3146.8751861381543
253,-3005.350625966251
254,-3005.719842432705
255,-3005.9500171712643
256,-3154.4387472677795
257,-3450.409362082267
258,-3450.096804918845
259,-3449.853408768917
260,-3449.68852840764
261,-3153.675113410306
262,-3005.6796104351074
263,-3005.9732669906925
264,-2554.940640252369
265,-2406.728480896979
266,-2407.2833930190372
267,-2402.72220416048
268,-2403.059613449343
269,-2700.327004543294
270,-3446.5158248050116
271,-4034.3347737360737
272,-3148.8224462979597
273,-3296.7795880619137
274,-3155.322265346861
275,-3148.9341171742435
276,-3000.9518142037264
277,-3001.1034544821205
278,-3142.7856074724928
279,-3142.697187372136
280,-3290.208353586203
281,-3584.431897723878
282,-3583.9431855951057
283,-3583.521148527035
284,-3583.217736905274
285,-3288.664603855971
286,-3141.3878760805906
287,-3141.6117245046244
288,-2846.2201140729667
289,-2550.2674911359254
290,-2550.845264675198
291,-2551.247692255482
292,-2407.970155138721
293,-2551.9765277483966
294,-2842.835039030817
295,-2996.7157939713384
296,-3298.7537413241066
297,-3740.7645340134654
298,-4033.7078657721113
299,-3885.648714024241
300,-3590.8033178632504
301,-3590.686188519237
302,-3295.6152925554406
303,-3295.8274488682855
304,-3443.516929907326
305,-3730.1821117034074
306,-3729.726527227531
307,-3582.5088838209253
308,-3582.429327346156
309,-3288.0914061811523
310,-2993.3078061506535
311,-2845.917293552046
312,-2846.3930353252267
313,-2550.369345349234
314,-2545.564791626251
315,-2545.9644343115324
316,-2546.2984904703017
317,-2688.931769238195
318,-2836.6080720499176
319,-3131.1297966256416
320,-3571.0749483626128
321,-4008.6331318246575
322,-4152.9815992641325
323,-4297.127628417754
324,-4004.962555117694
325,-3867.062572679953
326,-3574.1051778530673
327,-3574.27978775745
328,-3712.8507459902835
329,-4004.37081531407
330,-4003.7940723499623
331,-3857.602478036226
332,-3857.470252889268
333,-3565.3089414130177
334,-3279.7722592032683
335,-3133.180808665056
336,-2980.003870243043
337,-2833.3247312099165
338,-2833.844980673984
339,-2834.242362016872
340,-2692.854452891573
341,-2988.6536521670005
342,-3861.8337509799308
343,-4442.766065444581
344,-3566.8467902488023
345,-3713.0546176464154
346,-3712.839592211984
347,-3566.494680811435
348,-3566.5279123219843
349,-3420.127738261144
350,-3420.327692064668
351,-3420.407944317194
352,-3713.037482144901
353,-3858.621404057279
354,-3858.1567042575934
355,-3857.7883618108053
356,-3857.513045510906
357,-3711.3995925383233
358,-3419.015349841523
359,-3411.897572086712
360,-3119.507701853875
361,-2820.337653324724
362,-2820.993679450038
363,-2961.3925323314857
364,-2968.2734418821087
365,-3253.77005276901
366,-4124.515804354182
367,-4842.853125471534
368,-3831.635089805023
369,-3976.308883451493
370,-3848.4908591160847
371,-3710.9543530619717
372,-3564.9622294108453
373,-3565.1445837782217
374,-3703.3450409516045
375,-3695.0045344859304
376,-3840.1925545278646
377,-4129.7222892255595
378,-4138.276303242914
379,-4137.724674903822
380,-4000.981672441347
381,-3855.242306076432
382,-3563.5109628759355
383,-3571.5616316830337
384,-3131.4801763390283
385,-2984.941380162725
386,-2838.160417105724
387,-2838.7445326001016
388,-2839.224524836026
389,-3134.446593862975
390,-4014.248374671638
391,-4449.9462251988325
392,-3572.803162957434
393,-3719.403613470193
394,-3572.909204665164
395,-3426.370727624123
396,-3426.597133771544
397,-3426.7223565632876
398,-3426.8818388531236
399,-3280.077530203646
400,-3573.8604873913796
401,-3866.3630520933684
402,-3865.8411411370234
403,-3719.2046331537113
404,-3719.114578621535
405,-3564.9569754904032
406,-3418.79921933916
407,-3279.5472654617015
408,-2979.1929395768902
409,-2685.2730937025153
410,-2685.9607951785474
411,-2686.454538349275
412,-2686.8547112390183
413,-2981.9166596066802
414,-3861.3097639103316
415,-4442.094265504471
416,-3566.291028971918
417,-3712.4872777239307
418,-3566.1425845122603
419,-3566.1503558006816
420,-3427.1335485648615
421,-3427.245890804875
422,-3427.366379809477
423,-3420.037072529683
424,-3566.4610397047595
425,-3858.3778811814673
426,-3857.8782193052266
427,-3857.4498575953808
428,-3857.1508179477164
429,-3711.0131037183596
430,-3418.65908318022
431,-3418.9618551576186
432,-2979.042866284461
433,-2832.5393736269193
434,-2833.164648123318
435,-2833.593920534961
436,-2833.959358383981
437,-3128.5294140446094
438,-4006.53185556647
439,-4586.249932030678
440,-3711.7296553273804
441,-3711.7225483844563
442,-3711.6881708880337
443,-3565.4863878006327
444,-3557.8191388592354
445,-3557.8410992595527
446,-3557.910576161997
447,-3557.8898712438854
448,-3703.692930366962
449,-3994.440987712156
450,-3993.8720686649517
451,-3993.3961708313523
452,-3993.042190242145
453,-3701.928612697094
454,-3556.3961876632393
455,-3556.638102468919
456,-3264.7140315428533
457,-2965.71763110724
458,-2972.9503301438276
459,-2966.8655413624474
460,-2967.244694705405
461,-2967.5552952412086
462,-3253.035181750022
463,-3543.949300608124
464,-3978.468949945139
465,-4420.478019076336
466,-4563.147242483801
467,-4571.866023018328
468,-4281.615963605352
469,-4136.40221398952
470,-3982.361498572392
471,-3982.416310093562
472,-4117.781941385525
473,-4395.50757721449
474,-4527.606681946921
475,-4516.020929575685
476,-4504.495072180456
477,-4076.535005212805
478,-3924.3369914991836
479,-3781.931989669978
480,-3782.3610223709147
481,-3496.467851573161
482,-3631.316392412954
483,-3631.5770350866474
484,-3622.6617437569894
485,-3765.184972913312
486,-3907.2295967360114
487,-4332.096040349729
488,-4742.046665873246
489,-5173.791775024364
490,-5464.982417414633
491,-5476.193774698246
492,-5065.271482702026
493,-5052.182544570482
494,-4910.717814086285
495,-4898.153208468951
496,-5038.287661025239
497,-5317.894562079243
498,-5316.715333257612
499,-5302.1524577277005
500,-5161.770764712861
501,-4868.996502069521
502,-4716.989359254859
503,-4577.637165378778
504,-4438.167050621076
505,-4158.198231353094
506,-4287.981156730776
507,-4299.761687638443
508,-4288.609468507919
509,-4568.269728716919
510,-5415.513998838105
511,-6377.677766116013
512,-5132.060100198355
513,-5284.69330995369
514,-5284.149415000081
515,-5005.257807823144
516,-5018.381559962018
517,-4890.824334935954
518,-4903.369822342841
519,-4491.268916124094
520,-4786.716708246483
521,-5069.566401250885
522,-5068.966278952089
523,-4938.9746420465835
524,-5080.522244448034
525,-4796.630487998442
526,-4512.496778955631
527,-4513.092464010592
528,-4085.193984143924
529,-3942.98058816016
530,-3800.4492086900486
531,-3801.3213071641985
532,-3666.8284410254005
533,-3955.5630548178033
534,-4957.270230842843
535,-5381.349300617698
536,-4382.876527379337
537,-4526.26219079422
538,-4383.320717659496
539,-4250.1795147746
540,-4106.794733128215
541,-4107.247121319921
542,-4107.665235685873
543,-3828.3766350934893
544,-4108.596729484306
545,-4396.064597866352
546,-4405.719648355501
547,-4405.405976874488
548,-4270.858277126832
549,-3981.8473305247117
550,-3837.461545131494
551,-3700.9890667935324
552,-3263.910357662463
553,-3118.5286646807604
554,-3119.41087359405
555,-2973.4548751659054
556,-2974.1392389834896
557,-3267.8721053812433
558,-4142.731472507673
559,-4720.389235837236
560,-3849.364071034806
561,-3994.9348751067237
562,-3849.4749688264696
563,-3704.019134116754
564,-3566.197392245587
565,-3420.2191032364267
566,-3420.7254607421282
567,-3421.044852789288
568,-3567.736637347875
569,-3859.965281721087
570,-3859.6617231322934
571,-3859.42289542325
572,-3859.2903038110658
573,-3567.0928295057324
574,-3421.0631112749957
575,-3274.8422627188957
576,-2981.4597206621424
577,-2693.102681290001
578,-2693.86577187832
579,-2694.4269989775694
580,-2552.106448385995
581,-2849.265306476714
582,-3726.866101409298
583,-4310.5633208596555
584,-3438.1531277215186
585,-3585.4693681417107
586,-3290.9258540694177
587,-3291.212945909079
588,-3150.317236359952
589,-3002.511726844168
590,-3002.936742952891
591,-3003.2031517939813
592,-3151.609813927755
593,-3447.3335196938583
594,-3587.2158354371704
595,-3439.613906906847
596,-3579.271847723102
597,-3285.094625773972
598,-3131.4063521351513
599,-3131.6896625710424
600,-2831.2434704250336
601,-2536.955087740396
602,-2537.5816396534806
603,-2538.042855674787
604,-2538.415814642238
605,-2833.7531410453853
606,-3722.0402294703076
607,-4295.496567195295
608,-3418.860880266826
609,-3572.8995463246347
610,-3293.088647743736
611,-3152.077905280351
612,-3152.3359585400053
613,-3004.311354982047
614,-3146.383566649108
615,-3146.42338879937
616,-3566.2793635494627
617,-3857.831640755122
618,-3857.0870636052286
619,-3856.5043826637616
620,-3847.6324403007416
621,-3693.5929723217064
622,-3548.159144459405
623,-3402.662550050907
624,-3249.772455200555
625,-2958.580974206182
626,-2952.441146737569
627,-2952.8491340402193
628,-2946.362501748082
629,-2953.4547580465337
630,-3244.759930711177
631,-3534.8753602293586
632,-3968.191374472622
633,-4409.1240220616255
634,-4561.679539217678
635,-4560.166541615713
636,-4280.197344599547
637,-4144.094274102691
638,-3989.8408146087263
639,-3989.8662501564972
640,-4125.589263820304
641,-4403.965890218563
642,-4403.241955668365
643,-4392.510142225698
644,-4392.039141879557
645,-4104.468701962358
646,-3816.607242322362
647,-3672.7296102100436
648,-3673.218006995409
649,-3384.2403665014567
650,-3239.872308641112
651,-3240.478782675779
652,-3378.1593030831323
653,-3378.378164533861
654,-3667.4098503685063
655,-3811.2953239898025
656,-4241.984343313165
657,-4670.091996290878
658,-4822.3333868240525
659,-4709.975529161422
660,-4285.728014688677
661,-4276.32049853832
662,-3986.7159045770545
663,-3995.827358977472
664,-4132.097917034811
665,-4411.23928722604
666,-4410.68358711724
667,-4266.136706486685
668,-4266.056543445418
669,-3977.1342429958445
670,-3696.055305361828
671,-3551.1470089623454
672,-3267.2398773108484
673,-3121.5048836177375
674,-2975.4922138253173
675,-2976.1747487149137
676,-2976.728011920037
677,-3270.6016355096517
678,-4146.109392768412
679,-4724.1734958383395
680,-3706.6076600535266
681,-3852.591105068493
682,-3576.227752819694
683,-3429.7940128500295
684,-3290.0832050501394
685,-3290.49248696662
686,-3290.8675909674193
687,-3143.5511623475795
688,-3438.895851087056
689,-3585.998677918954
690,-3585.840898030071
691,-3585.713996594053
692,-3593.069762345629
693,-3438.4859629712178
694,-3284.444323703248
695,-3144.012420552326
696,-2700.4035134738397
697,-2552.6644679301967
698,-2409.5516293621067
699,-2405.2123440705705
700,-2549.130011217814
701,-2845.704312327368
702,-3713.925819697753
703,-4158.976577432714
704,-3293.287826185091
705,-3300.224492093787
706,-3158.719631679391
707,-3010.440264805337
708,-2867.733973630861
709,-2868.07817056325
710,-2719.142651730931
711,-2863.0467127749866
712,-3154.184063105789
713,-3442.856664454511
714,-3582.274853194474
715,-3581.7343911068297
716,-3434.4064964720455
717,-3280.204585610434
718,-3139.8846321280826
719,-3126.7489987169556
720,-2832.784693469392
721,-2538.258250083028
722,-2533.3526918757316
723,-2539.2556196383534
724,-2681.4514632994133
725,-2969.171899385181
726,-3699.1336741419536
727,-4422.819352571616
728,-3542.7674630158094
729,-3696.162872371502
730,-3566.0110031250047
731,-3419.5858969858646
732,-3419.6732950750784
733,-3419.6671653263284
734,-3558.285835629472
735,-3558.0500431148002
736,-3703.7071950961586
737,-3994.310726222104
738,-3993.6343238619397
739,-4001.8260566803638
740,-4001.380419260583
741,-3709.5704049086403
742,-3555.894869624386
743,-3556.103391117789
744,-3117.874336045214
745,-2971.928388178805
746,-2972.5262122337217
747,-2972.9450810144604
748,-2973.2828894373683
749,-3266.6305472931
750,-4140.92592395834
751,-4718.068501551044
752,-3847.129794945702
753,-3847.084878859937
754,-3847.009159356388
755,-3701.393682219812
756,-3701.4655885353313
757,-3555.7544621363754
758,-3693.483377295459
759,-3693.386183206087
760,-3838.5019941181154
761,-4262.820254486988
762,-4261.924734095818
763,-4261.221978262394
764,-4116.539558404212
765,-3972.021799455488
766,-3818.7675309605293
767,-3810.041736506566
768,-3513.510157600888
769,-3225.5045150838555
770,-3226.217328622711
771,-3363.0378263704506
772,-3363.255126699145
773,-3659.7235183873718
774,-4508.371745663645
775,-5356.391573464118
776,-4361.549395397867
777,-4371.817616367578
778,-4248.685414550203
779,-4123.65016883474
780,-3851.333422877514
781,-3851.6665100672117
782,-3979.7906374951654
783,-3834.8963765636972
784,-4115.203995547076
785,-4535.955838431257
786,-4524.41280851842
787,-4666.332546805317
788,-4522.7965124586535
789,-4379.530855093352
790,-4093.1122586909437
791,-3959.13629187711
792,-3815.445659394175
793,-3390.2232103431957
794,-3391.12726313917
795,-3253.7343624546256
796,-3392.3675463733307
797,-3384.95126629998
798,-3674.689140403343
799,-3827.7116821940826
800,-4116.24460295731
801,-4547.253474849382
802,-4700.06156852456
803,-4709.3214097484515
804,-4275.651330676202
805,-4275.6727442186375
806,-4121.749395192422
807,-4121.875664993728
808,-4121.91359057587
809,-4410.327264100271
810,-4409.869526467885
811,-4265.3916460360915
812,-4265.337972379574
813,-3967.4904678140306
814,-3678.9504322550465
815,-3671.1268567513985
816,-3518.9153918498932
817,-3375.112091049697
818,-3367.7741582648846
819,-3360.177828684173
820,-3360.5822543830764
821,-3496.139150938728
822,-3639.4468542412014
823,-4057.614405995807
824,-4493.376405196198
825,-4916.42912522645
826,-4950.344196591992
827,-4971.940141255031
828,-4541.559159778453
829,-4407.958154189541
830,-4254.301412616575
831,-4254.476462357936
832,-4388.113769258233
833,-4541.496530435511
834,-4541.081709764857
835,-4407.263487454935
836,-4407.223762313145
837,-4118.954570184678
838,-3830.3081284893083
839,-3694.3200190991893
840,-3411.3868019584197
841,-3265.9964087751564
842,-3266.751923244941
843,-3120.879984490513
844,-3121.5097637859426
845,-3414.8330294284783
846,-4288.538389859795
847,-4721.120560094477
848,-3850.071563317319
849,-3995.72651422001
850,-3850.2608169829537
851,-3704.8067807780285
852,-3559.2674088122358
853,-3559.6359663208414
854,-3559.96503862476
855,-3414.0957405952017
856,-3698.3455783194777
857,-3988.7437212369255
858,-4124.0068545022195
859,-3987.7400552242175
860,-4113.926999379638
861,-3824.9558716075194
862,-3680.5102294666563
863,-3535.933264489275
864,-3245.953169983414
865,-2955.381760526748
866,-2962.785120258892
867,-2963.34832212789
868,-3102.9575956765098
869,-3386.5023366494943
870,-4252.538765914573
871,-4978.348470131281
872,-3970.2400116758417
873,-4114.528254688647
874,-3969.988847949116
875,-3834.184980401381
876,-3834.327864863598
877,-3834.3720575845477
878,-3834.4648614851662
879,-3689.4447769165354
880,-3979.48482445328
881,-4132.985452319127
882,-4132.570157552331
883,-4132.213342171591
884,-4131.955658681742
885,-3986.886781415265
886,-3696.5771792253913
887,-3696.9614511909413
888,-3260.0637997792346
889,-3114.6415970044936
890,-3108.4506953746873
891,-3108.9639718071967
892,-3109.3935979388098
893,-3401.3970924878645
894,-4271.457315071739
895,-4712.632925012193
896,-3843.052927194874
897,-3997.1053448183175
898,-3851.5042069308106
899,-3705.9063124532986
900,-3560.251046800203
901,-3560.5548375859207
902,-3560.832484240107
903,-3414.8677727967774
904,-3707.2515391339775
905,-3998.3183890535347
906,-3997.830743698605
907,-3997.4312929971625
908,-3997.156019326589
909,-3843.0530325237014
910,-3552.242839880799
911,-3552.6139092188896
912,-3114.9641942233734
913,-2969.2668181613026
914,-2823.3065064807683
915,-2970.599765064934
916,-2970.9679484202284
917,-3264.109300286049
918,-3992.6199884527423
919,-4714.679905463366
920,-3699.053799912404
921,-3844.6261353199507
922,-3844.52962513725
923,-3699.0008369675043
924,-3561.2979471480016
925,-3561.472078216166
926,-3422.904386024512
927,-3283.421518464836
928,-3438.007238485919
929,-3732.1479145569083
930,-3592.3756876442003
931,-3592.3395493647654
932,-3731.8675414528234
933,-3584.7644721244
934,-3290.4214550666793
935,-3290.7767985422824
936,-2847.816519527371
937,-2551.921726097417
938,-2552.664259998598
939,-2553.191345080224
940,-2409.8672817025754
941,-2708.1719163047674
942,-3597.1956325000037
943,-4175.979609936318
944,-3292.7736343001097
945,-3299.7004607708186
946,-3293.0369330383005
947,-3003.754191570137
948,-2867.207516843635
949,-2861.85984702049
950,-2862.1868972845423
951,-2862.4038651018545
952,-3153.5161149941828
953,-3301.4085848961035
954,-3441.9372174354753
955,-3581.384035580326
956,-3573.3699505837635
957,-3279.6058519550757
958,-3126.0040711149336
959,-2985.696624953969
960,-2832.4744794391436
961,-2537.960328400143
962,-2538.5269586001964
963,-2538.928534804457
964,-2539.253755311046
965,-2539.5429915003974
966,-2828.8004733526946
967,-3129.2188809760128
968,-3568.8288389241743
969,-4006.057682084715
970,-4150.292413007322
971,-4294.330657333038
972,-4002.342524682257
973,-3856.2361730377716
974,-3710.195745141512
975,-3847.602939989333
976,-3709.927728184072
977,-4001.3547635996306
978,-4000.887709178048
979,-4000.4737774675787
980,-3854.567403216807
981,-3562.7212722521112
982,-3416.85370324919
983,-3270.785767444991
984,-3124.5780235606826
985,-2831.1132736483937
986,-2428.3664375457
987,-2429.087414447342
988,-2429.642371334757
989,-2420.6823894232134
990,-2846.383514808659
991,-2994.2064277721947
992,-3436.499611117887
993,-3876.411460956981
994,-3891.436939993575
995,-3890.609523563059
996,-3595.4374669281196
997,-3447.8177049106193
998,-3300.1432820563564
999,-3293.5784823092563
1000,-3434.0242581824896
1001,-3719.761111981099
1002,-3857.2291694809737
1003,-3710.8050301110984
1004,-3564.5524576596176
1005,-3410.866343178509
1006,-3118.5655759509204
1007,-2972.4340295560287
1008,-2826.0932752026583
1009,-2532.3264169541017
1010,-2532.938514639314
1011,-2680.6887677190075
1012,-2680.953109223898
1013,-2975.2362470028434
1014,-3852.4839198591603
1015,-4576.450084423409
1016,-3703.609993952602
1017,-3711.531692619496
1018,-3565.241522455297
1019,-3565.2531378960166
1020,-3293.256035406298
1021,-3152.2974671689153
1022,-3159.046718947482
1023,-3152.873300579158
1024,-3441.829372076359
1025,-3728.1925030583143
1026,-3727.686918728452
1027,-3727.284097658577
1028,-3727.0075684562166
1029,-3306.3415497981036
1030,-3293.2363695949316
1031,-3145.780818452617
1032,-2712.853294859842
1033,-2415.0399875609983
1034,-2410.868900903261
1035,-2411.382618365905
1036,-2550.407512103706
1037,-2841.1092565003173
1038,-3577.1086008936018
1039,-4161.186439786329
1040,-3288.0225092712694
1041,-3301.7473500159217
1042,-3017.548907325213
1043,-2735.3138887574437
1044,-2730.5705499058286
1045,-2585.697693239684
1046,-2435.5029856871192
1047,-2435.8896046238046
1048,-2870.9564284102867
1049,-3445.4454868081402
1050,-3444.6991099431984
1051,-3576.5313202930074
1052,-3429.1968204451227
1053,-3275.004651433661
1054,-3128.1942711294805
1055,-2981.2742563006964
1056,-2686.825069061168
1057,-2534.1211993781903
1058,-2529.0498279907533
1059,-2529.3921515730713
1060,-2676.756624167214
1061,-2970.4372486616458
1062,-3692.383611827383
1063,-4558.745843041787
1064,-3559.791474067655
1065,-3559.7017471593817
1066,-3567.338522790582
1067,-3420.7897014755326
1068,-3559.4573415033537
1069,-3559.208193223036
1070,-3559.0906835960423
1071,-3420.3122333087626
1072,-3712.911739731057
1073,-4004.2062200531223
1074,-4003.471664491653
1075,-4002.8717222694972
1076,-4002.40556409244
1077,-3710.5073704698148
1078,-3425.628811942675
1079,-3564.9133025220112
1080,-3125.4936877605546
1081,-2832.02138439159
1082,-2832.7067589085095
1083,-2833.1880681200955
1084,-2833.5765173066316
1085,-3128.1162582176908
1086,-4005.991984022183
1087,-4585.63992518782
1088,-3711.2402129722846
1089,-3857.1168877123077
1090,-3702.8757168599027
1091,-3564.866706397385
1092,-3564.9901133154362
1093,-3418.721434769954
1094,-3565.275555175714
1095,-3418.8953453177505
1096,-3711.4626390963526
1097,-3857.039087769544
1098,-4002.305158625374
1099,-3856.091663815526
1100,-3855.8814580765284
1101,-3571.528071694787
1102,-3432.452148212697
1103,-3425.4834346788934
1104,-2990.994580739491
1105,-2695.95044567165
1106,-2696.6658484789864
1107,-2697.1911820699243
1108,-2697.5980052239406
1109,-2993.8632056769484
1110,-3876.8661105657225
1111,-4314.266910293112
1112,-3433.895293107603
1113,-3581.0397688632793
1114,-3433.992325989668
1115,-3293.7761368862766
1116,-3152.7474210569703
1117,-3004.8127947074
1118,-3146.9854946271703
1119,-3147.086811777877
1120,-3435.3106725818784
1121,-3720.974890551454
1122,-3858.3881273337097
1123,-3857.742453251714
1124,-3711.363859104958
1125,-3565.126649010946
1126,-3272.39081659725
1127,-3132.723491844688
1128,-2985.837897498418
1129,-2691.1406355585273
1130,-2691.75854568546
1131,-2544.253946005265
1132,-2550.0683950652265
1133,-2550.443365650997
1134,-2853.108104449951
1135,-3001.3286266155374
1136,-3297.0559689072775
1137,-3885.9284740470007
1138,-4031.528606934737
1139,-4030.415378863875
1140,-3735.978727512263
1141,-3588.708541250455
1142,-3434.2571480537313
1143,-3434.394245438643
1144,-3581.4434535122377
1145,-3728.0643760406456
1146,-3588.4866140659933
1147,-3580.931988588797
1148,-3441.093457829268
1149,-3152.521101795074
1150,-3004.711381758575
1151,-2856.698538954629
1152,-2702.977697600711
1153,-2554.899535826541
1154,-2406.6156374635375
1155,-2407.098194119522
1156,-2407.49146215712
1157,-2407.820905663976
1158,-2700.093151279666
1159,-2848.2630087669895
1160,-3291.5033833104426
1161,-3732.4017093566376
1162,-3894.1624244550794
1163,-3753.4336817197805
1164,-3457.118300095395
1165,-3315.513560258188
1166,-3160.6247755959753
1167,-3160.8349173384136
1168,-3295.912095483697
1169,-3583.334258572088
1170,-3582.9208125941227
1171,-3575.033409125132
1172,-3567.1372566230666
1173,-3274.0086985716707
1174,-3127.4445619895328
1175,-2980.7314289954597
1176,-2833.8703772443505
1177,-2533.715395754272
1178,-2675.727286170738
1179,-2676.031637012039
1180,-2816.8550487826833
1181,-3109.4074668238113
1182,-3828.020254706026
1183,-4701.645423124955
1184,-3696.6832271863286
1185,-3712.8682502031597
1186,-3566.5193607062906
1187,-3427.5332049837284
1188,-3434.939884962639
1189,-3294.607640608601
1190,-3294.8416305861433
1191,-3288.090929346827
1192,-3574.8893508477663
1193,-4004.8142548636524
1194,-3995.1925062076325
1195,-3994.533392529841
1196,-4002.7884273743134
1197,-3710.8317055654566
1198,-3564.8489740727955
1199,-3418.7266517898056
1200,-3118.993595981242
1201,-2832.2541589458538
1202,-2832.9107845315634
1203,-2833.3838450079593
