Eiendom,Spotprisår,Kostnad for vannbåren varme (kr),Kilde vannbåren varme,Kilde andre kostnader,Beregningstid (år),Diskonteringsrente (%),Nåverdi bergvarme (kr),Nåverdi luft-luft-varmepumpe (kr),Differanse (kr),Forklaring
Markalleen 26B,2023,76500,Sweco,Asplan Viak,60,4,337674,104767,232907,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,50,5,211042,32462,178580,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,30,5,127488,8860,118628,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,60,5,234156,48389,185767,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,40,5,188815,18343,170472,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,30,6,83939,-18794,102733,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,50,5,211042,32462,178580,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,40,6,128345,-12858,141203,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,60,5,234156,48389,185767,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,50,6,142586,-3366,145952,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,30,6,83939,-18794,102733,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,60,6,156432,6174,150258,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,40,6,128345,-12858,141203,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,30,4,39818,-51213,91031,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,50,6,142586,-3366,145952,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,40,4,102715,-51108,153823,Bergvarme er lønnsom
Markalleen 26B,2023,76500,Sweco,Asplan Viak,60,6,156432,6174,150258,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,50,4,122592,-40003,162595,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,30,4,39818,-51213,91031,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,60,4,151297,-20023,171320,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,40,4,102715,-51108,153823,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,30,5,3905,-73907,77812,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,50,4,122592,-40003,162595,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,40,5,49274,-75104,124378,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,60,4,151297,-20023,171320,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,50,5,61704,-67541,129245,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,30,5,3905,-73907,77812,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,60,5,78803,-55639,134442,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,40,5,49274,-75104,124378,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,30,6,-26503,-92768,66265,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,50,5,61704,-67541,129245,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,40,6,6347,-94565,100912,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,60,5,78803,-55639,134442,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,50,6,14135,-89391,103526,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,30,6,-26503,-92768,66265,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,60,6,24378,-82261,106639,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,40,6,6347,-94565,100912,Bergvarme er lønnsom
