,Romoppvarming,Tappevann,DirekteElektrisk,Levert_fra_luft,Kompressor_luft,Spisslast_luft,Strøm_luft,Levert_fra_brønn,Kompressor_grunnvarme,Strøm_grunnvarme,Spisslast_grunnvarme
0,4.0,0.2,4.2,2.6097720730240863,1.5902279269759139,0.0,1.5902279269759139,3.1067725628386698,1.0932274371613304,1.0932274371613304,0.0
1,3.4,0.0,3.4,2.112672630543308,1.2873273694566918,0.0,1.2873273694566918,2.5224603685965805,0.8775396314034194,0.8775396314034194,0.0
2,4.0,0.0,4.0,2.4854972124038914,1.5145027875961086,0.0,1.5145027875961086,2.963118821176367,1.036881178823633,1.036881178823633,0.0
3,3.8,0.0,3.8,2.361222351783697,1.4387776482163028,0.0,1.4387776482163028,2.810988711094801,0.989011288905199,0.989011288905199,0.0
4,3.8,0.0,3.8,2.361222351783697,1.4387776482163028,0.0,1.4387776482163028,2.8115894281303953,0.9884105718696046,0.9884105718696046,0.0
5,3.8,0.0,3.8,2.361222351783697,1.4387776482163028,0.0,1.4387776482163028,2.818373942637413,0.981626057362587,0.981626057362587,0.0
6,4.2,0.0,4.2,2.6097720730240863,1.5902279269759139,0.0,1.5902279269759139,3.111432370568442,1.0885676294315583,1.0885676294315583,0.0
7,4.0,0.2,4.2,2.6097720730240863,1.5902279269759139,0.0,1.5902279269759139,3.1183775042938633,1.0816224957061369,1.0816224957061369,0.0
8,4.0,0.4,4.4,2.734046933644281,1.6659530663557192,0.0,1.6659530663557192,3.264802172440617,1.1351978275593835,1.1351978275593835,0.0
9,4.8,0.6,5.3999999999999995,2.4066415429493087,1.4664531938927956,1.5269052631578952,2.993358457050691,3.99346275023254,1.4065372497674593,1.4065372497674593,0.0
10,4.6,0.8,5.3999999999999995,2.3383557774295807,1.4248442225704183,1.6368000000000005,3.061644222570419,3.983472649413472,1.4165273505865277,1.4165273505865277,0.0
11,4.6,0.8,5.3999999999999995,2.4066415429493087,1.4664531938927956,1.5269052631578952,2.993358457050691,3.991591010090529,1.4084089899094705,1.4084089899094705,0.0
12,4.6,0.6,5.199999999999999,2.4066415429493087,1.4664531938927956,1.326905263157895,2.7933584570506906,3.84577100557045,1.3542289944295494,1.3542289944295494,0.0
13,4.2,0.6,4.8,2.98259665488467,1.8174033451153297,0.0,1.8174033451153297,3.554524236356716,1.2454757636432836,1.2454757636432836,0.0
14,4.4,0.4,4.800000000000001,2.3383557774295807,1.4248442225704183,1.0368000000000017,2.46164422257042,3.546899120024336,1.2531008799756647,1.2531008799756647,0.0
15,4.2,0.4,4.6000000000000005,2.8583217942644756,1.741678205735525,0.0,1.741678205735525,3.40150329666192,1.1984967033380807,1.1984967033380807,0.0
16,4.4,0.4,4.800000000000001,2.3383557774295807,1.4248442225704183,1.0368000000000017,2.46164422257042,3.5473306944771297,1.252669305522871,1.252669305522871,0.0
17,4.4,0.6,5.0,2.2017842463901243,1.3416262799256633,1.4565894736842124,2.7982157536098757,3.6759561395098883,1.3240438604901117,1.3240438604901117,0.0
18,4.4,0.6,5.0,2.2700700119098522,1.383235251248041,1.3466947368421067,2.7299299880901478,3.6842581354261177,1.3157418645738823,1.3157418645738823,0.0
19,4.2,0.6,4.8,2.2700700119098522,1.383235251248041,1.1466947368421065,2.5299299880901476,3.5391477144185055,1.2608522855814943,1.2608522855814943,0.0
20,4.2,0.6,4.8,2.3383557774295807,1.4248442225704183,1.0368000000000008,2.461644222570419,3.547236483494051,1.252763516505949,1.252763516505949,0.0
21,4.4,0.4,4.800000000000001,2.3383557774295807,1.4248442225704183,1.0368000000000017,2.46164422257042,3.547333622325302,1.2526663776746987,1.2526663776746987,0.0
22,4.0,0.4,4.4,2.734046933644281,1.6659530663557192,0.0,1.6659530663557192,3.2561075082376085,1.1438924917623918,1.1438924917623918,0.0
23,4.2,0.2,4.4,2.734046933644281,1.6659530663557192,0.0,1.6659530663557192,3.2565033784225763,1.143496621577424,1.143496621577424,0.0
24,4.4,0.2,4.6000000000000005,2.2700700119098522,1.383235251248041,0.9466947368421073,2.3299299880901483,3.3949246333257697,1.2050753666742309,1.2050753666742309,0.0
