År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
0.0,0.0,578722.0,448910.0,1.0,0.0,0.0,0.0,578722.0,448910.0,0.0,578722.0,448910.0,0.0,1.57,1.74,1.73,108621,100999
1.0,32992.0,0.0,0.0,0.9615384615384615,16799.0,24021.0,57057.0,16799.0,24021.0,54862.49999999999,16152.884615384613,23097.115384615383,54862.49999999999,1.57,1.74,1.73,108621,100999
2.0,32992.0,0.0,0.0,0.9245562130177514,16799.0,24021.0,57057.0,16799.0,24021.0,52752.40384615384,15531.619822485205,22208.764792899405,52752.40384615384,1.57,1.74,1.73,108621,100999
3.0,32992.0,0.0,0.0,0.8889963586709149,16799.0,24021.0,57057.0,16799.0,24021.0,50723.46523668639,14934.2498293127,21354.581531634045,50723.46523668639,1.57,1.74,1.73,108621,100999
4.0,32992.0,0.0,0.0,0.8548041910297257,16799.0,24021.0,57057.0,16799.0,24021.0,48772.56272758306,14359.855605108361,20533.251472725042,48772.56272758306,1.57,1.74,1.73,108621,100999
5.0,32992.0,0.0,0.0,0.8219271067593517,16799.0,24021.0,57057.0,16799.0,24021.0,46896.69493036833,13807.553466450348,19743.511031466387,46896.69493036833,1.57,1.74,1.73,108621,100999
6.0,32992.0,0.0,0.0,0.7903145257301457,16799.0,24021.0,57057.0,16799.0,24021.0,45092.975894584924,13276.493717740717,18984.14522256383,45092.975894584924,1.57,1.74,1.73,108621,100999
7.0,32992.0,0.0,0.0,0.7599178132020633,16799.0,24021.0,57057.0,16799.0,24021.0,43358.63066787013,12765.859343981461,18253.985790926763,43358.63066787013,1.57,1.74,1.73,108621,100999
8.0,32992.0,0.0,0.0,0.7306902050019839,16799.0,24021.0,57057.0,16799.0,24021.0,41690.9910267982,12274.864753828328,17551.909414352656,41690.9910267982,1.57,1.74,1.73,108621,100999
9.0,32992.0,0.0,0.0,0.7025867355788306,16799.0,24021.0,57057.0,16799.0,24021.0,40087.49137192134,11802.754570988775,16876.83597533909,40087.49137192134,1.57,1.74,1.73,108621,100999
