,Utetemperatur (grader),"Turtemperatur, varmesystem (grader)",Tappevannsbehov (kWh),Romoppvarmingsbehov (kWh),Kjølebehov (kWh),"Grunnvarme, kompressor (kWh)","Grunnvarme, fra brønner (kWh)","Grunnvarme, spisslast (kWh)","Grunnvarme, COP","Luft-vann, kompressor (kWh)","Luft-vann, fra luft (kWh)","Luft-vann, spisslast (kWh)","Luft-vann, COP","Direkte elektrisk, strømkostnad (kr)","Grunnvarme, strømkostnad (kr)","Luft-vann, strømkostnad (kr)",Brønntemperatur år 12 - 13 (grader),Spotpris (kr)
0,-2,40.666666666666664,0.229,4.58,0.0,1.2123576227818518,3.5966423772181484,0.0,3.966971009746886,1.8481531096275474,2.9608468903724527,0.0,2.752,9.090260340000002,2.5972172400000004,3.493489897004568,2.676715930556668,1.56936
1,-2,40.666666666666664,0.0,3.893,0.0,0.9742416640042322,2.9187583359957676,0.0,3.9962216652921545,1.496123945888967,2.3968760541110328,0.0,2.752,6.8217039,1.949058257142857,2.621657990381237,3.0786398684079064,1.4314
2,-2,40.666666666666664,0.0,4.58,0.0,1.150484989652429,3.429515010347571,0.0,3.9812368153519353,1.7601458186929024,2.8198541813070976,0.0,2.752,7.6375622,2.182160628571429,2.935201565794097,2.8727410444695005,1.34669
3,-3,41.0,0.0,4.351,0.0,1.0978246145146446,3.2531753854853553,0.0,3.9635869654594345,1.672138527758257,2.678861472241743,0.0,2.677028571428571,6.681743679999999,1.9090696228571424,2.5678696943077997,2.9894543287569713,1.21478
4,-3,41.0,0.0,4.351,0.0,1.0972424848878921,3.253757515112108,0.0,3.9656874902199446,1.672138527758257,2.678861472241743,0.0,2.677028571428571,6.1265995900000005,1.7504570257142855,2.3545215395511243,3.018591887732154,1.08719
5,-2,40.666666666666664,0.0,4.351,0.0,1.089663549939944,3.261336450060056,0.0,3.9932713602645307,1.672138527758257,2.678861472241743,0.0,2.752,5.950384089999999,1.7001097399999996,2.2867999291769143,3.0381023491649377,1.04669
6,-2,40.666666666666664,0.0,4.809,0.0,1.2078477511563266,3.6011522488436736,0.0,3.9817691903042336,1.8481531096275474,2.9608468903724527,0.0,2.752,6.454639800000001,1.8441828000000002,2.4805911037420945,2.8800575527193484,1.0213
7,-1,40.333333333333336,0.229,4.58,0.0,1.2000218187271283,3.608978181272872,0.0,4.007740340813918,1.8481531096275474,2.9608468903724527,0.0,2.8269714285714285,5.7348767700000005,1.6385362200000002,2.203978027824139,2.878733357717274,0.87163
8,-1,40.333333333333336,0.458,4.58,0.0,1.2591600748835958,3.7788399251164044,0.0,4.001400647437462,1.9361604005621924,3.101839599437808,0.0,2.8269714285714285,6.9766727799999995,1.99333508,2.6812142843025297,2.792439680183529,1.06391
9,-1,40.333333333333336,0.687,5.496,0.0,1.5581852306620165,4.624814769337984,0.0,3.9684354415785466,2.3761968552354182,3.8068031447645825,0.0,2.8269714285714285,9.606465270000001,2.7447043628571435,3.691873292010717,2.3437373531749097,1.23279
10,-2,40.666666666666664,0.916,5.267,0.0,1.5692729921585,4.613727007841501,0.0,3.940394772533417,2.3761968552354182,3.8068031447645825,0.0,2.752,10.608420420000002,3.0309772628571436,4.076935992401617,2.3115491441210088,1.39484
11,-1,40.333333333333336,0.916,5.267,0.0,1.5599913309358113,4.623008669064189,0.0,3.963847960874937,2.3761968552354182,3.8068031447645825,0.0,2.8269714285714285,11.44034307,3.268669448571429,4.396653279273542,2.2812965932507354,1.52939
12,-1,40.333333333333336,0.687,5.267,0.0,1.5002736249523512,4.4537263750476495,0.0,3.9689691270700633,2.2881895643007732,3.6658104356992274,0.0,2.8269714285714285,11.309503920000001,3.231286834285714,4.346370313598033,2.351001897404973,1.57858
13,-1,40.333333333333336,0.687,4.809,0.0,1.380455804850457,4.1155441951495435,0.0,3.9816401993521615,2.112174982431483,3.3838250175685176,0.0,2.8269714285714285,10.594914000000001,3.0271182857142853,4.071745322382291,2.5234752932512485,1.60685
14,-2,40.666666666666664,0.458,5.038,0.0,1.38909886305066,4.1069011369493404,0.0,3.9568609948691393,2.112174982431483,3.3838250175685176,0.0,2.752,10.44602736,2.984579245714286,4.014526502108223,2.5378075105084728,1.57976
15,-2,40.666666666666664,0.458,4.809,0.0,1.3289144838440672,3.938085516155933,0.0,3.963717072497861,2.024167691496838,3.2428323085031625,0.0,2.752,10.052332849999999,2.8720951,3.8632252476062896,2.632013617277873,1.58765
16,-2,40.666666666666664,0.458,5.038,0.0,1.3886814636599407,4.10731853634006,0.0,3.9580486379388855,2.112174982431483,3.3838250175685176,0.0,2.752,10.581173999999999,3.0231925714285715,4.066464884926212,2.5541246250425735,1.60435
17,-4,41.333333333333336,0.687,5.038,0.0,1.4677843060298938,4.257215693970107,0.0,3.9007661451552913,2.2001822733661283,3.5248177266338723,0.0,2.602057142857143,11.03568175,3.153051928571429,4.24113735560875,2.4757465203825246,1.60673
18,-3,41.0,0.687,5.038,0.0,1.4583949351972336,4.266605064802767,0.0,3.9258842842014627,2.2001822733661283,3.5248177266338723,0.0,2.677028571428571,11.006255249999999,3.144644357142858,4.229828418723648,2.4664406281587063,1.60159
19,-3,41.0,0.687,4.809,0.0,1.3978814699974391,4.098118530002561,0.0,3.9319934223396276,2.112174982431483,3.3838250175685176,0.0,2.677028571428571,10.511099999999999,3.0031714285714286,4.039534653900211,2.5511874844009235,1.5916
20,-2,40.666666666666664,0.687,4.809,0.0,1.3887718757180396,4.107228124281961,0.0,3.957789558940897,2.112174982431483,3.3838250175685176,0.0,2.752,10.467022080000001,2.990577737142857,4.02259501054111,2.550566568725316,1.58358
21,-2,40.666666666666664,0.458,5.038,0.0,1.388677779954306,4.1073222200456945,0.0,3.9580579921079093,2.112174982431483,3.3838250175685176,0.0,2.752,10.409149200000002,2.9740426285714285,4.000353807976107,2.554256645087962,1.57305
22,-2,40.666666666666664,0.458,4.58,0.0,1.268727797319789,3.7692722026802112,0.0,3.9712302581484766,1.9361604005621924,3.101839599437808,0.0,2.752,9.319090880000001,2.6625973942857146,3.5814320625439215,2.7352538609761647,1.52886
23,-2,40.666666666666664,0.229,4.809,0.0,1.2683448290442798,3.7696551709557204,0.0,3.9724281374263892,1.9361604005621924,3.101839599437808,0.0,2.752,9.26669568,2.647627337142857,3.5612959943780744,2.7517126273484234,1.51846
24,-3,41.0,0.229,5.038,0.0,1.3365080547041632,3.930491945295837,0.0,3.9411881463276797,2.024167691496838,3.2428323085031625,0.0,2.677028571428571,10.00040023,2.8572572085714287,3.843266954168131,2.6787394970080967,1.57779
25,-3,41.0,0.0,4.809,0.0,1.2162366875633248,3.5927633124366753,0.0,3.9543085570981606,1.8481531096275474,2.9608468903724527,0.0,2.677028571428571,9.08208504,2.5948814400000004,3.490348036718201,2.860751089607538,1.56766
26,-3,41.0,0.0,4.809,0.0,1.2158314535825294,3.5931685464174707,0.0,3.9556247808102287,1.8481531096275474,2.9608468903724527,0.0,2.677028571428571,9.01822152,2.5766347200000004,3.4658045634223473,2.8790122807870366,1.55438
27,-3,41.0,0.0,4.809,0.0,1.2155372185310558,3.5934627814689444,0.0,3.9565809736036957,1.8481531096275474,2.9608468903724527,0.0,2.677028571428571,9.01374915,2.5753569,3.464085781030394,2.8922761369541137,1.55345
28,-3,41.0,0.0,4.809,0.0,1.2152770470225365,3.5937229529774637,0.0,3.9574269136572626,1.8481531096275474,2.9608468903724527,0.0,2.677028571428571,9.13267572,2.60933592,3.5097906074314826,2.9040101553591704,1.57818
29,-3,41.0,0.229,5.038,0.0,1.3351140322252002,3.9318859677748,0.0,3.945297399160793,2.024167691496838,3.2428323085031625,0.0,2.677028571428571,9.84660383,2.8133153799999997,3.784161257576423,2.7357481058653437,1.54859
30,-3,41.0,0.458,6.183,0.0,1.7001846224059953,4.940815377594005,0.0,3.9064012236473955,2.5522114371047078,4.088788562895292,0.0,2.677028571428571,13.26181136,3.7890889600000004,5.096664151440617,2.1961720977784305,1.60106
31,-3,41.0,0.687,7.099,0.0,2.011482069873944,5.7745179301260565,0.0,3.871167736623172,2.992247891777934,4.793752108222066,0.0,2.677028571428571,17.2339217,4.923977628571429,6.623191096055868,1.707402893590221,1.81755
32,-3,41.0,0.458,5.725,0.0,1.5812343296557554,4.601765670344244,0.0,3.9105869753380578,2.3761968552354182,3.8068031447645816,0.0,2.677028571428571,14.319271529999998,4.091220437142856,5.503058059008257,2.2542361869610996,1.92001
33,-3,41.0,0.458,5.954,0.0,1.6424926997893285,4.769507300210671,0.0,3.9041794642888235,2.4642041461700632,3.9477958538299367,0.0,2.677028571428571,15.10013176,4.3143233599999995,5.803151480147576,2.165351208268911,1.95908
34,-3,41.0,0.458,5.954,0.0,1.6428061890006864,4.7691938109993135,0.0,3.9034352247684327,2.4642041461700632,3.9477958538299367,0.0,2.677028571428571,15.18528312,4.33865232,5.835876111208713,2.155029184156371,1.97236
35,-3,41.0,0.458,5.725,0.0,1.5818174365082935,4.601182563491706,0.0,3.909146849032691,2.3761968552354182,3.8068031447645816,0.0,2.677028571428571,14.453442630000001,4.129555037142856,5.554621530766866,2.2342617160768494,1.94171
36,-3,41.0,0.458,5.725,0.0,1.581858571040688,4.601141428959312,0.0,3.909045270054505,2.3761968552354182,3.8068031447645816,0.0,2.677028571428571,14.53969548,4.154198708571427,5.5877694768974,2.232851460862832,1.95566
37,-3,41.0,0.458,5.496,0.0,1.5208927075973033,4.433107292402697,0.0,3.915151963796533,2.2881895643007732,3.6658104356992274,0.0,2.677028571428571,13.951889120000002,3.9862540342857145,5.361868842234717,2.317567010527494,1.94738
38,-3,41.0,0.458,5.725,0.0,1.5818039493031009,4.601196050696899,0.0,3.9091800472116973,2.3761968552354182,3.8068031447645816,0.0,2.677028571428571,14.84464104,4.241326011428571,5.704963505797611,2.234725252805701,2.00498
39,-4,41.333333333333336,0.458,5.496,0.0,1.53079632655297,4.423203673447031,0.0,3.889816674654605,2.2881895643007732,3.6658104356992274,0.0,2.602057142857143,14.521984620000003,4.149138462857143,5.580962993016516,2.3223949416792746,2.04313
40,-4,41.333333333333336,0.458,5.954,0.0,1.6537878550427987,4.758212144957201,0.0,3.877508159788962,2.4642041461700632,3.9477958538299367,0.0,2.602057142857143,16.27577196,4.650220559999999,6.254963310347857,2.149994869946199,2.14243
41,-4,41.333333333333336,0.687,6.183,0.0,1.778131741104839,5.091868258895161,0.0,3.8639656010443586,2.640218728039353,4.229781271960647,0.0,2.602057142857143,18.0807408,5.165925942857142,6.948633257203091,1.9603131135738452,2.23594
42,-4,41.333333333333336,0.687,6.183,0.0,1.7789135467752386,5.0910864532247615,0.0,3.8622683967410367,2.640218728039353,4.229781271960647,0.0,2.602057142857143,18.509085300000002,5.2883100857142855,7.113250894896346,1.936543442495902,2.29829
43,-5,41.666666666666664,0.687,6.412,0.0,1.8538055060926633,5.245194493907337,0.0,3.829776013375705,2.7282260189739986,4.370773981026002,0.0,3.158857142857142,18.16619902,5.190342577142857,6.981475818034083,1.8364691568866531,2.16308
44,-5,41.666666666666664,0.687,6.183,0.0,1.791811650619258,5.078188349380742,0.0,3.8344587260759755,2.640218728039353,4.229781271960647,0.0,3.158857142857142,16.5446775,4.727050714285714,6.3583067518007725,1.9026968370857031,2.01235
45,-6,42.0,0.458,6.183,0.0,1.7409048359328603,4.90009516406714,0.0,3.815017704617196,2.5522114371047078,4.088788562895292,0.0,3.0651428571428565,15.02712198,4.293463422857144,5.775092995651791,1.987714099174677,1.86688
46,-6,42.0,0.458,5.954,0.0,1.6781942433539925,4.7338057566460074,0.0,3.8211015582424626,2.4642041461700632,3.9477958538299367,0.0,3.0651428571428565,13.67217936,3.9063369599999995,5.254373216795503,2.074610781862718,1.81138
47,-7,42.333333333333336,0.458,5.954,0.0,1.6891694265548756,4.722830573445124,0.0,3.7962655029230334,2.4642041461700632,3.9477958538299367,0.0,2.9714285714285706,12.99577748,3.7130792799999996,4.994424321416022,2.084361321215961,1.70589
48,-7,42.333333333333336,0.229,5.725,0.0,1.5634554548670545,4.390544545132945,0.0,3.8085378938077694,2.288189564300773,3.665810435699227,0.0,2.9714285714285706,12.393012839999999,3.5408608114285713,4.762775050509486,2.2613907095679364,1.76056
49,-8,42.666666666666664,0.0,5.496,0.0,1.4478013636295168,4.048198636370484,0.0,3.7963894497931947,2.112174982431483,3.3838250175685176,0.0,2.8777142857142852,10.712803200000002,3.060800914285714,4.117051475755447,2.4579836927321956,1.6283
50,-8,42.666666666666664,0.0,5.496,0.0,1.4470977020817335,4.048902297918267,0.0,3.798231985634395,2.112174982431483,3.3838250175685176,0.0,2.8777142857142852,10.61101728,3.031719222857143,4.077933995080815,2.48483214075514,1.60978
51,-9,43.0,0.0,5.725,0.0,1.519463410041781,4.205536589958219,0.0,3.7680561461644704,2.200182273366128,3.524817726633872,0.0,2.7839999999999994,10.770385249999999,3.077252928571429,4.139180909060962,2.420358208522623,1.56039
52,-9,43.0,0.0,5.725,0.0,1.519253370562593,4.205746629437407,0.0,3.7685743061302657,2.200182273366128,3.524817726633872,0.0,2.7839999999999994,10.664415499999999,3.046975857142858,4.098455535180955,2.4279836020761776,1.54188
53,-10,43.333333333333336,0.229,6.183,0.0,1.7209806249415136,4.691019375058486,0.0,3.7260560559815055,1.9352492263688017,3.100379846312898,1.3763709273183,2.741654135338345,12.6986454,3.6281844,6.558498133369621,2.1787400035149775,1.65955
54,-10,43.333333333333336,0.458,7.099,0.0,2.044857661296529,5.512142338703471,0.0,3.69589062930659,1.9352492263688017,3.100379846312898,2.5213709273183005,2.741654135338345,16.497913410000002,4.713689545714287,9.729381156118924,1.7301956338239335,1.78723
55,-10,43.333333333333336,0.687,8.473,0.0,2.5082539341827816,6.6517460658172185,0.0,3.652218621232213,1.9352492263688017,3.100379846312898,4.1243709273183,2.741654135338345,22.270158400000007,6.362902400000001,14.732390902450232,1.0808113070799026,2.03534
56,-9,43.0,0.458,6.87,0.0,1.9712682833651298,5.3567317166348705,0.0,3.7176835936132373,2.0089907657407737,3.218518006189047,2.1004912280701795,2.834947368421052,18.67855904,5.336731154285714,10.474781938484554,1.6789559048048632,2.15303
