År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
0.0,0.0,426825.0,349075.0,1.0,0.0,0.0,0.0,426825.0,349075.0,0.0,426825.0,349075.0,0.0,2.07,2.33,1.78,91242,-99364
1.0,17624.0,0.0,0.0,0.9615384615384615,9403.0,13308.0,31418.0,9403.0,13308.0,30209.615384615383,9041.346153846152,12796.153846153846,30209.615384615383,2.07,2.33,1.78,91242,-99364
2.0,17624.0,0.0,0.0,0.9245562130177514,9403.0,13308.0,31418.0,9403.0,13308.0,29047.707100591713,8693.602071005917,12303.994082840236,29047.707100591713,2.07,2.33,1.78,91242,-99364
3.0,17624.0,0.0,0.0,0.8889963586709149,9403.0,13308.0,31418.0,9403.0,13308.0,27930.487596722804,8359.232760582612,11830.763541192535,27930.487596722804,2.07,2.33,1.78,91242,-99364
4.0,17624.0,0.0,0.0,0.8548041910297257,9403.0,13308.0,31418.0,9403.0,13308.0,26856.23807377192,8037.723808252511,11375.73417422359,26856.23807377192,2.07,2.33,1.78,91242,-99364
5.0,17624.0,0.0,0.0,0.8219271067593517,9403.0,13308.0,31418.0,9403.0,13308.0,25823.30584016531,7728.580584858184,10938.205936753451,25823.30584016531,2.07,2.33,1.78,91242,-99364
6.0,17624.0,0.0,0.0,0.7903145257301457,9403.0,13308.0,31418.0,9403.0,13308.0,24830.10176938972,7431.32748544056,10517.505708416778,24830.10176938972,2.07,2.33,1.78,91242,-99364
7.0,17624.0,0.0,0.0,0.7599178132020633,9403.0,13308.0,31418.0,9403.0,13308.0,23875.097855182426,7145.507197539001,10112.986258093058,23875.097855182426,2.07,2.33,1.78,91242,-99364
8.0,17624.0,0.0,0.0,0.7306902050019839,9403.0,13308.0,31418.0,9403.0,13308.0,22956.82486075233,6870.679997633654,9724.025248166401,22956.82486075233,2.07,2.33,1.78,91242,-99364
9.0,17624.0,0.0,0.0,0.7025867355788306,9403.0,13308.0,31418.0,9403.0,13308.0,22073.870058415698,6606.423074647743,9350.024277083077,22073.870058415698,2.07,2.33,1.78,91242,-99364
10.0,17624.0,0.0,0.0,0.6755641688257986,9403.0,13308.0,31418.0,9403.0,13308.0,21224.87505616894,6352.3298794689845,8990.407958733727,21224.87505616894,2.07,2.33,1.78,91242,-99364
11.0,17624.0,0.0,0.0,0.6495809315632679,9403.0,13308.0,31418.0,9403.0,13308.0,20408.533707854753,6108.009499489408,8644.62303724397,20408.533707854753,2.07,2.33,1.78,91242,-99364
12.0,17624.0,0.0,0.0,0.6245970495800652,9403.0,13308.0,31418.0,9403.0,13308.0,19623.59010370649,5873.0860572013535,8312.137535811507,19623.59010370649,2.07,2.33,1.78,91242,-99364
13.0,17624.0,0.0,0.0,0.6005740861346781,9403.0,13308.0,31418.0,9403.0,13308.0,18868.836638179317,5647.198131924379,7992.439938280297,18868.836638179317,2.07,2.33,1.78,91242,-99364
14.0,17624.0,0.0,0.0,0.5774750828218058,9403.0,13308.0,31418.0,9403.0,13308.0,18143.112152095495,5429.99820377344,7685.038402192592,18143.112152095495,2.07,2.33,1.78,91242,-99364
15.0,17624.0,0.0,227200.0,0.5552645027132749,9403.0,13308.0,31418.0,9403.0,240508.0,17445.30014624567,5221.152119012923,133545.5550185643,17445.30014624567,2.07,2.33,1.78,91242,-99364
16.0,17624.0,0.0,0.0,0.5339081756858411,9403.0,13308.0,31418.0,9403.0,13308.0,16774.327063697758,5020.338575973964,7105.250002027174,16774.327063697758,2.07,2.33,1.78,91242,-99364
17.0,17624.0,0.0,0.0,0.5133732458517704,9403.0,13308.0,31418.0,9403.0,13308.0,16129.16063817092,4827.248630744197,6831.97115579536,16129.16063817092,2.07,2.33,1.78,91242,-99364
18.0,17624.0,0.0,0.0,0.4936281210113176,9403.0,13308.0,31418.0,9403.0,13308.0,15508.808305933577,4641.585221869419,6569.203034418614,15508.808305933577,2.07,2.33,1.78,91242,-99364
19.0,17624.0,0.0,0.0,0.47464242404934387,9403.0,13308.0,31418.0,9403.0,13308.0,14912.315678782286,4463.06271333598,6316.541379248668,14912.315678782286,2.07,2.33,1.78,91242,-99364
20.0,17624.0,227200.0,0.0,0.45638694620129217,9403.0,13308.0,31418.0,236603.0,13308.0,14338.765075752197,107982.52063206433,6073.597480046796,14338.765075752197,2.07,2.33,1.78,91242,-99364
21.0,17624.0,0.0,0.0,0.43883360211662703,9403.0,13308.0,31418.0,9403.0,13308.0,13787.274111300188,4126.352360702644,5839.997576968072,13787.274111300188,2.07,2.33,1.78,91242,-99364
22.0,17624.0,0.0,0.0,0.42195538665060295,9403.0,13308.0,31418.0,9403.0,13308.0,13256.994337788643,3967.6465006756193,5615.382285546224,13256.994337788643,2.07,2.33,1.78,91242,-99364
23.0,17624.0,0.0,0.0,0.4057263333178874,9403.0,13308.0,31418.0,9403.0,13308.0,12747.109940181386,3815.044712188095,5399.406043794445,12747.109940181386,2.07,2.33,1.78,91242,-99364
24.0,17624.0,0.0,0.0,0.3901214743441225,9403.0,13308.0,31418.0,9403.0,13308.0,12256.83648094364,3668.3122232577834,5191.736580571582,12256.83648094364,2.07,2.33,1.78,91242,-99364
25.0,17624.0,0.0,0.0,0.37511680225396393,9403.0,13308.0,31418.0,9403.0,13308.0,11785.419693215039,3527.223291594023,4992.054404395752,11785.419693215039,2.07,2.33,1.78,91242,-99364
26.0,17624.0,0.0,0.0,0.3606892329365038,9403.0,13308.0,31418.0,9403.0,13308.0,11332.134320399076,3391.5608573019454,4800.052311918992,11332.134320399076,2.07,2.33,1.78,91242,-99364
27.0,17624.0,0.0,0.0,0.3468165701312536,9403.0,13308.0,31418.0,9403.0,13308.0,10896.283000383726,3261.1162089441777,4615.434915306723,10896.283000383726,2.07,2.33,1.78,91242,-99364
28.0,17624.0,0.0,0.0,0.3334774712800515,9403.0,13308.0,31418.0,9403.0,13308.0,10477.195192676658,3135.6886624463245,4437.918187794926,10477.195192676658,2.07,2.33,1.78,91242,-99364
29.0,17624.0,0.0,0.0,0.32065141469235725,9403.0,13308.0,31418.0,9403.0,13308.0,10074.22614680448,3015.0852523522353,4267.22902672589,10074.22614680448,2.07,2.33,1.78,91242,-99364
30.0,17624.0,0.0,227200.0,0.3083186679734204,9403.0,13308.0,31418.0,9403.0,240508.0,9686.755910388922,2899.120434954072,74153.1061969514,9686.755910388922,2.07,2.33,1.78,91242,-99364
31.0,17624.0,0.0,0.0,0.2964602576667504,9403.0,13308.0,31418.0,9403.0,13308.0,9314.188375373964,2787.615802840454,3945.293109029114,9314.188375373964,2.07,2.33,1.78,91242,-99364
32.0,17624.0,0.0,0.0,0.28505794006418306,9403.0,13308.0,31418.0,9403.0,13308.0,8955.950360936504,2680.3998104235134,3793.551066374148,8955.950360936504,2.07,2.33,1.78,91242,-99364
33.0,17624.0,0.0,0.0,0.27409417313863754,9403.0,13308.0,31418.0,9403.0,13308.0,8611.490731669714,2577.3075100226088,3647.6452561289884,8611.490731669714,2.07,2.33,1.78,91242,-99364
34.0,17624.0,0.0,0.0,0.2635520895563822,9403.0,13308.0,31418.0,9403.0,13308.0,8280.279549682416,2478.1802980986618,3507.3512078163344,8280.279549682416,2.07,2.33,1.78,91242,-99364
35.0,17624.0,0.0,0.0,0.2534154707272906,9403.0,13308.0,31418.0,9403.0,13308.0,7961.807259310016,2382.8656712487136,3372.453084438783,7961.807259310016,2.07,2.33,1.78,91242,-99364
36.0,17624.0,0.0,0.0,0.24366872185316402,9403.0,13308.0,31418.0,9403.0,13308.0,7655.583903182707,2291.2169915853015,3242.7433504219066,7655.583903182707,2.07,2.33,1.78,91242,-99364
37.0,17624.0,0.0,0.0,0.23429684793573466,9403.0,13308.0,31418.0,9403.0,13308.0,7361.138368444911,2203.093261139713,3118.022452328757,7361.138368444911,2.07,2.33,1.78,91242,-99364
38.0,17624.0,0.0,0.0,0.22528543070743715,9403.0,13308.0,31418.0,9403.0,13308.0,7078.017661966261,2118.3589049420316,2998.0985118545736,7078.017661966261,2.07,2.33,1.78,91242,-99364
39.0,17624.0,0.0,0.0,0.21662060644945877,9403.0,13308.0,31418.0,9403.0,13308.0,6805.786213429095,2036.8835624442609,2882.787030629397,6805.786213429095,2.07,2.33,1.78,91242,-99364
