År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
25.0,25519.0,0.0,0.0,0.37511680225396393,13087.0,18809.0,44735.0,13087.0,18809.0,16780.850148831076,4909.153591097626,7055.571933594808,16780.850148831076,1.74,1.94,1.75,102827,7354
26.0,25519.0,0.0,0.0,0.3606892329365038,13087.0,18809.0,44735.0,13087.0,18809.0,16135.432835414496,4720.339991440025,6784.203782302699,16135.432835414496,1.74,1.94,1.75,102827,7354
27.0,25519.0,0.0,0.0,0.3468165701312536,13087.0,18809.0,44735.0,13087.0,18809.0,15514.83926482163,4538.788453307716,6523.272867598749,15514.83926482163,1.74,1.94,1.75,102827,7354
28.0,25519.0,0.0,0.0,0.3334774712800515,13087.0,18809.0,44735.0,13087.0,18809.0,14918.114677713103,4364.219666642034,6272.377757306489,14918.114677713103,1.74,1.94,1.75,102827,7354
29.0,25519.0,0.0,0.0,0.32065141469235725,13087.0,18809.0,44735.0,13087.0,18809.0,14344.341036262602,4196.365064078879,6031.1324589485475,14344.341036262602,1.74,1.94,1.75,102827,7354
30.0,25519.0,0.0,233800.0,0.3083186679734204,13087.0,18809.0,44735.0,13087.0,252609.0,13792.635611790962,4034.9664077681527,77884.07039809776,13792.635611790962,1.74,1.94,1.75,102827,7354
31.0,25519.0,0.0,0.0,0.2964602576667504,13087.0,18809.0,44735.0,13087.0,18809.0,13262.14962672208,3879.775392084762,5576.120986453908,13262.14962672208,1.74,1.94,1.75,102827,7354
32.0,25519.0,0.0,0.0,0.28505794006418306,13087.0,18809.0,44735.0,13087.0,18809.0,12752.06694877123,3730.5532616199635,5361.654794667219,12752.06694877123,1.74,1.94,1.75,102827,7354
33.0,25519.0,0.0,0.0,0.27409417313863754,13087.0,18809.0,44735.0,13087.0,18809.0,12261.60283535695,3587.0704438653497,5155.437302564634,12261.60283535695,1.74,1.94,1.75,102827,7354
34.0,25519.0,0.0,0.0,0.2635520895563822,13087.0,18809.0,44735.0,13087.0,18809.0,11790.002726304758,3449.1061960243737,4957.151252465993,11790.002726304758,1.74,1.94,1.75,102827,7354
35.0,25519.0,0.0,0.0,0.2534154707272906,13087.0,18809.0,44735.0,13087.0,18809.0,11336.541082985344,3316.448265408052,4766.491588909609,11336.541082985344,1.74,1.94,1.75,102827,7354
36.0,25519.0,0.0,0.0,0.24366872185316402,13087.0,18809.0,44735.0,13087.0,18809.0,10900.520272101292,3188.8925628923575,4583.164989336162,10900.520272101292,1.74,1.94,1.75,102827,7354
37.0,25519.0,0.0,0.0,0.23429684793573466,13087.0,18809.0,44735.0,13087.0,18809.0,10481.26949240509,3066.2428489349595,4406.889412823233,10481.26949240509,1.74,1.94,1.75,102827,7354
38.0,25519.0,0.0,0.0,0.22528543070743715,13087.0,18809.0,44735.0,13087.0,18809.0,10078.1437426972,2948.3104316682297,4237.393666176185,10078.1437426972,1.74,1.94,1.75,102827,7354
39.0,25519.0,0.0,0.0,0.21662060644945877,13087.0,18809.0,44735.0,13087.0,18809.0,9690.522829516538,2834.913876604067,4074.41698670787,9690.522829516538,1.74,1.94,1.75,102827,7354
