,Utetemperatur (grader),"Turtemperatur, varmesystem (grader)",Tappevannsbehov (kWh),Romoppvarmingsbehov (kWh),Kjølebehov (kWh),"Grunnvarme, kompressor (kWh)","Grunnvarme, fra brønner (kWh)","Grunnvarme, spisslast (kWh)","Grunnvarme, COP","Luft-vann, kompressor (kWh)","Luft-vann, fra luft (kWh)","Luft-vann, spisslast (kWh)","Luft-vann, COP","Direkte elektrisk, strømkostnad (kr)","Grunnvarme, strømkostnad (kr)","Luft-vann, strømkostnad (kr)",Brønntemperatur år 12 - 13 (grader),Spotpris (kr)
0,-2,40.666666666666664,0.2,4.0,0.0,1.0932274371613304,3.1067725628386698,0.0,3.8418359019052915,1.5902279269759139,2.6097720730240863,0.0,2.752,7.9390920000000005,2.311517942857143,3.0059442412454915,0.9556502682915362,1.56936
1,-2,40.666666666666664,0.0,3.4,0.0,0.8775396314034194,2.5224603685965805,0.0,3.8744692239948417,1.2873273694566918,2.112672630543308,0.0,2.752,5.95782,1.7022342857142858,2.255783749498961,1.4040542830812763,1.4314
2,-2,40.666666666666664,0.0,4.0,0.0,1.036881178823633,2.963118821176367,0.0,3.8577229885595155,1.5145027875961086,2.4854972124038914,0.0,2.752,6.67036,1.9058171428571429,2.5255697035673945,1.173953107475084,1.34669
3,-3,41.0,0.0,3.8,0.0,0.989011288905199,2.810988711094801,0.0,3.8422213864555683,1.4387776482163028,2.361222351783697,0.0,2.677028571428571,5.835583999999999,1.6673097142857138,2.209502058812812,1.304206464495856,1.21478
4,-3,41.0,0.0,3.8,0.0,0.9884105718696046,2.8115894281303953,0.0,3.844556529966147,1.4387776482163028,2.361222351783697,0.0,2.677028571428571,5.350742,1.5287834285714283,2.025928418676894,1.3365986240686611,1.08719
5,-2,40.666666666666664,0.0,3.8,0.0,0.981626057362587,2.818373942637413,0.0,3.8711282003345793,1.4387776482163028,2.361222351783697,0.0,2.752,5.196841999999999,1.4848119999999996,1.9676579239241334,1.358148200220994,1.04669
6,-2,40.666666666666664,0.0,4.2,0.0,1.0885676294315583,3.111432370568442,0.0,3.858281512017076,1.5902279269759139,2.6097720730240863,0.0,2.752,5.637240000000001,1.6106400000000003,2.1344039235870715,1.1816290496866795,1.0213
7,-1,40.333333333333336,0.2,4.0,0.0,1.0816224957061369,3.1183775042938633,0.0,3.8830556632895767,1.5902279269759139,2.6097720730240863,0.0,2.8269714285714285,5.0086260000000005,1.4582938285714286,1.8963945097565866,1.1799637799383653,0.87163
8,-1,40.333333333333336,0.4,4.0,0.0,1.1351978275593835,3.264802172440617,0.0,3.8759767479527896,1.6659530663557192,2.734046933644281,0.0,2.8269714285714285,6.093164,1.8042095999999996,2.3070284658200633,1.0836081495125365,1.06391
9,-1,40.333333333333336,0.6,4.8,0.0,1.4065372497674593,3.99346275023254,0.0,3.8392161778891434,1.4664531938927956,2.4066415429493087,1.5269052631578952,2.865034586466166,8.389926,2.503660457142857,4.6507511011350875,0.5832455705002033,1.23279
