År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
25.0,23687.0,0.0,0.0,0.37511680225396393,12184.0,17677.0,41682.0,12184.0,17677.0,15635.618551549725,4570.4231186622965,6630.93971344332,15635.618551549725,1.79,2.01,1.76,103572,-14829
26.0,23687.0,0.0,0.0,0.3606892329365038,12184.0,17677.0,41682.0,12184.0,17677.0,15034.248607259351,4394.637614098362,6375.903570618578,15034.248607259351,1.79,2.01,1.76,103572,-14829
27.0,23687.0,0.0,0.0,0.3468165701312536,12184.0,17677.0,41682.0,12184.0,17677.0,14456.008276210912,4225.613090479194,6130.67651021017,14456.008276210912,1.79,2.01,1.76,103572,-14829
28.0,23687.0,0.0,0.0,0.3334774712800515,12184.0,17677.0,41682.0,12184.0,17677.0,13900.007957895106,4063.0895100761477,5894.881259817471,13900.007957895106,1.79,2.01,1.76,103572,-14829
29.0,23687.0,0.0,0.0,0.32065141469235725,12184.0,17677.0,41682.0,12184.0,17677.0,13365.392267206835,3906.8168366116806,5668.155057516799,13365.392267206835,1.79,2.01,1.76,103572,-14829
30.0,23687.0,0.0,231600.0,0.3083186679734204,12184.0,17677.0,41682.0,12184.0,249277.0,12851.338718468109,3756.554650588154,76856.75259641031,12851.338718468109,1.79,2.01,1.76,103572,-14829
31.0,23687.0,0.0,0.0,0.2964602576667504,12184.0,17677.0,41682.0,12184.0,17677.0,12357.056460065489,3612.0717794116867,5240.5279747751465,12357.056460065489,1.79,2.01,1.76,103572,-14829
32.0,23687.0,0.0,0.0,0.28505794006418306,12184.0,17677.0,41682.0,12184.0,17677.0,11881.785057755278,3473.1459417420065,5038.969206514564,11881.785057755278,1.79,2.01,1.76,103572,-14829
33.0,23687.0,0.0,0.0,0.27409417313863754,12184.0,17677.0,41682.0,12184.0,17677.0,11424.79332476469,3339.56340552116,4845.162698571696,11424.79332476469,1.79,2.01,1.76,103572,-14829
34.0,23687.0,0.0,0.0,0.2635520895563822,12184.0,17677.0,41682.0,12184.0,17677.0,10985.378196889124,3211.118659154961,4658.8102870881685,10985.378196889124,1.79,2.01,1.76,103572,-14829
35.0,23687.0,0.0,0.0,0.2534154707272906,12184.0,17677.0,41682.0,12184.0,17677.0,10562.863650854926,3087.6140953413087,4479.625276046316,10562.863650854926,1.79,2.01,1.76,103572,-14829
36.0,23687.0,0.0,0.0,0.24366872185316402,12184.0,17677.0,41682.0,12184.0,17677.0,10156.599664283582,2968.8597070589503,4307.331996198381,10156.599664283582,1.79,2.01,1.76,103572,-14829
37.0,23687.0,0.0,0.0,0.23429684793573466,12184.0,17677.0,41682.0,12184.0,17677.0,9765.961215657291,2854.672795248991,4141.665380959981,9765.961215657291,1.79,2.01,1.76,103572,-14829
38.0,23687.0,0.0,0.0,0.22528543070743715,12184.0,17677.0,41682.0,12184.0,17677.0,9390.347322747395,2744.8776877394143,3982.3705586153665,9390.347322747395,1.79,2.01,1.76,103572,-14829
39.0,23687.0,0.0,0.0,0.21662060644945877,12184.0,17677.0,41682.0,12184.0,17677.0,9029.180118026341,2639.3054689802057,3829.202460207083,9029.180118026341,1.79,2.01,1.76,103572,-14829
