,Utetemperatur (grader),"Turtemperatur, varmesystem (grader)",Tappevannsbehov (kWh),Romoppvarmingsbehov (kWh),Kjølebehov (kWh),"Grunnvarme, kompressor (kWh)","Grunnvarme, fra brønner (kWh)","Grunnvarme, spisslast (kWh)","Grunnvarme, COP","Luft-vann, kompressor (kWh)","Luft-vann, fra luft (kWh)","Luft-vann, spisslast (kWh)","Luft-vann, COP","Direkte elektrisk, strømkostnad (kr)","Grunnvarme, strømkostnad (kr)","Luft-vann, strømkostnad (kr)",Brønntemperatur år 12 - 13 (grader),Spotpris (kr)
0,-2,40.666666666666664,0.125,2.5,0.0,0.6617581452331076,1.9632418547668924,0.0,3.966697954037874,1.0088171995783557,1.6161828004216443,0.0,2.752,4.9619325,1.4176950000000001,1.9069267996749828,2.6755792490251453,1.56936
1,-2,40.666666666666664,0.0,2.125,0.0,0.5317465632594662,1.5932534367405338,0.0,3.99625746958338,0.8166615425158117,1.3083384574841883,0.0,2.752,3.7236375,1.0638964285714287,1.4310360209504567,3.0817469500490153,1.4314
2,-2,40.666666666666664,0.0,2.5,0.0,0.6279641436605918,1.8720358563394082,0.0,3.9811115290720562,0.9607782853127196,1.5392217146872804,0.0,2.752,4.168975,1.1911357142857144,1.602184260804638,2.8736344195863017,1.34669
3,-3,41.0,0.0,2.375,0.0,0.5992090683408935,1.7757909316591065,0.0,3.9635510165164867,0.9127393710470835,1.4622606289529165,0.0,2.677028571428571,3.64724,1.0420685714285716,1.4016755973295851,2.9915706418572903,1.21478
4,-3,41.0,0.0,2.375,0.0,0.5988885191250999,1.7761114808749001,0.0,3.965672576831548,0.9127393710470835,1.4622606289529165,0.0,2.677028571428571,3.34421375,0.955489642857143,1.2852191809776878,3.021000199844992,1.08719
5,-2,40.666666666666664,0.0,2.375,0.0,0.5947495971579158,1.7802504028420842,0.0,3.9932701466988907,0.9127393710470835,1.4622606289529165,0.0,2.752,3.24802625,0.9280075,1.2482532364502807,3.0407007193932776,1.04669
6,-2,40.666666666666664,0.0,2.625,0.0,0.6592740533593358,1.9657259466406642,0.0,3.981644899475974,1.0088171995783557,1.6161828004216443,0.0,2.752,3.5232750000000004,1.00665,1.3540344452740691,2.880964549381627,1.0213
7,-1,40.333333333333336,0.125,2.5,0.0,0.6550021001081539,1.9699978998918461,0.0,4.007613344462983,1.0088171995783557,1.6161828004216443,0.0,2.8269714285714285,3.13039125,0.8943975,1.2030447750131765,2.8796197069400344,0.87163
8,-1,40.333333333333336,0.25,2.5,0.0,0.6872914526074458,2.062708547392554,0.0,4.001206150390361,1.0568561138439916,1.6931438861560084,0.0,2.8269714285714285,3.8082274999999997,1.0880649999999998,1.4635449150122979,2.7924074277149247,1.06391
9,-1,40.333333333333336,0.375,3.0,0.0,0.8505755256094636,2.5244244743905364,0.0,3.967892831709479,1.2970506851721715,2.0779493148278285,0.0,2.8269714285714285,5.243703750000001,1.4982010714285716,2.015214679045151,2.3389666233118667,1.23279
10,-2,40.666666666666664,0.5,2.875,0.0,0.8566332521287134,2.5183667478712866,0.0,3.939833577102967,1.2970506851721715,2.0779493148278285,0.0,2.752,5.7906225000000004,1.6544635714285718,2.2254017425773016,2.306452727183737,1.39484
11,-1,40.333333333333336,0.5,2.875,0.0,0.8515699829750325,2.5234300170249675,0.0,3.963258864177057,1.2970506851721715,2.0779493148278285,0.0,2.8269714285714285,6.244728749999999,1.7842082142857145,2.399919912267217,2.275893012983472,1.52939
12,-1,40.333333333333336,0.375,2.875,0.0,0.8189608620144169,2.431039137985583,0.0,3.9684347131116895,1.2490117709065354,2.0009882290934646,0.0,2.8269714285714285,6.17331,1.7638028571428577,2.372472878601546,2.346342801860361,1.57858
13,-1,40.333333333333336,0.375,2.625,0.0,0.7535325404490143,2.2464674595509857,0.0,3.981239669949433,1.1529339423752636,1.8470660576247364,0.0,2.8269714285714285,5.78325,1.6523571428571429,2.222568407413914,2.52063839349855,1.60685
