År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
0.0,0.0,532930.0,418430.0,1.0,0.0,0.0,0.0,532930.0,418430.0,0.0,532930.0,418430.0,0.0,1.66,1.86,1.75,111664,47469
1.0,28480.0,0.0,0.0,0.9615384615384615,14662.0,21349.0,49746.0,14662.0,21349.0,47832.692307692305,14098.076923076922,20527.884615384613,47832.692307692305,1.66,1.86,1.75,111664,47469
2.0,28480.0,0.0,0.0,0.9245562130177514,14662.0,21349.0,49746.0,14662.0,21349.0,45992.97337278106,13555.84319526627,19738.350591715975,45992.97337278106,1.66,1.86,1.75,111664,47469
3.0,28480.0,0.0,0.0,0.8889963586709149,14662.0,21349.0,49746.0,14662.0,21349.0,44224.01285844333,13034.464610832954,18979.18326126536,44224.01285844333,1.66,1.86,1.75,111664,47469
4.0,28480.0,0.0,0.0,0.8548041910297257,14662.0,21349.0,49746.0,14662.0,21349.0,42523.089286964736,12533.139048877838,18249.214674293613,42523.089286964736,1.66,1.86,1.75,111664,47469
5.0,28480.0,0.0,0.0,0.8219271067593517,14662.0,21349.0,49746.0,14662.0,21349.0,40887.58585285071,12051.095239305614,17547.3218022054,40887.58585285071,1.66,1.86,1.75,111664,47469
6.0,28480.0,0.0,0.0,0.7903145257301457,14662.0,21349.0,49746.0,14662.0,21349.0,39314.98639697183,11587.591576255396,16872.42480981288,39314.98639697183,1.66,1.86,1.75,111664,47469
7.0,28480.0,0.0,0.0,0.7599178132020633,14662.0,21349.0,49746.0,14662.0,21349.0,37802.87153554984,11141.914977168652,16223.48539405085,37802.87153554984,1.66,1.86,1.75,111664,47469
8.0,28480.0,0.0,0.0,0.7306902050019839,14662.0,21349.0,49746.0,14662.0,21349.0,36348.91493802869,10713.379785739087,15599.505186587354,36348.91493802869,1.66,1.86,1.75,111664,47469
9.0,28480.0,0.0,0.0,0.7025867355788306,14662.0,21349.0,49746.0,14662.0,21349.0,34950.879748104504,10301.326717056814,14999.524217872453,34950.879748104504,1.66,1.86,1.75,111664,47469
10.0,28480.0,0.0,0.0,0.6755641688257986,14662.0,21349.0,49746.0,14662.0,21349.0,33606.615142408176,9905.12184332386,14422.619440261975,33606.615142408176,1.66,1.86,1.75,111664,47469
