,Utetemperatur (grader),"Turtemperatur, varmesystem (grader)",Tappevannsbehov (kWh),Romoppvarmingsbehov (kWh),Kjølebehov (kWh),"Grunnvarme, kompressor (kWh)","Grunnvarme, fra brønner (kWh)","Grunnvarme, spisslast (kWh)","Grunnvarme, COP","Luft-vann, kompressor (kWh)","Luft-vann, fra luft (kWh)","Luft-vann, spisslast (kWh)","Luft-vann, COP","Direkte elektrisk, strømkostnad (kr)","Grunnvarme, strømkostnad (kr)","Luft-vann, strømkostnad (kr)",Brønntemperatur år 12 - 13 (grader),Spotpris (kr)
0,-2,40.666666666666664,0.233,4.66,0.0,1.2335321596487465,3.6594678403512533,0.0,3.966977342945393,1.880435260014055,3.0125647399859448,0.0,2.752,9.24904218,2.6425834799999994,3.5545115545941677,2.67674933949412,1.56936
1,-2,40.666666666666664,0.0,3.961,0.0,0.9912589284135742,2.9697410715864256,0.0,3.9962217638528186,1.5222571152494728,2.438742884750527,0.0,2.752,6.9408603,1.9831029428571427,2.667451143051651,3.078587612921142,1.4314
2,-2,40.666666666666664,0.0,4.66,0.0,1.1705797705390326,3.4894202294609675,0.0,3.9812401672263404,1.7908907238229093,2.869109276177091,0.0,2.752,7.7709694,2.2202769714285715,2.9864714621398454,2.8727334960739594,1.34669
3,-3,41.0,0.0,4.427,0.0,1.1170001184796456,3.309999881520354,0.0,3.963588506264887,1.7013461876317635,2.725653812368236,0.0,2.677028571428571,6.798455359999999,1.942415817142857,2.6127233134223466,2.989422095523483,1.21478
4,-3,41.0,0.0,4.427,0.0,1.1164079409825738,3.310592059017426,0.0,3.965688606715305,1.7013461876317635,2.725653812368236,0.0,2.677028571428571,6.23361443,1.7810326942857142,2.39564855334241,3.018553764491829,1.08719
5,-2,40.666666666666664,0.0,4.427,0.0,1.1086967019614375,3.318303298038562,0.0,3.99327220824577,1.7013461876317635,2.725653812368236,0.0,2.752,6.054320929999999,1.7298059799999996,2.3267440327433233,3.0380603924419356,1.04669
6,-2,40.666666666666664,0.0,4.893,0.0,1.228944456615248,3.6640555433847517,0.0,3.9817725230765197,1.880435260014055,3.0125647399859448,0.0,2.752,6.5673846000000005,1.8763955999999997,2.5239202059908648,2.8800497429787555,1.0213
7,-1,40.333333333333336,0.233,4.66,0.0,1.2209818207669478,3.672018179233052,0.0,4.007743735791305,1.880435260014055,3.0125647399859448,0.0,2.8269714285714285,5.835049290000001,1.6671569399999997,2.2424754606245614,2.878725961625621,0.87163
8,-1,40.333333333333336,0.466,4.66,0.0,1.2811525671637352,3.844847432836265,0.0,4.001405404467969,1.9699797962052004,3.1560202037948,0.0,2.8269714285714285,7.09853606,2.0281531599999996,2.7280477215829233,2.7924508198960547,1.06391
9,-1,40.333333333333336,0.699,5.592,0.0,1.5853976667247816,4.705602333275218,0.0,3.9684472202393355,2.4177024771609275,3.873297522839072,0.0,2.8269714285714285,9.774263790000001,2.7926467971428566,3.7563601617401616,2.3438440706698134,1.23279
10,-2,40.666666666666664,0.932,5.359,0.0,1.5966788847352547,4.694321115264746,0.0,3.9404069177644527,2.417702477160928,3.8732975228390725,0.0,2.752,10.79372034,3.083920097142858,4.148148848164091,2.3116624244949566,1.39484
11,-1,40.333333333333336,0.932,5.359,0.0,1.5872349272644755,4.703765072735525,0.0,3.9638606753479992,2.417702477160928,3.8732975228390725,0.0,2.8269714285714285,11.64017439,3.3257641114285725,4.473450716466093,2.2814160504801926,1.52939
12,-1,40.333333333333336,0.699,5.359,0.0,1.5264747466826005,4.531525253317399,0.0,3.96898073824737,2.328157940969782,3.7298420590302177,0.0,2.8269714285714285,11.50704984,3.2877285257142868,4.4222894457132815,2.3511063336119205,1.57858
13,-1,40.333333333333336,0.699,4.893,0.0,1.4045653695428264,4.187434630457173,0.0,3.981649110007745,2.149068868587491,3.4429311314125086,0.0,2.8269714285714285,10.779977999999998,3.079993714285714,4.142867511419536,2.523542974855571,1.60685
14,-2,40.666666666666664,0.466,5.126,0.0,1.4133594670890446,4.178640532910956,0.0,3.9568696035380344,2.1490688685874915,3.442931131412509,0.0,2.752,10.628490720000002,3.036711634285715,4.0846492357695015,2.5378721982244636,1.57976
15,-2,40.666666666666664,0.466,4.893,0.0,1.3521244725274082,4.006875527472592,0.0,3.963724221856609,2.0595243323963457,3.2994756676036543,0.0,2.752,10.22791945,2.9222627,3.9307051645950457,2.6320582507603154,1.58765
16,-2,40.666666666666664,0.466,5.126,0.0,1.4129348670839672,4.179065132916033,0.0,3.958057000123179,2.1490688685874915,3.442931131412509,0.0,2.752,10.765998,3.0759994285714285,4.137494839248068,2.5541859198974532,1.60435
17,-4,41.333333333333336,0.699,5.126,0.0,1.4934188039852803,4.33158119601472,0.0,3.900775539241303,2.238613404778637,3.5863865952213634,0.0,2.602057142857143,11.22844475,3.2081270714285717,4.3152183574534435,2.4758244949712975,1.60673
18,-3,41.0,0.699,5.126,0.0,1.4838653840228186,4.3411346159771815,0.0,3.925893911455002,2.238613404778637,3.5863865952213634,0.0,2.677028571428571,11.198504250000003,3.1995726428571434,4.3037118845528815,2.4665205810810136,1.60159
19,-3,41.0,0.699,4.893,0.0,1.4222955473511458,4.169704452648854,0.0,3.9320017449132267,2.149068868587491,3.4429311314125086,0.0,2.677028571428571,10.6947,3.0556285714285716,4.1100942111735765,2.551249335933883,1.5916
20,-2,40.666666666666664,0.699,4.893,0.0,1.4130268400979302,4.178973159902069,0.0,3.9577979717845846,2.149068868587491,3.4429311314125086,0.0,2.752,10.649852159999998,3.0428149028571427,4.092858678847505,2.5506285612246766,1.58358
21,-2,40.666666666666664,0.466,5.126,0.0,1.4129311206843091,4.179068879315691,0.0,3.958066350181913,2.1490688685874915,3.442931131412509,0.0,2.752,10.5909684,3.0259909714285715,4.07022898366128,2.554317888253875,1.57305
