År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
0.0,0.0,550598.0,430410.0,1.0,0.0,0.0,0.0,550598.0,430410.0,0.0,550598.0,430410.0,0.0,1.63,1.81,1.74,109457,68142
1.0,30172.0,0.0,0.0,0.9615384615384615,15438.0,22257.0,52531.0,15438.0,22257.0,50510.57692307692,14844.230769230768,21400.961538461535,50510.57692307692,1.63,1.81,1.74,109457,68142
2.0,30172.0,0.0,0.0,0.9245562130177514,15438.0,22257.0,52531.0,15438.0,22257.0,48567.8624260355,14273.298816568045,20577.84763313609,48567.8624260355,1.63,1.81,1.74,109457,68142
3.0,30172.0,0.0,0.0,0.8889963586709149,15438.0,22257.0,52531.0,15438.0,22257.0,46699.867717341825,13724.325785161584,19786.391954938554,46699.867717341825,1.63,1.81,1.74,109457,68142
4.0,30172.0,0.0,0.0,0.8548041910297257,15438.0,22257.0,52531.0,15438.0,22257.0,44903.71895898252,13196.467101116905,19025.376879748605,44903.71895898252,1.63,1.81,1.74,109457,68142
5.0,30172.0,0.0,0.0,0.8219271067593517,15438.0,22257.0,52531.0,15438.0,22257.0,43176.6528451755,12688.910674150871,18293.63161514289,43176.6528451755,1.63,1.81,1.74,109457,68142
6.0,30172.0,0.0,0.0,0.7903145257301457,15438.0,22257.0,52531.0,15438.0,22257.0,41516.01235113028,12200.875648221989,17590.030399175852,41516.01235113028,1.63,1.81,1.74,109457,68142
7.0,30172.0,0.0,0.0,0.7599178132020633,15438.0,22257.0,52531.0,15438.0,22257.0,39919.24264531759,11731.611200213454,16913.49076843832,39919.24264531759,1.63,1.81,1.74,109457,68142
8.0,30172.0,0.0,0.0,0.7306902050019839,15438.0,22257.0,52531.0,15438.0,22257.0,38383.887158959216,11280.395384820627,16262.971892729156,38383.887158959216,1.63,1.81,1.74,109457,68142
9.0,30172.0,0.0,0.0,0.7025867355788306,15438.0,22257.0,52531.0,15438.0,22257.0,36907.583806691546,10846.534023865986,15637.472973778033,36907.583806691546,1.63,1.81,1.74,109457,68142
10.0,30172.0,0.0,0.0,0.6755641688257986,15438.0,22257.0,52531.0,15438.0,22257.0,35488.061352588025,10429.359638332679,15036.031705555799,35488.061352588025,1.63,1.81,1.74,109457,68142
11.0,30172.0,0.0,0.0,0.6495809315632679,15438.0,22257.0,52531.0,15438.0,22257.0,34123.13591595003,10028.23042147373,14457.722793803654,34123.13591595003,1.63,1.81,1.74,109457,68142
12.0,30172.0,0.0,0.0,0.6245970495800652,15438.0,22257.0,52531.0,15438.0,22257.0,32810.707611490405,9642.529251417047,13901.656532503512,32810.707611490405,1.63,1.81,1.74,109457,68142
13.0,30172.0,0.0,0.0,0.6005740861346781,15438.0,22257.0,52531.0,15438.0,22257.0,31548.757318740776,9271.66274174716,13366.97743509953,31548.757318740776,1.63,1.81,1.74,109457,68142
14.0,30172.0,0.0,0.0,0.5774750828218058,15438.0,22257.0,52531.0,15438.0,22257.0,30335.343575712282,8915.060328603038,12852.862918364932,30335.343575712282,1.63,1.81,1.74,109457,68142
15.0,30172.0,0.0,236000.0,0.5552645027132749,15438.0,22257.0,52531.0,15438.0,258257.0,29168.59959203104,8572.173392887538,143400.94467722223,29168.59959203104,1.63,1.81,1.74,109457,68142
16.0,30172.0,0.0,0.0,0.5339081756858411,15438.0,22257.0,52531.0,15438.0,22257.0,28046.73037695292,8242.474416238016,11883.194266239767,28046.73037695292,1.63,1.81,1.74,109457,68142
17.0,30172.0,0.0,0.0,0.5133732458517704,15438.0,22257.0,52531.0,15438.0,22257.0,26968.00997783935,7925.4561694596305,11426.148332922852,26968.00997783935,1.63,1.81,1.74,109457,68142
18.0,30172.0,0.0,0.0,0.4936281210113176,15438.0,22257.0,52531.0,15438.0,22257.0,25930.778824845525,7620.630932172721,10986.681089348896,25930.778824845525,1.63,1.81,1.74,109457,68142
19.0,30172.0,0.0,0.0,0.47464242404934387,15438.0,22257.0,52531.0,15438.0,22257.0,24933.441177736084,7327.529742473771,10564.116432066246,24933.441177736084,1.63,1.81,1.74,109457,68142
20.0,30172.0,236000.0,0.0,0.45638694620129217,15438.0,22257.0,52531.0,251438.0,22257.0,23974.46267090008,114753.0209789605,10157.80426160216,23974.46267090008,1.63,1.81,1.74,109457,68142
