År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
0.0,0.0,516210.0,407835.0,1.0,0.0,0.0,0.0,516210.0,407835.0,0.0,516210.0,407835.0,0.0,1.71,1.91,1.75,104256,19478
1.0,26647.0,0.0,0.0,0.9615384615384615,13744.0,19740.0,46545.0,13744.0,19740.0,44754.80769230769,13215.384615384613,18980.76923076923,44754.80769230769,1.71,1.91,1.75,104256,19478
2.0,26647.0,0.0,0.0,0.9245562130177514,13744.0,19740.0,46545.0,13744.0,19740.0,43033.46893491124,12707.100591715975,18250.739644970414,43033.46893491124,1.71,1.91,1.75,104256,19478
3.0,26647.0,0.0,0.0,0.8889963586709149,13744.0,19740.0,46545.0,13744.0,19740.0,41378.335514337734,12218.365953573053,17548.78812016386,41378.335514337734,1.71,1.91,1.75,104256,19478
4.0,26647.0,0.0,0.0,0.8548041910297257,13744.0,19740.0,46545.0,13744.0,19740.0,39786.86107147858,11748.42880151255,16873.834730926785,39786.86107147858,1.71,1.91,1.75,104256,19478
5.0,26647.0,0.0,0.0,0.8219271067593517,13744.0,19740.0,46545.0,13744.0,19740.0,38256.59718411402,11296.566155300528,16224.841087429602,38256.59718411402,1.71,1.91,1.75,104256,19478
6.0,26647.0,0.0,0.0,0.7903145257301457,13744.0,19740.0,46545.0,13744.0,19740.0,36785.18960010963,10862.082841635123,15600.808737913076,36785.18960010963,1.71,1.91,1.75,104256,19478
7.0,26647.0,0.0,0.0,0.7599178132020633,13744.0,19740.0,46545.0,13744.0,19740.0,35370.37461549004,10444.310424649158,15000.77763260873,35370.37461549004,1.71,1.91,1.75,104256,19478
8.0,26647.0,0.0,0.0,0.7306902050019839,13744.0,19740.0,46545.0,13744.0,19740.0,34009.97559181734,10042.606177547266,14423.824646739162,34009.97559181734,1.71,1.91,1.75,104256,19478
9.0,26647.0,0.0,0.0,0.7025867355788306,13744.0,19740.0,46545.0,13744.0,19740.0,32701.89960751667,9656.352093795447,13869.062160326115,32701.89960751667,1.71,1.91,1.75,104256,19478
