År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
0.0,0.0,722650.0,538150.0,1.0,0.0,0.0,0.0,722650.0,538150.0,0.0,722650.0,538150.0,0.0,1.42,1.53,1.71,107433,264404
1.0,46527.0,0.0,0.0,0.9615384615384615,23146.0,32871.0,79353.0,23146.0,32871.0,76300.96153846153,22255.76923076923,31606.730769230766,76300.96153846153,1.42,1.53,1.71,107433,264404
2.0,46527.0,0.0,0.0,0.9245562130177514,23146.0,32871.0,79353.0,23146.0,32871.0,73366.30917159762,21399.778106508875,30391.087278106505,73366.30917159762,1.42,1.53,1.71,107433,264404
3.0,46527.0,0.0,0.0,0.8889963586709149,23146.0,32871.0,79353.0,23146.0,32871.0,70544.5280496131,20576.709717796995,29222.199305871643,70544.5280496131,1.42,1.53,1.71,107433,264404
4.0,46527.0,0.0,0.0,0.8548041910297257,23146.0,32871.0,79353.0,23146.0,32871.0,67831.27697078182,19785.29780557403,28098.268563338115,67831.27697078182,1.42,1.53,1.71,107433,264404
5.0,46527.0,0.0,0.0,0.8219271067593517,23146.0,32871.0,79353.0,23146.0,32871.0,65222.38170267483,19024.324813051953,27017.565926286647,65222.38170267483,1.42,1.53,1.71,107433,264404
6.0,46527.0,0.0,0.0,0.7903145257301457,23146.0,32871.0,79353.0,23146.0,32871.0,62713.82856026425,18292.620012549953,25978.42877527562,62713.82856026425,1.42,1.53,1.71,107433,264404
7.0,46527.0,0.0,0.0,0.7599178132020633,23146.0,32871.0,79353.0,23146.0,32871.0,60301.75823102333,17589.057704374958,24979.258437765024,60301.75823102333,1.42,1.53,1.71,107433,264404
8.0,46527.0,0.0,0.0,0.7306902050019839,23146.0,32871.0,79353.0,23146.0,32871.0,57982.45983752243,16912.55548497592,24018.517728620212,57982.45983752243,1.42,1.53,1.71,107433,264404
9.0,46527.0,0.0,0.0,0.7025867355788306,23146.0,32871.0,79353.0,23146.0,32871.0,55752.36522838694,16262.072581707613,23094.72858521174,55752.36522838694,1.42,1.53,1.71,107433,264404
10.0,46527.0,0.0,0.0,0.6755641688257986,23146.0,32871.0,79353.0,23146.0,32871.0,53608.043488833595,15636.608251641936,22206.469793472825,53608.043488833595,1.42,1.53,1.71,107433,264404
11.0,46527.0,0.0,0.0,0.6495809315632679,23146.0,32871.0,79353.0,23146.0,32871.0,51546.19566234,15035.2002419634,21352.37480141618,51546.19566234,1.42,1.53,1.71,107433,264404
12.0,46527.0,0.0,0.0,0.6245970495800652,23146.0,32871.0,79353.0,23146.0,32871.0,49563.64967532692,14456.92330958019,20531.129616746326,49563.64967532692,1.42,1.53,1.71,107433,264404
13.0,46527.0,0.0,0.0,0.6005740861346781,23146.0,32871.0,79353.0,23146.0,32871.0,47657.35545704511,13900.88779767326,19741.470785333004,47657.35545704511,1.42,1.53,1.71,107433,264404
14.0,46527.0,0.0,0.0,0.5774750828218058,23146.0,32871.0,79353.0,23146.0,32871.0,45824.380247158755,13366.238266993518,18982.18344743558,45824.380247158755,1.42,1.53,1.71,107433,264404
15.0,46527.0,0.0,249200.0,0.5552645027132749,23146.0,32871.0,79353.0,23146.0,282071.0,44061.904083806505,12852.15217980146,156624.01354483617,44061.904083806505,1.42,1.53,1.71,107433,264404
16.0,46527.0,0.0,0.0,0.5339081756858411,23146.0,32871.0,79353.0,23146.0,32871.0,42367.215465198555,12357.83863442448,17550.095642969285,42367.215465198555,1.42,1.53,1.71,107433,264404
17.0,46527.0,0.0,0.0,0.5133732458517704,23146.0,32871.0,79353.0,23146.0,32871.0,40737.707178075536,11882.537148485077,16875.091964393545,40737.707178075536,1.42,1.53,1.71,107433,264404
18.0,46527.0,0.0,0.0,0.4936281210113176,23146.0,32871.0,79353.0,23146.0,32871.0,39170.872286611084,11425.516488927957,16226.04996576302,39170.872286611084,1.42,1.53,1.71,107433,264404
19.0,46527.0,0.0,0.0,0.47464242404934387,23146.0,32871.0,79353.0,23146.0,32871.0,37664.300275587586,10986.073547046113,15601.971120925982,37664.300275587586,1.42,1.53,1.71,107433,264404
