År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
0.0,0.0,666340.0,501965.0,1.0,0.0,0.0,0.0,666340.0,501965.0,0.0,666340.0,501965.0,0.0,1.47,1.6,1.72,106671,198086
1.0,41028.0,0.0,0.0,0.9615384615384615,20557.0,29307.0,70400.0,20557.0,29307.0,67692.30769230769,19766.346153846152,28179.80769230769,67692.30769230769,1.47,1.6,1.72,106671,198086
2.0,41028.0,0.0,0.0,0.9245562130177514,20557.0,29307.0,70400.0,20557.0,29307.0,65088.7573964497,19006.102071005917,27095.968934911238,65088.7573964497,1.47,1.6,1.72,106671,198086
3.0,41028.0,0.0,0.0,0.8889963586709149,20557.0,29307.0,70400.0,20557.0,29307.0,62585.343650432405,18275.098145197997,26053.816283568503,62585.343650432405,1.47,1.6,1.72,106671,198086
4.0,41028.0,0.0,0.0,0.8548041910297257,20557.0,29307.0,70400.0,20557.0,29307.0,60178.21504849269,17572.20975499807,25051.746426508173,60178.21504849269,1.47,1.6,1.72,106671,198086
5.0,41028.0,0.0,0.0,0.8219271067593517,20557.0,29307.0,70400.0,20557.0,29307.0,57863.668315858355,16896.355533651993,24088.21771779632,57863.668315858355,1.47,1.6,1.72,106671,198086
6.0,41028.0,0.0,0.0,0.7903145257301457,20557.0,29307.0,70400.0,20557.0,29307.0,55638.14261140226,16246.495705434605,23161.74780557338,55638.14261140226,1.47,1.6,1.72,106671,198086
7.0,41028.0,0.0,0.0,0.7599178132020633,20557.0,29307.0,70400.0,20557.0,29307.0,53498.21404942526,15621.630485994816,22270.91135151287,53498.21404942526,1.47,1.6,1.72,106671,198086
8.0,41028.0,0.0,0.0,0.7306902050019839,20557.0,29307.0,70400.0,20557.0,29307.0,51440.59043213967,15020.798544225783,21414.337837993142,51440.59043213967,1.47,1.6,1.72,106671,198086
9.0,41028.0,0.0,0.0,0.7025867355788306,20557.0,29307.0,70400.0,20557.0,29307.0,49462.10618474967,14443.07552329402,20590.709459608788,49462.10618474967,1.47,1.6,1.72,106671,198086
10.0,41028.0,0.0,0.0,0.6755641688257986,20557.0,29307.0,70400.0,20557.0,29307.0,47559.71748533622,13887.572618551942,19798.75909577768,47559.71748533622,1.47,1.6,1.72,106671,198086
11.0,41028.0,0.0,0.0,0.6495809315632679,20557.0,29307.0,70400.0,20557.0,29307.0,45730.497582054064,13353.435210146099,19037.26836132469,45730.497582054064,1.47,1.6,1.72,106671,198086
12.0,41028.0,0.0,0.0,0.6245970495800652,20557.0,29307.0,70400.0,20557.0,29307.0,43971.632290436595,12839.8415482174,18305.06573204297,43971.632290436595,1.47,1.6,1.72,106671,198086
13.0,41028.0,0.0,0.0,0.6005740861346781,20557.0,29307.0,70400.0,20557.0,29307.0,42280.41566388134,12346.001488670578,17601.02474234901,42280.41566388134,1.47,1.6,1.72,106671,198086
14.0,41028.0,0.0,0.0,0.5774750828218058,20557.0,29307.0,70400.0,20557.0,29307.0,40654.24583065513,11871.155277567863,16924.062252258664,40654.24583065513,1.47,1.6,1.72,106671,198086
15.0,41028.0,0.0,244800.0,0.5552645027132749,20557.0,29307.0,70400.0,20557.0,274107.0,39090.62099101455,11414.572382276792,152201.88704522763,39090.62099101455,1.47,1.6,1.72,106671,198086
16.0,41028.0,0.0,0.0,0.5339081756858411,20557.0,29307.0,70400.0,20557.0,29307.0,37587.135568283215,10975.550367573836,15647.246904824946,37587.135568283215,1.47,1.6,1.72,106671,198086
17.0,41028.0,0.0,0.0,0.5133732458517704,20557.0,29307.0,70400.0,20557.0,29307.0,36141.47650796463,10553.413814974843,15045.429716177834,36141.47650796463,1.47,1.6,1.72,106671,198086
18.0,41028.0,0.0,0.0,0.4936281210113176,20557.0,29307.0,70400.0,20557.0,29307.0,34751.41971919676,10147.513283629656,14466.759342478685,34751.41971919676,1.47,1.6,1.72,106671,198086
19.0,41028.0,0.0,0.0,0.47464242404934387,20557.0,29307.0,70400.0,20557.0,29307.0,33414.82665307381,9757.224311182363,13910.345521614121,33414.82665307381,1.47,1.6,1.72,106671,198086
20.0,41028.0,244800.0,0.0,0.45638694620129217,20557.0,29307.0,70400.0,265357.0,29307.0,32129.64101257097,121105.47088313628,13375.332232321269,32129.64101257097,1.47,1.6,1.72,106671,198086
21.0,41028.0,0.0,0.0,0.43883360211662703,20557.0,29307.0,70400.0,20557.0,29307.0,30893.885589010544,9021.102358711501,12860.896377231988,30893.885589010544,1.47,1.6,1.72,106671,198086
22.0,41028.0,0.0,0.0,0.42195538665060295,20557.0,29307.0,70400.0,20557.0,29307.0,29705.659220202448,8674.136883376445,12366.246516569221,29705.659220202448,1.47,1.6,1.72,106671,198086
23.0,41028.0,0.0,0.0,0.4057263333178874,20557.0,29307.0,70400.0,20557.0,29307.0,28563.13386557927,8340.516234015811,11890.621650547326,28563.13386557927,1.47,1.6,1.72,106671,198086
