År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
0.0,0.0,497290.0,395040.0,1.0,0.0,0.0,0.0,497290.0,395040.0,0.0,497290.0,395040.0,0.0,1.76,1.98,1.75,108760,-1198
1.0,24814.0,0.0,0.0,0.9615384615384615,12764.0,18723.0,43492.0,12764.0,18723.0,41819.230769230766,12273.076923076922,18002.884615384613,41819.230769230766,1.76,1.98,1.75,108760,-1198
2.0,24814.0,0.0,0.0,0.9245562130177514,12764.0,18723.0,43492.0,12764.0,18723.0,40210.79881656804,11801.035502958579,17310.465976331358,40210.79881656804,1.76,1.98,1.75,108760,-1198
3.0,24814.0,0.0,0.0,0.8889963586709149,12764.0,18723.0,43492.0,12764.0,18723.0,38664.22963131543,11347.149522075557,16644.678823395538,38664.22963131543,1.76,1.98,1.75,108760,-1198
4.0,24814.0,0.0,0.0,0.8548041910297257,12764.0,18723.0,43492.0,12764.0,18723.0,37177.14387626483,10910.72069430342,16004.498868649554,37177.14387626483,1.76,1.98,1.75,108760,-1198
5.0,24814.0,0.0,0.0,0.8219271067593517,12764.0,18723.0,43492.0,12764.0,18723.0,35747.253727177726,10491.077590676365,15388.941219855342,35747.253727177726,1.76,1.98,1.75,108760,-1198
6.0,24814.0,0.0,0.0,0.7903145257301457,12764.0,18723.0,43492.0,12764.0,18723.0,34372.3593530555,10087.57460641958,14797.058865245519,34372.3593530555,1.76,1.98,1.75,108760,-1198
7.0,24814.0,0.0,0.0,0.7599178132020633,12764.0,18723.0,43492.0,12764.0,18723.0,33050.345531784136,9699.590967711136,14227.94121658223,33050.345531784136,1.76,1.98,1.75,108760,-1198
8.0,24814.0,0.0,0.0,0.7306902050019839,12764.0,18723.0,43492.0,12764.0,18723.0,31779.178395946285,9326.529776645322,13680.712708252144,31779.178395946285,1.76,1.98,1.75,108760,-1198
9.0,24814.0,0.0,0.0,0.7025867355788306,12764.0,18723.0,43492.0,12764.0,18723.0,30556.902303794497,8967.817092928193,13154.531450242444,30556.902303794497,1.76,1.98,1.75,108760,-1198
10.0,24814.0,0.0,0.0,0.6755641688257986,12764.0,18723.0,43492.0,12764.0,18723.0,29381.636830571635,8622.901050892493,12648.587932925428,29381.636830571635,1.76,1.98,1.75,108760,-1198
11.0,24814.0,0.0,0.0,0.6495809315632679,12764.0,18723.0,43492.0,12764.0,18723.0,28251.57387554965,8291.251010473552,12162.103781659065,28251.57387554965,1.76,1.98,1.75,108760,-1198
12.0,24814.0,0.0,0.0,0.6245970495800652,12764.0,18723.0,43492.0,12764.0,18723.0,27164.974880336198,7972.356740839953,11694.330559287562,27164.974880336198,1.76,1.98,1.75,108760,-1198
13.0,24814.0,0.0,0.0,0.6005740861346781,12764.0,18723.0,43492.0,12764.0,18723.0,26120.16815416942,7665.727635423032,11244.548614699579,26120.16815416942,1.76,1.98,1.75,108760,-1198
14.0,24814.0,0.0,0.0,0.5774750828218058,12764.0,18723.0,43492.0,12764.0,18723.0,25115.54630208598,7370.891957137529,10812.06597567267,25115.54630208598,1.76,1.98,1.75,108760,-1198
15.0,24814.0,0.0,231600.0,0.5552645027132749,12764.0,18723.0,43492.0,12764.0,250323.0,24149.56375200575,7087.39611263224,138995.47611269512,24149.56375200575,1.76,1.98,1.75,108760,-1198
