,Utetemperatur (grader),"Turtemperatur, varmesystem (grader)",Tappevannsbehov (kWh),Romoppvarmingsbehov (kWh),Kjølebehov (kWh),"Grunnvarme, kompressor (kWh)","Grunnvarme, fra brønner (kWh)","Grunnvarme, spisslast (kWh)","Grunnvarme, COP","Luft-vann, kompressor (kWh)","Luft-vann, fra luft (kWh)","Luft-vann, spisslast (kWh)","Luft-vann, COP","Direkte elektrisk, strømkostnad (kr)","Grunnvarme, strømkostnad (kr)","Luft-vann, strømkostnad (kr)",Brønntemperatur år 12 - 13 (grader),Spotpris (kr)
0,-2,40.666666666666664,0.33,6.6,0.0,1.7472813350595704,5.182718664940429,0.0,3.9666685941276962,2.663277406886859,4.2667225931131405,0.0,2.752,13.099501799999999,3.7427148000000012,5.034286751141955,2.6569894474219122,1.56936
1,-2,40.666666666666664,0.0,5.61,0.0,1.4047181934335873,4.205281806566413,0.0,3.994170846502301,2.155986472241743,3.4540135277582573,0.0,2.752,9.830403000000002,2.8086865714285723,3.7779350953092066,3.034890437981071,1.4314
2,-2,40.666666666666664,0.0,6.6,0.0,1.6584648208980646,4.941535179101935,0.0,3.980085886662579,2.5364546732255793,4.06354532677442,0.0,2.752,11.006093999999997,3.1445982857142862,4.229766448524243,2.841358207289976,1.34669
3,-3,41.0,0.0,6.27,0.0,1.5827522075781113,4.687247792421888,0.0,3.9619444568765285,2.4096319395643007,3.860368060435699,0.0,2.677028571428571,9.6287136,2.751061028571429,3.7004235769501053,2.951100115076396,1.21478
4,-3,41.0,0.0,6.27,0.0,1.5819630897511345,4.688036910248865,0.0,3.9639202435927663,2.4096319395643007,3.860368060435699,0.0,2.677028571428571,8.8287243,2.522492657142858,3.3929786377810967,2.978506246725435,1.08719
5,-2,40.666666666666664,0.0,6.27,0.0,1.571071616243656,4.698928383756344,0.0,3.9914033585935917,2.4096319395643007,3.860368060435699,0.0,2.752,8.574789299999999,2.4499398000000006,3.295388544228742,2.9968658973090703,1.04669
6,-2,40.666666666666664,0.0,6.93,0.0,1.74116965453522,5.18883034546478,0.0,3.9805905617695734,2.663277406886859,4.2667225931131405,0.0,2.752,9.301446,2.657556000000001,3.5746509355235427,2.848294961439933,1.0213
7,-1,40.333333333333336,0.33,6.6,0.0,1.7298875299093543,5.200112470090645,0.0,4.006556328463895,2.663277406886859,4.2667225931131405,0.0,2.8269714285714285,8.2642329,2.361209400000001,3.1760382060347863,2.8470491744214006,0.87163
8,-1,40.333333333333336,0.66,6.6,0.0,1.8149666505525959,5.445033349447404,0.0,4.000595286734647,2.7901001405481374,4.469899859451862,0.0,2.8269714285714285,10.053720599999998,2.8724916000000005,3.863758575632466,2.765908584887428,1.06391
9,-1,40.333333333333336,0.99,7.92,0.0,2.2448702265749922,6.665129773425008,0.0,3.9695927163655695,3.4242138088545326,5.4857861911454675,0.0,2.8269714285714285,13.8433779,3.9552508285714296,5.3201667526791985,2.343921678605857,1.23279
