,Utetemperatur (grader),"Turtemperatur, varmesystem (grader)",Tappevannsbehov (kWh),Romoppvarmingsbehov (kWh),Kjølebehov (kWh),"Grunnvarme, kompressor (kWh)","Grunnvarme, fra brønner (kWh)","Grunnvarme, spisslast (kWh)","Grunnvarme, COP","Luft-vann, kompressor (kWh)","Luft-vann, fra luft (kWh)","Luft-vann, spisslast (kWh)","Luft-vann, COP","Direkte elektrisk, strømkostnad (kr)","Grunnvarme, strømkostnad (kr)","Luft-vann, strømkostnad (kr)",Brønntemperatur år 12 - 13 (grader),Spotpris (kr)
0,-2,40.666666666666664,0.263,5.26,0.0,1.392340373174413,4.130659626825587,0.0,3.967019691760741,2.12255138791286,3.4004486120871396,0.0,2.752,10.43990598,2.98283028,4.012173986516164,2.676980656415589,1.56936
1,-2,40.666666666666664,0.0,4.471,0.0,1.1188877562198503,3.35211224378015,0.0,3.996223436813457,1.7182558854532677,2.7527441145467324,0.0,2.752,7.8345333,2.2384380857142863,3.0108997880797608,3.0782600403779377,1.4314
2,-2,40.666666666666664,0.0,5.26,0.0,1.3212898451057526,3.938710154894247,0.0,3.981263064147969,2.021477512297962,3.238522487702038,0.0,2.752,8.7715234,2.5061495428571425,3.370995684732958,2.872697583615489,1.34669
3,-3,41.0,0.0,4.997,0.0,1.2608156537004116,3.7361843462995883,0.0,3.9635995772454367,1.920403636683064,3.076596363316936,0.0,2.677028571428571,7.67379296,2.192512274285715,2.9491254567814478,2.9892251286103804,1.21478
4,-3,41.0,0.0,4.997,0.0,1.260148114808866,3.736851885191134,0.0,3.9656969088370073,1.920403636683064,3.076596363316936,0.0,2.677028571428571,7.036225730000001,2.010350208571429,2.704101156777056,3.018318361958883,1.08719
5,-2,40.666666666666664,0.0,4.997,0.0,1.2514445940767773,3.7455554059232226,0.0,3.99327876782528,1.920403636683064,3.076596363316936,0.0,2.752,6.83384723,1.95252778,2.626324809491391,3.037799973292464,1.04669
6,-2,40.666666666666664,0.0,5.523,0.0,1.387168914297919,4.135831085702081,0.0,3.981795293042859,2.12255138791286,3.4004486120871396,0.0,2.752,7.4129705999999995,2.1179916,2.8488884728566415,2.8800120934454068,1.0213
7,-1,40.333333333333336,0.263,5.26,0.0,1.3781810020945784,4.144818997905421,0.0,4.007766921098314,2.12255138791286,3.4004486120871396,0.0,2.8269714285714285,6.58634319,1.8818123399999998,2.531206206627723,2.878691007540181,0.87163
8,-1,40.333333333333336,0.526,5.26,0.0,1.4460953826146898,4.33990461738531,0.0,4.0014374756381725,2.223625263527758,3.5623747364722416,0.0,2.8269714285714285,8.01251066,2.28928876,3.0792985011858742,2.792536791002175,1.06391
9,-1,40.333333333333336,0.789,6.312,0.0,1.7894898646754607,5.311510135324539,0.0,3.968525101365375,2.728994641602249,4.372005358397751,0.0,2.8269714285714285,11.03275269,3.1522150542857137,4.240011684710998,2.344553602703646,1.23279
