År,Produsert energi,Investering grunnvarme,Investering luft-vann,Diskonteringsrente,Energikostnad grunnvarme,Energikostnad luft-vann,Energikostnad direkte elektrisk,Kostnad grunnvarme,Kostnad luft-vann,Kostnad direkte elektrisk,Kostnad grunnvarme (diskontert),Kostnad luft-vann (diskontert),Kostnad direkte elektrisk (diskontert),LCOE grunnvarme,LCOE luft-vann,LCOE_direkte_el,Grunnvarme vs. luft-vann (40 år),Grunnvarme vs. direkte elektrisk (40 år)
0.0,0.0,700350.0,523725.0,1.0,0.0,0.0,0.0,700350.0,523725.0,0.0,700350.0,523725.0,0.0,1.43,1.56,1.71,108595,240215
1.0,44412.0,0.0,0.0,0.9615384615384615,22176.0,31604.0,75958.0,22176.0,31604.0,73036.53846153845,21323.076923076922,30388.461538461535,73036.53846153845,1.43,1.56,1.71,108595,240215
2.0,44412.0,0.0,0.0,0.9245562130177514,22176.0,31604.0,75958.0,22176.0,31604.0,70227.44082840235,20502.958579881655,29219.674556213013,70227.44082840235,1.43,1.56,1.71,108595,240215
3.0,44412.0,0.0,0.0,0.8889963586709149,22176.0,31604.0,75958.0,22176.0,31604.0,67526.38541192535,19714.383249886207,28095.84091943559,67526.38541192535,1.43,1.56,1.71,108595,240215
4.0,44412.0,0.0,0.0,0.8548041910297257,22176.0,31604.0,75958.0,22176.0,31604.0,64929.216742235905,18956.137740275197,27015.23165330345,64929.216742235905,1.43,1.56,1.71,108595,240215
5.0,44412.0,0.0,0.0,0.8219271067593517,22176.0,31604.0,75958.0,22176.0,31604.0,62431.939175226835,18227.05551949538,25976.18428202255,62431.939175226835,1.43,1.56,1.71,108595,240215
6.0,44412.0,0.0,0.0,0.7903145257301457,22176.0,31604.0,75958.0,22176.0,31604.0,60030.710745410404,17526.014922591712,24977.100271175525,60030.710745410404,1.43,1.56,1.71,108595,240215
7.0,44412.0,0.0,0.0,0.7599178132020633,22176.0,31604.0,75958.0,22176.0,31604.0,57721.83725520233,16851.937425568954,24016.442568438008,57721.83725520233,1.43,1.56,1.71,108595,240215
8.0,44412.0,0.0,0.0,0.7306902050019839,22176.0,31604.0,75958.0,22176.0,31604.0,55501.76659154069,16203.785986123994,23092.733238882698,55501.76659154069,1.43,1.56,1.71,108595,240215
9.0,44412.0,0.0,0.0,0.7025867355788306,22176.0,31604.0,75958.0,22176.0,31604.0,53367.083261096814,15580.563448196146,22204.55119123336,53367.083261096814,1.43,1.56,1.71,108595,240215
10.0,44412.0,0.0,0.0,0.6755641688257986,22176.0,31604.0,75958.0,22176.0,31604.0,51314.50313567001,14981.31100788091,21350.52999157054,51314.50313567001,1.43,1.56,1.71,108595,240215
11.0,44412.0,0.0,0.0,0.6495809315632679,22176.0,31604.0,75958.0,22176.0,31604.0,49340.8683996827,14405.106738347029,20529.35576112552,49340.8683996827,1.43,1.56,1.71,108595,240215
12.0,44412.0,0.0,0.0,0.6245970495800652,22176.0,31604.0,75958.0,22176.0,31604.0,47443.14269200259,13851.064171487527,19739.76515492838,47443.14269200259,1.43,1.56,1.71,108595,240215
13.0,44412.0,0.0,0.0,0.6005740861346781,22176.0,31604.0,75958.0,22176.0,31604.0,45618.40643461788,13318.330934122621,18980.543418200366,45618.40643461788,1.43,1.56,1.71,108595,240215
14.0,44412.0,0.0,0.0,0.5774750828218058,22176.0,31604.0,75958.0,22176.0,31604.0,43863.85234097872,12806.087436656366,18250.52251750035,43863.85234097872,1.43,1.56,1.71,108595,240215
15.0,44412.0,0.0,247000.0,0.5552645027132749,22176.0,31604.0,75958.0,22176.0,278604.0,42176.781097094936,12313.545612169584,154698.91151392923,42176.781097094936,1.43,1.56,1.71,108595,240215
16.0,44412.0,0.0,0.0,0.5339081756858411,22176.0,31604.0,75958.0,22176.0,31604.0,40554.59720874512,11839.947704009213,16873.633984375323,40554.59720874512,1.43,1.56,1.71,108595,240215
17.0,44412.0,0.0,0.0,0.5133732458517704,22176.0,31604.0,75958.0,22176.0,31604.0,38994.80500840877,11384.56510000886,16224.64806189935,38994.80500840877,1.43,1.56,1.71,108595,240215
18.0,44412.0,0.0,0.0,0.4936281210113176,22176.0,31604.0,75958.0,22176.0,31604.0,37495.00481577766,10946.697211546978,15600.623136441682,37495.00481577766,1.43,1.56,1.71,108595,240215
19.0,44412.0,0.0,0.0,0.47464242404934387,22176.0,31604.0,75958.0,22176.0,31604.0,36052.88924594006,10525.670395718249,15000.599169655463,36052.88924594006,1.43,1.56,1.71,108595,240215
20.0,44412.0,247000.0,0.0,0.45638694620129217,22176.0,31604.0,75958.0,269176.0,31604.0,34666.23965955775,122848.41263067901,14423.653047745638,34666.23965955775,1.43,1.56,1.71,108595,240215
21.0,44412.0,0.0,0.0,0.43883360211662703,22176.0,31604.0,75958.0,22176.0,31604.0,33332.922749574755,9731.57396053832,13868.89716129388,33332.922749574755,1.43,1.56,1.71,108595,240215
22.0,44412.0,0.0,0.0,0.42195538665060295,22176.0,31604.0,75958.0,22176.0,31604.0,32050.887259206498,9357.282654363771,13335.478039705655,32050.887259206498,1.43,1.56,1.71,108595,240215
23.0,44412.0,0.0,0.0,0.4057263333178874,22176.0,31604.0,75958.0,22176.0,31604.0,30818.16082616009,8997.38716765747,12822.575038178513,30818.16082616009,1.43,1.56,1.71,108595,240215
24.0,44412.0,0.0,0.0,0.3901214743441225,22176.0,31604.0,75958.0,22176.0,31604.0,29632.846948230854,8651.33381505526,12329.399075171646,29632.846948230854,1.43,1.56,1.71,108595,240215
25.0,44412.0,0.0,0.0,0.37511680225396393,22176.0,31604.0,75958.0,22176.0,31604.0,28493.122065606593,8318.590206783903,11855.191418434277,28493.122065606593,1.43,1.56,1.71,108595,240215
26.0,44412.0,0.0,0.0,0.3606892329365038,22176.0,31604.0,75958.0,22176.0,31604.0,27397.232755390956,7998.644429599908,11399.222517725266,27397.232755390956,1.43,1.56,1.71,108595,240215
27.0,44412.0,0.0,0.0,0.3468165701312536,22176.0,31604.0,75958.0,22176.0,31604.0,26343.49303402976,7691.00425923068,10960.790882428139,26343.49303402976,1.43,1.56,1.71,108595,240215
28.0,44412.0,0.0,0.0,0.3334774712800515,22176.0,31604.0,75958.0,22176.0,31604.0,25330.28176349015,7395.196403106423,10539.222002334747,25330.28176349015,1.43,1.56,1.71,108595,240215
29.0,44412.0,0.0,0.0,0.32065141469235725,22176.0,31604.0,75958.0,22176.0,31604.0,24356.04015720207,7110.765772217715,10133.867309937259,24356.04015720207,1.43,1.56,1.71,108595,240215
